19.04.2024                                                                                                                         Dynamic List Display                                                                                                                                                                                  1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|ActTotCost|PlanTotCos|MntPlan|MntItem|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMREFCON |COT1034 -ORP & Conductivity sensor issue|4000056776|ZM01|MECH    |TORCOT1034|COOLING TOWER                           |PM-BAC-COP|TOR0B54-CTW001-COT0001        |CA02T0045|13.05.2023|01.11.2023|PRCO RFEX     |02122023|REL  PCNF GMPS JIPR MANC MOBI NMAT PRC *|31.10.2023|          | 1,294.63 | 2,728.51 |       |       |
|  PMCARCON |I00 Maintenance Shop Drywall            |4000117202|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|08.01.2024|08.01.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |          |16,031.00 |17,836.50 |       |       |
|  PMELECON |PMELECON, TOR0B83                       |4000118269|ZM03|        |          |                                        |          |TOR0B83                       |CA02T0035|01.04.2024|30.04.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |10,517.42 |6598   |23523  |
|  PMMACHI  |B92 W&S Door Handle Loose on WAS1010    |4000123168|ZM01|        |TORWAS1010|WASHER, LANCER                          |B92       |TOR0B92-EQP007-WAM0001        |CA02T0048|01.03.2024|01.03.2024|PRCO ERAP RFEX|S/D     |REL  PCNF JIPR MANC MOBI NMAT PRC  SETC |01.03.2024|          |     0.00 |   975.00 |       |       |
|  PMREFRI  |Order:Check WII1124 Compressor vlv noisy|4000123621|ZM01|2313    |TORWII1124|WALK_IN INCUBATOR                       |PM-QUA-ENC|TOR0B92-LAB018-WII0001        |CA02T0029|20.04.2024|20.04.2024|PRCO RFEX     |Z200424 |REL  MANC MOBI PRC  SETC                |          |          |     0.00 | 2,697.79 |       |       |
|  PMPLUMB  |I00 Sink Plumbing for Trades Area       |4000124595|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|13.02.2024|20.02.2024|PRCO RFEX     |09032024|REL  PCNF MANC MOBI PRC  SETC           |13.02.2024|          |     0.00 | 1,624.00 |       |       |
|  PMPFO    |Need longer pH probe install            |4000124997|ZM01|2420    |TORTNK2187|Tetanus Detox Tank                      |PM-DTT200 |TORB100-DSP015-TAN0062        |CA02T0111|17.01.2024|17.01.2024|PRCO RFEX     |        |REL  PRC  SETC                          |          |          |     0.00 | 2,244.00 |       |       |
|  PMCARCON |2024 Site Wide Elevator PM Program      |4000126476|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|26.01.2024|26.01.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |25,991.10 |51,982.20 |       |       |
|  PMCARCON |Rear Asphalt Grindings Parking Lot Re Le|4000128147|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|02.02.2024|02.02.2024|PRCO          |        |REL  ESTC GMPS MANC NMAT PRC  SETC      |          |          | 8,750.00 |18,391.50 |       |       |
