25.04.2024                                                                                                                        Dynamic List Display                                                                                                                                                                                  1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|ActTotCost|PlanTotCos|MntPlan|MntItem|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMMETRO  |METRO, 300015972 TOC Intr               |4000096163|ZM05|1607   |300015972 |TOC ANALYZER, AWFI RETURN LOOP TOC      |PM-EMS-MNT|TORB100-WFS012-XXX0001-TOC0001|CA02T0111|28.07.2023|26.08.2023|PRCO RFEX     |        |REL  ILAS MANC NMAT PRC  SETC           |          |          |     0.00 | 9,664.05 |66373  |84021  |
|  PMAUTO   |DSP Troubleshoot SAS1123 Cooling        |4000104360|ZM02|214    |TORSAS1123|AIR HANDLING UNIT_ STERILE              |PM-BAC-COP|TOR0B89-HVA009-AHU0002        |CA02T0045|30.03.2024|05.04.2024|PRCO RFEX     |Z300324 |REL  CNF  GMPS JIPR MANC MOBI PRC  SETC*|05.09.2023|03.10.2023| 8,112.82 | 6,321.34 |       |       |
|  PMMETRO  |METRO, 300015962 TOC Intr               |4000104564|ZM05|102    |300015962 |ANALYZER_TOC                            |PM-BRD-CBM|TOR0B60-PWS004-XXX0001-TOC0001|CA02P0009|01.03.2024|30.04.2024|PRCO          |EXTENDED|REL  GMPS ILAS MANC PRC  SETC           |          |          |   880.82 |12,182.59 |66362  |84010  |
|  PMPLUMB  |I00 Sink Plumbing for Trades Area       |4000124595|ZM01|       |          |                                        |          |TORB100                       |CA02T0111|13.02.2024|20.02.2024|PRCO RFEX     |09032024|REL  PCNF MANC MOBI PRC  SETC           |13.02.2024|          |     0.00 | 3,661.00 |       |       |
|  PMWFICON |Evoqua Service for 2024                 |4000126581|ZM01|       |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|26.01.2024|26.01.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          | 4,641.12 |21,815.84 |       |       |
|  PMSTMCON |B90 MR173 STG1031 piping insulated      |4000132206|ZM01|       |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|27.04.2024|27.04.2024|PRCO RFEX     |Z270424 |REL  PCNF ESTC GMPS JIPR MANC MOBI PRC *|07.03.2024|          |   754.92 | 1,582.13 |       |       |
|  PMMETRO  |METRO, 300001904 FLT Intr               |4000133179|ZM05|2331   |300001904 |PU-401 MASS FLOW METER                  |          |TORB100-CHU002-XXX0001-FT00004|CA02T0111|01.03.2025|31.03.2025|PRCO          |        |REL  CSER ILAS MANC PRC  SETC           |          |          |     0.00 | 1,232.00 |49798  |67439  |
|  PMMETRO  |METRO, 300020672 TOC                    |4000134439|ZM05|102    |300020672 |TOC Analyzer                            |PM-BLK-WFI|TOR0B60-PWS002-XXX0001-TOC0001|CA02T0086|01.03.2024|30.03.2024|PRCO          |EXTENDED|REL  ILAS MANC PRC  SETC                |          |          |     0.00 |14,602.59 |74035  |91743  |
|  PMPFO    |Inspect agitator noise Cell Tank 1      |4000137642|ZM01|2320   |TORTNK2103|CELL TANK 1                             |PM-EMS-MNT|TORB100-CES001-TAN0001        |CA02T0111|02.04.2024|11.04.2024|PRCO RFEX     |PARTS   |REL  PCNF MANC MOBI PRC  SETC           |27.03.2024|          |     0.00 |46,260.74 |       |       |
|  PMELECT  |B60 WFI Outlet Prox Switches Malfunction|4000138686|ZM01|102    |TORWFI0011|SYSTEM_ WATER FOR INJECTION             |PM-BLK-WFI|TOR0B60-WFS002                |CA02T0086|13.04.2024|18.04.2024|PRCO RFEX     |Z130424 |REL  PCNF GMPS MANC MOBI PRC  SETC      |02.04.2024|          |   522.79 | 2,022.78 |       |       |
|  PMMACHI  |B92 stairwell 1 door handle replacement |4000140235|ZM01|       |          |                                        |          |TOR0B92                       |CA02T0048|04.05.2024|04.05.2024|PRCO ERAP RFEX|Z040524 |REL  CNF  JBFI MANC MOBI PRC  SETC      |12.04.2024|12.04.2024|     0.00 |   549.12 |       |       |
|  PMMACCON |Dock plate on B90 NE dock not level     |4000140858|ZM01|       |          |                                        |          |TOR0B90                       |CA02T0167|05.04.2024|05.04.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |   603.69 |   603.69 |       |       |
|  PMREFRI  |Investigate/troubleshoot WII1129 issue  |4000140881|ZM01|       |TORWII1129|Walk In Incubator for Tet & Dip, Labwork|B90       |TOR0B90-DSP012-WII0001        |CA02T0039|05.04.2024|05.04.2024|PRCO RFEX     |COMMENT |REL  PCNF ESTC GMPS MANC MOBI PRC  SETC |08.04.2024|          |12,268.47 |12,335.93 |       |       |
|  PMMACHI  |B91QCRM QUARTERLY GEMBA DEFECT LIST     |4000141003|ZM01|       |          |                                        |          |TOR0B91                       |CA02T0067|20.04.2024|22.04.2024|PRCO RFEX     |Z200424 |REL  MANC MOBI PRC  SETC                |          |          |     0.00 |   810.75 |       |       |
|  PMHVAC   |B83 EXF in Office Washroom not Working  |4000141848|ZM01|107A   |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|04.05.2024|04.05.2024|PRCO RFEX     |Z040524 |REL  MANC MOBI PRC  SETC                |          |          |     0.00 |   180.60 |       |       |
|  PMMACHI  |Replace CCA muffler on TK102            |4000141860|ZM01|2101   |TORTNK2194|CP MEDIA PREP TANK 5000L                |          |TORB100-MEF003-TAN0003        |CA02T0111|15.04.2024|15.04.2024|PRCO RFEX     |PARTS   |REL  PCNF JIPR MANC MOBI PRC  SETC      |15.04.2024|          |     0.00 |    28.16 |       |       |
|  PMHVAC   |Inspect Vibration on EXF1330            |4000142238|ZM01|       |          |                                        |          |TOR0B53                       |CA02T0091|04.05.2024|04.05.2024|PRCO RFEX     |Z040524 |REL  MANC MOBI PRC  SETC                |          |          |     0.00 |   306.16 |       |       |
|  PMAUTO   |DIN-ALM_ACO-02 Digital Alarm            |4000142812|ZM02|       |TORCAS0005|B89 Compressed Air System Upgrade       |B89       |TOR0B89-ACN001                |CA02T0043|23.04.2024|          |PRCO RFEX     |        |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC*|24.04.2024|          |     0.00 |   140.55 |       |       |
