12.08.2024                                                                                                                          Dynamic List Display                                                                                                                                                                                   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Order     |Mn.wk.ctr|Description                             |Type|Room    |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end| ActTotCost| PlanTotCos|MntPlan|MntItem|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  4000113481|PMPLMCON |Backflow Preventer Leeking RM1347       |ZM02|        |          |                                        |PM-QUC-VR1|TOR0B92-ACN001                |CA02T0031|02.11.2023|          |ERAP PRCO RFEX|09122023|REL  CNF  GMPS MANC MOBI NMAT PRC  SETC |17.11.2023|23.11.2023|  2,618.31 | 11,523.51 |       |       |
|  4000126310|PMCARCON |2024 Sitewide Orkin Pest Control Program|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|25.01.2024|25.01.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |153,724.76 |458,953.75 |       |       |
|  4000141590|PMELECT  |B92 R1330 SCA1782 display broken        |ZM01|MOBILE  |TORSCA1782|BALANCE_ CLASS III                      |PM-VIR-MED|TOR0B92-MEF008-XXX0001-WI00008|CA02T0049|20.07.2024|20.07.2024|PRCO RFEX     |Z200724 |REL  MANC PRC  SETC                     |          |          |      0.00 |    335.16 |       |       |
|  4000142042|PMMACCON |I00 Rebuild Condenser Supply Pump 1     |ZM01|N/AP    |TORPMP2475|CONDENSER WATER SUPPLY PUMP 1           |PM-EMS-MNT|TORB100-CTW001-PUM0001        |CA02T0111|08.06.2024|29.07.2024|PRCO RFEX     |        |REL  PCNF JBFI MANC NMAT PRC  SETC      |08.06.2024|          |      0.00 | 13,500.00 |       |       |
|  4000142067|PMSTEAM  |B92 STG1019 Evaporator Leakage          |ZM01|MR      |TORSTG1019|GENERATOR, PURE STEAM                   |B92       |TOR0B92-CSS003-CSG0001        |CA02T0064|29.06.2024|29.06.2024|PRCO ERAP RFEX|27072024|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |21.05.2024|01.08.2024|     44.26 |  3,022.27 |       |       |
|  4000143317|PMELECT  |B92 Condensate Meter Installation       |ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|10.08.2024|10.08.2024|PRCO RFEX     |Z100824 |REL  PCNF GMPS MANC MOBI PRC  SETC      |14.05.2024|          |    349.48 |    349.48 |       |       |
|  4000143441|PMELECT  |B92 TWS1002 E-Stop Button Broken        |ZM01|1525    |TORTWS1002|TANK WASHING STATION                    |B92       |TOR0B92-EQP009-WSC0001        |CA02T0048|30.05.2024|30.05.2024|PRCO ERAP RFEX|Z250524 |REL  PCNF JIPR MANC MOBI PRC  SETC      |30.05.2024|          |      0.00 |     90.04 |       |       |
|  4000143688|PMCARCON |Sealing floor cracks                    |ZM01|        |          |                                        |          |TORB100                       |CA02T0111|29.08.2024|29.08.2024|PRCO RFEX     |S/D     |REL  MANC NMAT PRC  SETC                |          |          |      0.00 | 12,186.33 |       |       |
|  4000145433|PMCARCON |B95 - Room 122/123- Rm Divider Repair   |ZM01|VARIOUS |          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|25.01.2024|25.01.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC TTJL      |          |          |    695.75 |  1,293.75 |       |       |
|  4000145780|PMCARCON |B16 Stairwell Black Grip Strip          |ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|20.05.2024|20.05.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC PRC  SETC                |          |          |    231.00 |    609.50 |       |       |
|  4000145860|PMELECT  |B83 Troubleshoot Light in Reception Area|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|13.07.2024|19.07.2024|PRCO RFEX     |Z130724 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |19.06.2024|          |    140.83 |    493.66 |       |       |
|  4000146381|PMPLUMB  |replace flowmeter                       |ZM01|        |TORWAS1031|Belimed Bottle Washer                   |B89       |TOR0B89-EQP003-WAM0001        |CA02T0044|21.05.2024|21.05.2024|PRCO RFEX     |PARTS   |REL  MANC PRC  SETC                     |          |          |      0.00 |    601.78 |       |       |
|  4000146462|PMPLUMB  |I00 Backflow Preventer Testing Shutdown |ZM01|        |          |                                        |          |TORB100                       |CA02T0111|25.05.2024|25.05.2024|PRCO ERAP RFEX|S/D     |TECO CNF  JBFI MANC MOBI PRC  SETC      |29.07.2024|31.07.2024|      0.00 |    457.78 |       |       |
|  4000147681|PMELECT  |West side - Security gate               |ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|28.05.2024|04.07.2024|PRCO RFEX     |        |REL  PCNF GMPS MANC MOBI PRC  SETC TTJL |28.05.2024|          |  1,264.64 |  7,980.07 |       |       |
|  4000158020|PMMACCON |B92 MR1400 Scissor Lift Repairs         |ZM01|1400    |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|20.07.2024|20.07.2024|PRCO          |REPORT  |REL  GMPS MANC PRC  SETC                |          |          |  4,577.57 | 20,677.57 |       |       |
|  4000158667|PMCARCON |B92 W&S Carpentry Work Required         |ZM01|        |          |                                        |          |TOR0B92                       |CA02T0048|11.03.2024|11.03.2024|PRCO RFEX     |S/D     |REL  MANC NMAT PRC  SETC                |          |          |      0.00 | 12,976.29 |       |       |
|  4000160042|PMPLUMB  |RM301 Still Leak                        |ZM01|        |          |                                        |          |TOR0B90                       |CA02T0167|15.06.2024|15.06.2024|PRCO RFEX     |Z150624 |REL  GMPS MANC NMAT PRC  SETC           |          |          | 12,213.00 | 19,193.50 |       |       |
|  4000161373|PMELECT  |B92 UPC AS1709390515 Does not Power On  |ZM01|        |          |                                        |          |TOR0B92                       |CA02T0051|19.07.2024|20.07.2024|PRCO ERAP RFEX|Z220624 |REL  PCNF JIPR MANC MOBI PRC  SETC      |19.07.2024|          |      0.00 |  2,880.86 |       |       |
|  4000161989|PMCARCON |Repair 2 catch basin grates on Salk St  |ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|24.06.2024|24.06.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |  4,674.75 |  8,078.75 |       |       |
|  4000162501|PMMACCON |I00 Passivation of CP Stainless Screens |ZM01|        |          |                                        |          |TORB100                       |CA02T0111|03.08.2024|03.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 | 66,500.00 |       |       |
|  4000164755|PMHVAC   |Replace fan motor and fan blade         |ZM01|        |          |                                        |          |TOR0B90                       |CA02T0167|29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  PCNF MANC MOBI PRC  SETC           |23.07.2024|          |      0.00 |  2,062.59 |       |       |
|  4000164825|PMHVAC   |I00 Investigate Heater on in Stairwell F|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|03.07.2024|03.07.2024|PRCO RFEX     |        |REL  CNF  JBFI MOBI PRC  SETC           |02.07.2024|19.07.2024|      0.00 |  6,660.00 |       |       |
|  4000165183|PMMACCON |B92 Pump Truck Safety Inspections       |ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  PCNF GMPS JIPR MANC PRC  SETC TTJL |13.07.2024|          |  1,173.00 |  3,619.49 |       |       |
|  4000167612|PMELECT  |Change air filters                      |ZM01|MECH.   |TORGEN1007|GENERATOR, DIESEL                       |PM-EMS-MNT|TOR0B89-BUI003-GEN0001        |CA02T0091|10.07.2024|10.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    939.04 |       |       |
|  4000169179|PMELECT  |I00 Investigate AHS01-EF06 Not Running  |ZM01|1607    |TOREXF1600|OZONE EVACUTATION FAN                   |PM-SUD000 |TORB100-CIP027-XXX0001-EXF0003|CA02T0111|27.07.2024|27.07.2024|PRCO RFEX     |PARTS   |REL  GMPS MANC MOBI PRC  SETC           |          |          |  2,642.30 |  3,082.30 |       |       |
|  4000169356|PMMETRO  |I00 2024 Shutdown Metrology Ext. Support|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|29.07.2024|29.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 | 48,480.00 |       |       |
|  4000169385|PMCARCON |B89 June Corrective Actions – Envelope s|ZM01|        |          |                                        |PM-BAC-COP|TOR0B89-BUI001                |CA02T0043|02.07.2024|02.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  4,289.50 |       |       |
|  4000169386|PMCARCON |B90 June Corrective Actions             |ZM01|        |          |                                        |          |TOR0B90                       |CA02T0167|02.07.2024|02.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  8,395.00 |       |       |
|  4000169531|PMPLMCON |Rouging Assessment for the Equipment    |ZM01|2331    |TORTNK2109|5ACP DILUTION TANK 1                    |          |TORB100-DSP012-TAN0002        |CA02T0111|08.07.2024|08.07.2024|PRCO RFEX     |        |REL  CNF  GMPS JBFI MANC NMAT PRC  SETC |08.07.2024|30.07.2024|  2,250.00 |  2,250.00 |       |       |
|  4000169532|PMHVAC   |I00 descale of HVAC steam generator     |ZM01|        |          |                                        |          |TORB100                       |CA02T0111|08.09.2024|08.09.2024|PRCO          |14092024|REL  GMPS MACM PRC  SETC                |          |          |  1,580.70 |  1,580.70 |       |       |
|  4000169595|PMMACCON |Lid removal, polishing and passivation  |ZM01|2104    |TORTNK2200|5ACP BUFFER PREP TANK 4500L             |          |TORB100-BUS002-TAN0002        |CA02T0111|29.07.2024|29.07.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |          | 12,400.00 | 13,820.00 |       |       |
|  4000169603|PMELECT  |motor malfunction - not running         |ZM02|154/156 |100001060 |Meter, Rotational Speed                 |PM-BAC-COP|TOR0B89-EQP006-MIX0002-SI00001|CA02T0044|24.07.2024|          |PRCO RFEX     |        |REL  CNF  JBFI MANC MOBI PRC  SETC      |24.07.2024|31.07.2024|      0.00 |  2,692.73 |       |       |
|  4000169615|PMCARCON |B92 Rm3311 Paint Rusty Safety Cabinet   |ZM01|3311    |          |                                        |          |TOR0B92                       |CA02T0048|17.05.2024|17.05.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    379.50 |       |       |
|  4000169621|PMELECT  |motor malfunction - not running         |ZM02|154/156 |100001059 |Meter, Rotational Speed                 |PM-BAC-COP|TOR0B89-EQP006-MIX0001-SI00001|CA02T0044|24.07.2024|          |PRCO RFEX     |        |REL  CNF  JBFI MANC MOBI PRC  SETC      |24.07.2024|31.07.2024|      0.00 |  2,692.73 |       |       |
|  4000169881|PMPLMCON |B94 Washer doors will not open          |ZM01|238     |TORWAS1084|WASHER, CAGE/RACK                       |PM-ANR-ANT|TOR0B94-EQP002-WAM0001        |CA02T0028|25.07.2024|25.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    575.00 |       |       |
|  4000169932|PMPLMCON |I00 July shutdown support               |ZM01|        |          |                                        |          |TORB100                       |CA02T0111|29.07.2024|29.07.2024|PRCO          |        |REL  NMAT PRC  SETC                     |          |          |      0.00 |  7,793.00 |       |       |
|  4000170049|PMMACHI  |B92 Magnetic Wall Installation Rm2221   |ZM01|2221    |          |                                        |          |TOR0B92                       |CA02T0162|10.08.2024|10.08.2024|PRCO RFEX     |Z100824 |REL  PRC  SETC                          |          |          |      0.00 |    975.51 |       |       |
|  4000170052|PMCARCON |Steam Vault Repairs By B95              |ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|01.08.2024|01.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 | 91,889.75 |       |       |
|  4000170079|PMCARCON |Change safe combination                 |ZM01|        |          |                                        |          |TOR0B94                       |CA02T0028|18.07.2024|18.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    357.50 |       |       |
|  4000170259|PMCARCON |B100 Biowaste Room Wall Repairs         |ZM01|        |          |                                        |          |TORB100                       |CA02T0111|24.07.2024|25.07.2024|PRCO RFEX     |03082024|REL  NMAT PRC  SETC                     |          |          |      0.00 | 15,444.50 |       |       |
|  4000170290|PMELECT  |B83 Electrician to Restore Power Supply |ZM02|355     |TORCPR1007|Capper Machine - Bosch VRK 4010 B       |B83       |TOR0B83-FIL004-CAC0001        |CA02T0035|29.07.2024|29.07.2024|PRCO RFEX     |        |REL  CNF  GMPS JBFI MOBI PRC  SETC      |30.07.2024|30.07.2024|  1,214.91 |  1,214.91 |       |       |
|  4000170293|PMCARCON |B95 Anchor Certification for Constructio|ZM01|VARIOUS |          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|25.07.2024|25.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    795.00 |       |       |
|  4000170397|PMPLUMB  |ZM08 - DWS1012 startup PMPLUMB          |ZM08|188     |TORDWS1012|SYSTEM_ DISTILLED WATER                 |PM-BLK-WFI|TOR0B89-PWS003-PWP0001        |CA02T0086|10.08.2024|22.08.2024|PRCO RFEX     |Z100824 |REL  CSER GMPS MANC MOBI PPRT PRC  SETC |          |          | 65,025.89 |114,721.69 |       |       |
|  4000170398|PMWFICON |ZM08 - DWS1012 startup PMWFICON         |ZM08|188     |TORDWS1012|SYSTEM_ DISTILLED WATER                 |PM-BLK-WFI|TOR0B89-PWS003-PWP0001        |CA02T0086|29.07.2024|29.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 | 42,550.00 |       |       |
