22.08.2024                                                                                                                      Dynamic List Display                                                                                                                                                                               1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Order     |Mn.wk.ctr|Description                             |Type|Room    |Equipment |Description of technical object   |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                          |Act. start|Actual end|TotCostAct| PlanTotCos|MntPlan|MntItem|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  4000059952|PMELECT  |B83 EXF1079 Motor Seized, to be Replaced|ZM01|        |TOREXF1079|FAN, EXHAUST, B83                 |0001      |TOR0B83-HVA005-AHU0005-EXF0002|CA02T0064|20.07.2024|20.07.2024|PRCO RFEX     |Z200724 |REL  PCNF JIPR MANC MOBI PRC  SETC     |29.03.2023|          |   320.31 |    938.96 |       |       |
|  4000109354|PMELECT  |Turn off the fans in room 115           |ZM01|        |          |                                  |PM-MAM-MDC|TOR0B91-BUI001                |CA02T0021|14.09.2024|14.09.2024|PRCO RFEX     |Z140924 |REL  PCNF MANC MOBI PRC  SETC          |20.08.2024|          |     0.00 |    734.24 |       |       |
|  4000123620|PMREFRI  |B92 WIR1202 Replace Filter Drier        |ZM01|1339    |TORWIR1202|WALK_IN REFRIGERATOR              |PM-VIR-MED|TOR0B92-MEF006-COR0001        |CA02T0049|20.07.2024|20.07.2024|PRCO RFEX     |Z200724 |REL  PCNF MANC MOBI PRC  SETC          |28.03.2024|          |     0.00 |  1,236.54 |       |       |
|  4000140233|PMMACHI  |B83 Ship Entrance door bent vent cover  |ZM01|        |          |                                  |          |TOR0B83                       |CA02T0035|20.07.2024|20.07.2024|PRCO RFEX     |Z200724 |REL  PCNF JIPR MANC MOBI PRC  SETC     |12.04.2024|          |     0.00 |    182.04 |       |       |
|  4000141224|PMELECT  |B83 Thermal Scan Repair Fan VFD P-005B  |ZM01|163     |          |                                  |          |TOR0B83                       |CA02T0035|20.07.2024|20.07.2024|PRCO RFEX     |Z200724 |REL  MANC PRC  SETC                    |          |          |     0.00 |  1,398.36 |       |       |
|  4000142210|PMPLUMB  |B92 Eyewash Station Leaking Water       |ZM01|3512    |          |                                  |          |TOR0B92                       |CA02T0048|20.07.2024|20.07.2024|PRCO RFEX     |Z200724 |REL  MANC MOBI PRC  SETC               |          |          |     0.00 |    111.16 |       |       |
|  4000142829|PMMACHI  |B92 Repair Panic Bar and Door Trim      |ZM01|        |          |                                  |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|20.07.2024|20.07.2024|PRCO ERAP RFEX|Z200724 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC|03.06.2024|          | 1,164.66 |  1,789.66 |       |       |
|  4000144546|PMREFRI  |Repair thermostat B95 dock              |ZM01|VARIOUS |          |                                  |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|14.09.2024|14.09.2024|PRCO RFEX     |Z140924 |REL  MANC PRC  SETC                    |          |          |     0.00 |    162.66 |       |       |
|  4000144754|PMSTEAM  |B92 Fix Water Leaking Between Washers   |ZM01|        |TORWAS1010|WASHER, LANCER                    |B92       |TOR0B92-EQP007-WAM0001        |CA02T0048|01.06.2024|01.06.2024|PRCO ERAP RFEX|Z010624 |REL  CNF  GMPS JIPR MANC MOBI PRC  SETC|14.05.2024|31.05.2024|     7.28 | 18,062.24 |       |       |
