28.08.2024                                                                                                                       Dynamic List Display                                                                                                                                                                                1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Order     |Mn.wk.ctr|Description                             |Type|Room   |Equipment |Description of technical object      |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|ActTotCost|PlanTotCos|MntPlan|MntItem|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  4000109192|PMMACHI  |I00 Investigate Leak on SW Pre-Filter   |ZM01|1607   |TORSFT1017|SOFTENED WATER SYSTEM                |PM-EMS-MNT|TORB100-SWS001                |CA02T0111|01.06.2024|01.06.2024|PRCO RFEX     |11112023|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |05.10.2023|          | 1,149.40 | 2,075.69 |       |       |
|  4000141512|PMCARCON |B90 Tet Live Women's Washroom Repairs   |ZM01|RM 329 |          |                                     |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|01.05.2024|01.05.2024|PRCO RFEX     |REPORT  |REL  PCNF GMPS JIPR MANC PRC  SETC TTJL |10.04.2024|          |15,026.00 |15,704.50 |       |       |
|  4000144589|PMSTEAM  |Hard water in the condensate return.    |ZM01|       |          |                                     |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|25.05.2024|25.05.2024|PRCO RFEX     |Z250524 |REL  MANC PRC  SETC                     |          |          |     0.00 | 5,003.04 |       |       |
|  4000161354|PMMFO    |I00 FIMCEN Testing Support for New Seals|ZM01|2332   |TORCEN1552|FIM Tubular Centrifuge               |PM-CPD500 |TORB100-CES001-CEN0009        |CA02T0111|09.07.2024|09.07.2024|PRCO RFEX     |        |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |27.06.2024|09.07.2024| 5,655.43 |10,308.05 |       |       |
|  4000163329|PMMACHI  |Agitator Noise From Cell Tank 2         |ZM01|2320   |TORTNK2104|CELL TANK 2                          |PM-CPU000 |TORB100-CES001-TAN0004        |CA02T0111|15.07.2024|16.07.2024|PRCO RFEX     |        |REL  CNF  JBFI MANC MOBI PRC  SETC      |28.06.2024|30.07.2024|     0.00 |11,097.65 |       |       |
|  4000166098|PMPLUMB  |Compressed air regulator replacement-SUF|ZM01|120    |100005713 |GAUGE, PRESSURE (COMPRESSED AIR LINE)|PM-BAC-COP|TOR0B89-DSP026-XXX0001-PI00009|CA02T0047|06.07.2024|06.07.2024|PRCO RFEX     |Z060724 |REL  GMPS MANC PRC  SETC                |          |          |   160.32 |   398.60 |       |       |
|  4000166811|PMELECT  |B91 Aisle K Replacing Activity Lightbulb|ZM01|       |          |                                     |PM-MAM-MDC|TOR0B91-BUI001                |CA02T0021|10.07.2024|20.08.2024|PRCO RFEX     |Z140924 |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |10.07.2024|20.08.2024| 1,629.38 | 1,629.38 |       |       |
|  4000167535|PMELECON |Light Burnt B90 Entrance                |ZM01|       |          |                                     |          |TOR0B90                       |CA02T0167|17.08.2024|17.08.2024|PRCO RFEX     |Z170824 |REL  PCNF MANC MOBI NMAT PRC  SETC      |17.08.2024|          |     0.00 |     0.00 |       |       |
|  4000170395|PMSTEAM  |ZM08 - DWS1012 startup PMSTEAM          |ZM08|188    |TORDWS1012|SYSTEM_ DISTILLED WATER              |PM-BLK-WFI|TOR0B89-PWS003-PWP0001        |CA02T0086|29.07.2024|14.08.2024|PRCO RFEX     |10082024|REL  CNF  GMPS JBFI MANC MOBI PPRT PRC *|29.07.2024|27.08.2024|13,088.65 |13,212.62 |       |       |
