20.12.2023                                                                                                                       Dynamic List Display                                                                                                                                                                                1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object       |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|UserStatus    |Revision|System status                          |Act. start|Actual end|TotCostAct|PlanTotCos|MntPlan|MntItem|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMSTMCON |1Y-DEC, PMSTMCON                        |4000047818|ZM03|3215/17|TORAUT1138|AUTOCLAVE_ DECON                      |PM-QUC-MIC|TOR0B92-LAB011-AUT0001        |CA02T0029|01.12.2023|30.12.2023|PRCO RFEX     |16122023|REL  MANC NMAT PRC  SETC               |          |          |     0.00 | 1,930.00 |3736   |18046  |
|  PMHVAC   |B89 EXF1328 - Clean/Balance rotor       |4000096537|ZM01|ROOF   |TOREXF1328|EXHAUST FAN _SERVES R132A_135_137_138 |PM-BAC-COP|TOR0B89-HVA003-AHU0004-EXF0001|CA02T0043|30.12.2023|30.12.2023|PRCO RFEX     |DECSD23 |REL  MANC MOBI NMAT PRC  SETC TTJL     |          |          |     0.00 | 3,050.26 |       |       |
|  PMELECT  |PM-ELECT, B61 HIGH VOLT GLOVES          |4000097835|ZM03|       |          |                                      |          |TOR0B61                       |CA02T0091|01.12.2023|30.12.2023|PRCO RFEX     |13012024|REL  PCNF MOBI PRC  SETC               |07.12.2023|          |   149.39 | 1,361.96 |2638   |11216  |
|  PMPFO    |room 139                                |4000107450|ZM02|       |          |                                      |          |TOR0B93                       |CA02P0009|27.09.2023|          |PRCO RFEX     |        |REL  MANC MOBI NMAT PRC  SETC          |          |          |     0.00 |   784.76 |       |       |
|  PMSTMCON |B92 W&S AUT1119 SPS Deficiencies        |4000111403|ZM01|       |TORAUT1119|AUTOCLAVE                             |B92       |TOR0B92-EQP004-AUT0001        |CA02T0048|16.10.2023|16.10.2023|PRCO RFEX     |23122023|REL  GMPS MANC NMAT PRC  SETC          |          |          | 3,000.00 | 8,800.00 |       |       |
|  PMELECT  |B89E Replace Ceiling Lights R131        |4000111576|ZM01|       |          |                                      |          |TOR0B89                       |CA02T0043|01.12.2023|01.12.2023|PRCO RFEX     |DECSD23 |REL  ESTC PRC  SETC                    |          |          |     0.00 | 1,895.01 |       |       |
|  PMELECT  |motor failure - SAS1108                 |4000111642|ZM01|ROOF   |TORSAS1108|AIR HANDLING UNIT_ STERILE            |PM-BAC-COP|TOR0B89-HVA003-AHU0004        |CA02T0043|02.10.2023|02.10.2023|PRCO          |DECSD23 |REL  ESTC MANC NMAT PRC  SETC          |          |          |     0.00 | 5,650.26 |       |       |
|  PMMACCON |DSP showing wear HST1051                |4000111643|ZM01|113    |TORHST1051|HOIST                                 |PM-BAC-COP|TOR0B89-DSP026-HOI0005        |CA02T0047|12.10.2023|12.10.2023|PRCO          |DECSD23 |REL  ESTC MANC PRC  SETC               |          |          |     0.00 | 1,451.00 |       |       |
|  PMHVAC   |Motor failure - EXF1359                 |4000111644|ZM01|ROOF   |TOREXF1359|EXHAUST FAN _SERVES R171              |PM-BAC-COP|TOR0B89-HVA003-AHU0004-EXF0002|CA02T0043|02.10.2023|02.10.2023|PRCO RFEX     |DECSD23 |REL  ESTC MANC MOBI NMAT PRC  SETC TTJL|          |          |     0.00 | 3,906.51 |       |       |
|  PMCARCON |Facilities work for B90 Downstream      |4000114377|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|06.11.2023|06.11.2023|PRCO RFEX     |11112023|REL  GMPS MANC NMAT PRC  SETC          |          |          | 1,230.50 | 3,491.60 |       |       |
|  PMPLUMB  |B92 STI1018 Temp reading too high       |4000114534|ZM02|1405   |TORSTI1018|STILL_ MULTI_EFFECT DISTILLATION UNIT |PM-BLK-WFI|TOR0B92-WFS004-WFP0001        |CA02T0064|08.11.2023|          |ERAP PRCO RFEX|18112023|REL  CNF  JIPR MANC MOBI NMAT PRC  SETC|07.11.2023|20.11.2023| 2,156.35 | 2,375.02 |       |       |
|  PMPLMCON |Switch DCW supply to new BFP's          |4000116569|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|22.11.2023|22.11.2023|PRCO RFEX     |23122023|REL  PCNF JIPR MANC NMAT PRC  SETC     |          |          |     0.00 |10,950.00 |       |       |
|  PMELECT  |Recirculation motor pump tripped WAS1048|4000117109|ZM02|       |TORWAS1048|B90 Bottle Washer                     |B90       |TOR0B90-EQP004-WAM0002        |CA02T0036|27.11.2023|          |PRCO RFEX     |        |REL  PCNF GMPS MANC MOBI PRC  SETC     |27.11.2023|          |26,956.94 |51,009.83 |       |       |
|  PMELECT  |ADS & PPD LED light replacement         |4000117201|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|28.11.2023|01.12.2023|PRCO RFEX     |16122023|REL  GMPS MANC MOBI PPRT PRC  SETC     |          |          | 2,427.86 |10,878.38 |       |       |
|  PMCARCON |B91 Exterior Sealant Repairs 2023       |4000117501|ZM01|       |          |                                      |PM-MAM-MDC|TOR0B91-BUI001                |CA02T0021|31.12.2023|31.12.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |   943.00 |       |       |
|  PMHVACON |fan bearings Replacement                |4000117531|ZM01|ROOF   |TORSAS1023|AIR HANDLING UNIT_ STERILE            |PM-BAC-MED|TOR0B90-HVA002-AHU0001        |CA02T0037|30.11.2023|30.11.2023|PRCO RFEX     |23122023|REL  MANC NMAT PRC  SETC               |          |          |     0.00 | 6,362.00 |       |       |
|  PMELECT  |B90 Downstream - Water Bath Not Heating |4000118948|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|20.12.2023|20.12.2023|PRCO RFEX     |06012024|REL  PCNF JIPR MANC MOBI PRC  SETC     |18.12.2023|          | 1,323.79 | 2,422.93 |       |       |
|  PMPFO    |Investigate critical LOLO ALM ADS_REF501|4000120339|ZM01|2345   |TORREF1499|REFRIGERATOR                          |PM-CPD000 |TORB100-DSP009-REF0003        |CA02T0111|14.12.2023|14.12.2023|PRCO RFEX     |        |REL  MANC PRC  SETC                    |          |          |     0.00 | 2,128.76 |       |       |
|  PMMACCON |replace rusty housing HST1106           |4000120571|ZM01|154    |TORHST1106|WINCH                                 |PM-BAC-COP|TOR0B89-EQP006-HOI0003        |CA02T0044|15.12.2023|15.12.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC          |          |          |     0.00 | 1,356.00 |       |       |
|  PMMACCON |Rm171 door stainless steel damaged      |4000120715|ZM01|       |          |                                      |          |TOR0B89                       |CA02T0043|29.11.2023|29.11.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC          |          |          |     0.00 |12,850.00 |       |       |
|  PMAUTO   |WII1130 Nanodac controller issue        |4000120719|ZM01|       |TORWII1130|LAB WORKS INCUBATOR, WALK-IN 19-02-253|B90       |TOR0B90-USP007-WII0001        |CA02T0039|25.07.2023|25.07.2023|PRCO          |13012024|REL  NMAT PRC  SETC                    |          |          |     0.00 |23,020.00 |       |       |
|  PMPLUMB  |Burst pipe in DFER TCU Supply           |4000120834|ZM01|2414   |TORFER1165|FERMENTOR                             |PM-DTP100 |TORB100-BIO002-FER0051        |CA02T0111|26.01.2024|26.01.2024|PRCO          |        |REL  PRC  SETC                         |          |          |     0.00 |   977.52 |       |       |
