05.02.2024                                                                                                                         Dynamic List Display                                                                                                                                                                                   1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|ActTotCost| PlanTotCos|MntPlan|MntItem|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMSTEAM  |SDS1033 flow sensor replacement         |4000074720|ZM01|PH      |TORSDS1033|SYSTEM, STEAM GENERATION                |PM-BAC-FER|TOR0B90-HVA007                |CA02T0039|03.06.2023|03.06.2023|PRCO RFEX     |03062023|REL  GMPS MANC PRC  SETC                |          |          |   134.93 |  1,586.42 |       |       |
|  PMELECT  |B93 ThermScan: Repair/replace Fuse Block|4000075709|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|10.11.2023|11.11.2023|PRCO RFEX     |03022024|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |31.05.2023|          | 6,219.08 |  6,268.00 |       |       |
|  PMREFRI  |B92 WIR1224 R3232 Order drain pan       |4000077732|ZM01|        |TORWIR1224|WALK_IN REFRIGERATOR                    |B92       |TOR0B92-LAB015-COR0002        |CA02T0029|27.05.2023|27.05.2023|PRCO RFEX     |24022024|REL  PCNF ESTC MANC MOBI PRC  SETC      |26.01.2024|          |   982.25 |  1,565.70 |       |       |
|  PMMACCON |B95 Annual inspection AWP1000 & ELV1031 |4000084044|ZM01|VARIOUS |TORAWP1000|AERIAL WORK PLATFORM                    |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|19.05.2023|19.05.2023|PRCO RFEX     |QUOTE   |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  5,540.80 |       |       |
|  PMCARCON |replace ceiling tiles                   |4000102490|ZM01|2104    |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0032|22.11.2023|22.11.2023|PRCO ERAP RFEX|REPORT  |TECO CNF  PRT  GMPS MANC NMAT PRC  SETC |04.09.2023|22.11.2023|   276.00 |    460.00 |       |       |
|  PMMACCON |PM-MACON, TNK1786                       |4000103334|ZM03|        |TORTNK1786|75L Additional Can                      |B89       |TOR0B89-DSP014-TAN0095        |CA02T0043|01.01.2024|29.02.2024|PRCO RFEX     |20012024|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,550.00 |3226   |13750  |
|  PMPLMCON |PM-PLCON, TORSYS1126                    |4000103460|ZM03|        |TORSYS1126|18CM B90 Relocate Propane Fisher System |B90       |TOR0B90-MEF005                |CA02T0037|01.02.2024|01.03.2024|PRCO RFEX     |10022024|REL  MANC NMAT PRC  SETC TTJL           |          |          |     0.00 |  1,093.01 |3711   |17945  |
|  PMREFRI  |Replace Rusted door handle              |4000104572|ZM01|2218    |TORWIR1201|WALK_IN REFRIGERATOR                    |PM-QUC-SIC|TOR0B92-LAB029-COR0001        |CA02T0033|01.09.2023|01.09.2023|PRCO RFEX     |17022024|REL  ESTC MANC MOBI PRC  SETC           |          |          |     0.00 |    872.53 |       |       |
|  PMELECT  |Burnt out light bulb in Rm 3606         |4000106234|ZM01|3606    |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0075|16.12.2023|23.01.2024|PRCO RFEX     |10022024|REL  PCNF ESTC MANC MOBI PRC  SETC      |16.12.2023|          | 1,622.62 |  1,334.00 |       |       |
