08.01.2024                                                                                                                        Dynamic List Display                                                                                                                                                                                 1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object        |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|UserStatus    |Revision|System status                          |Act. start|Actual end|TotCostAct| PlanTotCos|MntPlan|MntItem|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMREFRI  |Replace chiller flow sensor             |4000043790|ZM01|VARIOUS|TORCHI1065|CHILLER_ RECIRCULATING                 |PM-BAC-COP|TOR0B89-DSP003-CHI0002        |CA02T0043|30.12.2023|31.12.2023|PRCO RFEX     |06012024|REL  GMPS MANC MOBI PRC  SETC          |          |          |   348.08 |  2,701.03 |       |       |
|  PMMACCON |PM-MACON, DWS1008                       |4000045334|ZM03|169    |TORDWS1008|SYSTEM_ DISTILLED WATER                |PM-FIP-WAS|TOR0B83-PWS001-PWP0001        |CA02T0086|01.04.2023|30.04.2024|PRCO          |EXTENDED|REL  GMPS MANC PPRT PRC  SETC TTJL     |          |          |56,351.70 |137,053.66 |3104   |13531  |
|  PMAUTO   |B90 MTech MAGs Inspection               |4000053626|ZM01|       |          |                                       |          |TOR0B90                       |CA02T0167|09.01.2023|09.01.2023|PRCO          |QUOTE   |REL  NMAT PRC  SETC                    |          |          |     0.00 |  7,653.85 |       |       |
|  PMREFCON |CHA1009 - Conductivity sensor issue     |4000059345|ZM01|       |TORCHA1009|SYSTEM_ CHILLED WATER                  |PM-EMS-MNT|TOR0B92-CWS001                |CA02T0090|01.02.2023|01.02.2023|PRCO RFEX     |QUOTE   |REL  NMAT PRC  SETC                    |          |          |     0.00 |    654.00 |       |       |
|  PMAUTO   |Implement Eurotherm Data Review Core    |4000064188|ZM01|221    |TORREC3980|RECORDER, NANODAC CONTROLLER           |PM-QUA-SDB|TOR0B71-MNT001-REC0003        |CA02T0109|19.04.2023|19.04.2023|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC TTJL          |          |          |     0.00 | 31,689.00 |       |       |
|  PMMACCON |Door not closing between 292 and 315    |4000090248|ZM01|       |          |                                       |          |TOR0B90                       |CA02T0167|04.11.2023|04.11.2023|PRCO RFEX     |B90JUN24|REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  3,561.00 |       |       |
|  PMELECT  |B93 - CPR1008 additional parts replace  |4000093949|ZM01|131    |TORCPR1008|CAPPER                                 |PM-BRD-CBM|TOR0B93-LAB008-CAC0001        |CA02P0009|11.07.2023|11.07.2023|PRCO          |17022024|REL  GMPS MANC PRC  SETC               |          |          |16,214.03 | 17,343.04 |       |       |
|  PMMACCON |repair SCA0566 ramp                     |4000098830|ZM01|256    |TORSCA0566|BALANCE CLASS III                      |PM-BAC-MED|TOR0B90-MEF004-XXX0001-WI00001|CA02T0037|23.10.2023|23.10.2023|PRCO RFEX     |13012024|REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  6,025.00 |       |       |
|  PMPLMCON |B92 Replace chilled water valve M/R 1400|4000099048|ZM01|1400   |          |                                       |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|29.09.2023|29.09.2023|PRCO RFEX     |13012024|REL  ESTC MANC NMAT PRC  SETC          |          |          |     0.00 |  9,283.00 |       |       |
|  PMPLMCON |PM-PLCON, WAS1019                       |4000103349|ZM03|128    |TORWAS1019|WASHER, VIAL                           |PM-BRD-CSU|TOR0B93-EQP002-WAM0001        |CA02P0009|01.01.2024|30.01.2024|PRCO RFEX     |17022024|REL  MANC NMAT PRC  SETC               |          |          |     0.00 | 46,341.93 |2774   |12153  |
|  PMPLUMB  |Install copper oxygen lines in lab      |4000105607|ZM01|       |          |                                       |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|08.11.2023|08.11.2023|PRCO RFEX     |16092023|REL  PCNF JIPR MANC NMAT PPRT PRC  SETC|06.09.2023|          |   563.76 | 14,483.76 |       |       |
