12.01.2024                                                                                                                        Dynamic List Display                                                                                                                                                                                 1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object        |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|UserStatus    |Revision|System status                           |Act. start|Actual end|TotCostAct|PlanTotCos|MntPlan|MntItem|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMPLMCON |PM-PLCON, TORSYS1126                    |4000092623|ZM03|       |TORSYS1126|18CM B90 Relocate Propane Fisher System|B90       |TOR0B90-MEF005                |CA02T0037|01.12.2023|30.12.2023|PRCO ERAP RFEX|02122023|REL  CNF  JBFI MANC NMAT PRC  SETC      |01.12.2023|12.12.2023| 3,382.51 | 4,424.26 |3711   |17945  |
|  PMHVAC   |Rm 208 leak detector                    |4000105504|ZM02|       |          |                                       |          |TOR0B90                       |CA02T0167|14.09.2023|          |PRCO RFEX     |REPORT  |REL  CNF  PRT  GMPS JBFI MANC MOBI NMAT*|01.09.2023|11.01.2024|15,930.37 |10,221.22 |       |       |
|  PMPLUMB  |PM-PLUMB, B93 LEVEL 1 FLOOR DRAIN       |4000108468|ZM03|       |          |                                       |          |TOR0B93                       |CA02P0009|01.02.2024|01.03.2024|PRCO RFEX     |        |REL  MANC NMAT PPRT PRC  SETC TTJL      |          |          |     0.00 |12,345.63 |2832   |12697  |
|  PMSTEAM  |PM-STEAM, STG1020                       |4000108486|ZM03|008    |TORSTG1020|STEAM GENERATOR_ PURE                  |PM-BRD-CBM|TOR0B93-CSS001-CSG0001        |CA02T0086|01.02.2024|01.03.2024|PRCO          |        |REL  PRT  CSER MANC MSPT PRC  SETC TTJL |          |          |     0.00 |31,782.84 |2910   |13030  |
|  PMPLUMB  |Check and replace propane tank          |4000109154|ZM02|       |          |                                       |          |TOR0B90                       |CA02T0167|04.10.2023|04.10.2023|PRCO RFEX     |REPORT  |REL  CNF  JIPR MANC NMAT PRC  SETC      |04.10.2023|19.10.2023|   307.51 |   817.51 |       |       |
|  PMPLUMB  |Basement stairwell drain overflow       |4000109809|ZM02|       |          |                                       |          |TOR0B90                       |CA02T0167|25.08.2023|          |PRCO RFEX     |REPORT  |REL  CNF  GMPS JBFI MANC MOBI NMAT PRC *|25.10.2023|25.10.2023| 1,662.50 | 7,060.51 |       |       |
|  PMELECT  |B92 R3514 battery change for the UPS    |4000110875|ZM01|3514   |TORSEQ1003|SEQUENCER_ GENETIC                     |PM-QC-LAB |TOR0B92-LAB019-XXX0001-SEQ0001|CA02T0029|03.11.2023|03.11.2023|PRCO RFEX     |03022024|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |03.11.2023|          | 1,550.26 | 2,026.72 |       |       |
|  PMGSSECU |CS-SECUR, B94 ROOM214                   |4000112869|ZM03|       |          |                                       |          |TOR0B94                       |CA02T0028|01.03.2024|30.03.2024|PRCO RFEX     |        |REL  PRT  CSER MANC NMAT PRC  SETC TTJL |          |          |     0.00 |   430.00 |2776   |12183  |
|  PMCARCON |Facilities work for B90 Downstream      |4000114377|ZM01|       |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|06.11.2023|06.11.2023|PRCO RFEX     |11112023|REL  GMPS MANC NMAT PRC  SETC           |          |          | 6,355.10 |10,742.35 |       |       |
|  PMMACHI  |Assess DFER sight glass Triferrule      |4000115014|ZM01|2414   |TORFER1165|FERMENTOR                              |PM-DTP100 |TORB100-BIO002-FER0051        |CA02T0111|17.11.2023|17.11.2023|PRCO RFEX     |REPORT  |REL  PCNF JIPR MANC MOBI NMAT PRC  SETC |16.11.2023|          |   683.17 | 2,920.01 |       |       |
|  PMELECT  |ADS & PPD LED light replacement         |4000117201|ZM01|       |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|28.11.2023|10.01.2024|PRCO RFEX     |20012024|REL  PCNF GMPS MANC MOBI PPRT PRC  SETC |24.12.2023|          |10,309.22 |16,053.23 |       |       |
|  PMCARCON |Insulate near sensing bulb in suction   |4000117739|ZM01|       |TORWII1130|LAB WORKS INCUBATOR, WALK-IN 19-02-253 |B90       |TOR0B90-USP007-WII0001        |CA02T0039|29.11.2023|29.11.2023|PRCO ERAP RFEX|REPORT  |TECO CNF  JBFI MANC NMAT PRC  SETC      |29.11.2023|11.01.2024|     0.00 |   640.00 |       |       |
|  PMCARCON |Painting Touch ups                      |4000119409|ZM01|       |          |                                       |          |TOR0B89                       |CA02T0043|08.12.2023|08.12.2023|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |          |14,116.25 |17,406.75 |       |       |
|  PMELECT  |Replace Ballast and Lights B90 entrance |4000122660|ZM01|       |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|02.01.2024|02.01.2024|PRCO          |30122023|REL  PCNF JIPR MANC NMAT PRC  SETC      |          |          |     0.00 | 1,785.00 |       |       |
|  PMELECT  |B83 EXM1003 Repair PCB's                |4000122847|ZM01|       |TOREXM1003|MACHINE, EXAMINING L.S., LINE #2       |B83       |TOR0B83-FIL003-INM0001        |CA02T0001|03.01.2024|03.01.2024|PRCO RFEX     |20012024|REL  ESTC MOBI PRC  SETC                |          |          |     0.00 | 2,797.42 |       |       |
|  PMMACHI  |Setup Spare LAF Blower & Motor Assembly |4000123108|ZM01|3603   |TORLFF1417|LAMINAR FLOW MOD.IN COOL DOWN RM.2211  |PM-EMS-MNT|TORB100-HVA001-AHU0017-AIF0041|CA02T0111|16.02.2024|16.02.2024|PRCO RFEX     |        |REL  MANC PRC  SETC                     |          |          |     0.00 | 2,166.89 |       |       |
|  PMREFRI  |Order Pitot Tubes                       |4000123338|ZM01|       |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|05.01.2024|05.01.2024|PRCO RFEX     |20012024|REL  GMPS PRC  SETC                     |          |          |    12.70 |   268.96 |       |       |
|  PMMACHI  |B89 USP CEN0081 Replace sight glass     |4000123470|ZM01|       |TORCEN0081|CENTRIFUGE                             |B89       |TOR0B89-DSP003-CEN0001        |CA02T0043|08.01.2024|08.01.2024|PRCO RFEX     |20012024|REL  PRC  SETC                          |          |          |     0.00 | 1,345.61 |       |       |
|  PMCARCON |Facility Walkabout Adsorptions          |4000123516|ZM01|       |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|04.01.2024|04.01.2024|PRCO RFEX     |06012023|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   540.50 |       |       |
|  PMCARCON |B71 Exterior Door Repairs 2024          |4000123525|ZM01|218    |          |                                       |PM-EMS-MNT|TOR0B71-MNT001                |CA02T0109|08.01.2024|08.01.2024|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 4,663.26 |       |       |
|  PMHVAC   |Replace Flow switch                     |4000123579|ZM01|       |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|09.01.2024|09.01.2024|PRCO RFEX     |20012024|REL  MANC PRC  SETC                     |          |          |     0.00 | 1,139.30 |       |       |
