19.01.2024                                                                                                                      Dynamic List Display                                                                                                                                                                                1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object      |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|UserStatus    |Revision|System status                          |Act. start|Actual end|TotCostAct|PlanTotCos|MntPlan|MntItem|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMMETRO  |METRO, 300015955 TOC Intr               |4000078940|ZM05|M301   |300015955 |TOC TRANSMITTER_DIST  SYS 2 LOOP2 RET|PM-BLK-WFI|TOR0B90-PWS008-PWP0003-TOC0002|CA02T0086|01.06.2023|31.01.2024|PRCO RFEX     |EXTENDED|REL  PRT  CSER GMPS ILAS MANC PRC  SETC|          |          | 3,339.91 |17,572.98 |66355  |84003  |
|  PMMETRO  |METRO, 300015959 TOC Intr               |4000078946|ZM05|008    |300015959 |ANALYZER_TOC                         |PM-BRD-CSU|TOR0B93-PWS008-XXX0001-TOC0001|CA02P0009|01.02.2024|28.02.2024|PRCO RFEX     |EXTENDED|REL  GMPS ILAS MANC PRC  SETC          |          |          |   330.02 |12,097.94 |66359  |84007  |
|  PMMETRO  |METRO, 300015975 TOC Intr               |4000082000|ZM05|1607   |300015975 |TOC ANALYZER                         |PM-EMS-MNT|TORB100-WFS006-XXX0001-TOC0001|CA02T0111|01.06.2023|30.06.2023|PRCO RFEX     |        |REL  GMPS ILAS MANC PRC  SETC          |          |          |   906.99 |17,610.00 |66376  |84024  |
|  PMMACCON |PM-MACON, HST1075                       |4000097992|ZM03|3606   |TORHST1075|HOIST_ ALUMINUM DC POWERED QUICK LIFT|PM-QC-LAB |TOR0B92-LAB037-HOI0001        |CA02T0075|01.12.2023|30.12.2023|PRCO ERAP RFEX|25112023|REL  CNF  JIPR MANC NMAT PRC  SETC     |01.12.2023|07.12.2023|     0.00 | 1,104.00 |2780   |12341  |
|  PMPLUMB  |PM-PLUMB, TNK1163                       |4000098108|ZM03|       |TORTNK1163|Buffer Tank                          |B89       |TOR0B89-DSP023-TAN0019        |CA02T0043|01.12.2023|29.02.2024|PRCO RFEX     |03022024|REL  GMPS MANC PRC  SETC               |          |          |   244.69 | 5,389.09 |2667   |11569  |
|  PMCARCON |Repair work in Room 3104 and 3103       |4000117338|ZM01|       |          |                                     |          |TORB100                       |CA02T0111|29.11.2023|30.11.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |     0.00 | 3,798.40 |       |       |
|  PMCARCON |I00 Repair Leak in RM 1734 Kitting Area |4000119248|ZM01|       |          |                                     |          |TORB100                       |CA02T0111|11.12.2023|17.01.2024|PRCO RFEX     |        |REL  PCNF MANC MOBI NMAT PRC  SETC     |16.01.2024|          | 3,587.64 | 3,732.65 |       |       |
|  PMMETRO  |PMMETRO, 300020264 TOC                  |4000121070|ZM05|BSMT   |300020264 |ANALYZER, TOC                        |PM-BLK-WFI|TORB100-WFS012-XXX0001-TOC0004|CA02T0086|01.01.2024|30.01.2024|PRCO          |        |REL  ILAS MANC PRC  SETC               |          |          |     0.00 |17,066.11 |73343  |91063  |
|  PMMACCON |B83 TUS0003 Clean stained plate         |4000123469|ZM01|       |TORTUS0003|STERILIZER, LINE #4                  |B83       |TOR0B83-FIL004-STU0002        |CA02T0035|08.01.2024|08.01.2024|PRCO ERAP RFEX|REPORT  |REL  CNF  JIPR MANC NMAT PRC  SETC     |20.11.2023|08.01.2024|     0.00 |   750.00 |       |       |
