23.01.2024                                                                                                                        Dynamic List Display                                                                                                                                                                                  1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Description of technical object        |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|UserStatus    |Revision|System status                           |Act. start|Actual end|TotCostAct|PlanTotCos|MntPlan|MntItem|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMMACCON |PM-MACON, WAS1084                       |4000044993|ZM03|238     |TORWAS1084|WASHER, CAGE/RACK                      |PM-ANR-ANT|TOR0B94-EQP002-WAM0001        |CA02T0028|01.03.2023|30.03.2023|PRCO ERAP RFEX|MANAGER |TECO CNF  MANC NMAT PRC  SETC           |01.03.2023|11.12.2023|     0.00 | 4,680.00 |3213   |13722  |
|  PMELECT  |B93 ThermScan: Repair/replace Fuse Block|4000075709|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|10.11.2023|11.11.2023|PRCO RFEX     |20012024|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |31.05.2023|          | 4,294.58 | 4,343.50 |       |       |
|  PMMETRO  |METRO, 300015955 TOC Intr               |4000078940|ZM05|M301    |300015955 |TOC TRANSMITTER_DIST  SYS 2 LOOP2 RET  |PM-BLK-WFI|TOR0B90-PWS008-PWP0003-TOC0002|CA02T0086|01.06.2023|31.01.2024|PRCO RFEX     |EXTENDED|REL  PRT  CSER GMPS ILAS MANC PRC  SETC |          |          | 3,339.91 |17,572.98 |66355  |84003  |
|  PMMETRO  |METRO, 300015959 TOC Intr               |4000078946|ZM05|008     |300015959 |ANALYZER_TOC                           |PM-BRD-CSU|TOR0B93-PWS008-XXX0001-TOC0001|CA02P0009|01.02.2024|28.02.2024|PRCO RFEX     |EXTENDED|REL  GMPS ILAS MANC PRC  SETC           |          |          |   330.02 |12,097.94 |66359  |84007  |
|  PMMETRO  |METRO, 300015975 TOC Intr               |4000082000|ZM05|1607    |300015975 |TOC ANALYZER                           |PM-EMS-MNT|TORB100-WFS006-XXX0001-TOC0001|CA02T0111|01.06.2023|30.06.2023|PRCO RFEX     |        |REL  GMPS ILAS MANC PRC  SETC           |          |          |   906.99 |17,610.00 |66376  |84024  |
|  PMPLMCON |PM-PLCON, TORSYS1126                    |4000092623|ZM03|        |TORSYS1126|18CM B90 Relocate Propane Fisher System|B90       |TOR0B90-MEF005                |CA02T0037|01.12.2023|30.12.2023|PRCO ERAP RFEX|02122023|TECO CNF  JBFI MANC NMAT PRC  SETC      |01.12.2023|12.12.2023| 3,382.51 | 4,424.26 |3711   |17945  |
|  PMPLMCON |PM-PLCON, TORSYS1126                    |4000097673|ZM03|        |TORSYS1126|18CM B90 Relocate Propane Fisher System|B90       |TOR0B90-MEF005                |CA02T0037|01.01.2024|30.01.2024|PRCO RFEX     |06012024|REL  PRT  MANC NMAT PRC  SETC TTJL      |          |          |     0.00 | 1,093.01 |3711   |17945  |
|  PMMACCON |PM-MACON, HST1075                       |4000097992|ZM03|3606    |TORHST1075|HOIST_ ALUMINUM DC POWERED QUICK LIFT  |PM-QC-LAB |TOR0B92-LAB037-HOI0001        |CA02T0075|01.12.2023|30.12.2023|PRCO ERAP RFEX|25112023|REL  CNF  JIPR MANC NMAT PRC  SETC      |01.12.2023|07.12.2023|     0.00 | 1,104.00 |2780   |12341  |
|  PMPLUMB  |PM-PLUMB, TNK1163                       |4000098108|ZM03|        |TORTNK1163|Buffer Tank                            |B89       |TOR0B89-DSP023-TAN0019        |CA02T0043|01.12.2023|29.02.2024|PRCO RFEX     |03022024|REL  GMPS MANC PRC  SETC                |          |          |   244.69 | 5,389.09 |2667   |11569  |
|  PMHVAC   |I00 Inspect Augury Alert for FAI1048    |4000100062|ZM01|3603    |TORFAI1048|SUPPLY FAN                             |PM-EMS-MNT|TORB100-HVA001-AHU0014-AIR0002|CA02T0111|01.01.2024|01.01.2024|PRCO RFEX     |        |REL  PCNF GMPS MANC MOBI PRC  SETC      |23.12.2023|          |11,614.68 |17,786.49 |       |       |
|  PMMACCON |PM-MACON, HST1099                       |4000103346|ZM03|B54 DOCK|TORHST1099|LIFT_ DRUM                             |PM-BAC-COP|TOR0B54-DSP001-HOI0001        |CA02T0043|01.01.2024|30.01.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC TTJL           |          |          |     0.00 | 1,214.00 |2774   |12145  |
|  PMHVAC   |Rm 208 leak detector                    |4000105504|ZM02|        |          |                                       |          |TOR0B90                       |CA02T0167|14.09.2023|          |ERAP PRCO RFEX|REPORT  |TECO CNF  PRT  GMPS JBFI MANC MOBI NMAT*|01.09.2023|11.01.2024|15,930.37 |10,221.22 |       |       |
|  PMELECT  |Damaged, need replacement               |4000108142|ZM01|168     |TORGLY1019|GLYCOL PRE_HEATING SYSTEM              |          |TOR0B89-HRS002                |CA02T0107|03.11.2023|03.11.2023|PRCO RFEX     |DECSD23 |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |02.10.2023|14.12.2023| 1,096.08 | 3,041.49 |       |       |
