31.01.2024                                                                                                                         Dynamic List Display                                                                                                                                                                                   1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|TotCostAct| PlanTotCos|MntPlan|MntItem|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMELECT  |B93 ThermScan: Repair/replace Fuse Block|4000075709|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|10.11.2023|11.11.2023|PRCO RFEX     |03022024|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |31.05.2023|          | 6,219.08 |  6,268.00 |       |       |
|  PMREFRI  |B92 WIR1224 R3232 Order drain pan       |4000077732|ZM01|        |TORWIR1224|WALK_IN REFRIGERATOR                    |B92       |TOR0B92-LAB015-COR0002        |CA02T0029|27.05.2023|27.05.2023|PRCO RFEX     |24022024|REL  PCNF ESTC MANC MOBI PRC  SETC      |26.01.2024|          |   982.25 |  1,565.70 |       |       |
|  PMCARCON |replace ceiling tiles                   |4000102490|ZM01|2104    |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0032|22.11.2023|22.11.2023|PRCO ERAP RFEX|REPORT  |REL  CNF  PRT  GMPS JIPR MANC NMAT PRC *|04.09.2023|22.11.2023|   276.00 |    460.00 |       |       |
|  PMMACCON |PM-MACON, TNK1786                       |4000103334|ZM03|        |TORTNK1786|75L Additional Can                      |B89       |TOR0B89-DSP014-TAN0095        |CA02T0043|01.01.2024|29.02.2024|PRCO RFEX     |20012024|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,550.00 |3226   |13750  |
|  PMPLMCON |PM-PLCON, TORSYS1126                    |4000103460|ZM03|        |TORSYS1126|18CM B90 Relocate Propane Fisher System |B90       |TOR0B90-MEF005                |CA02T0037|01.02.2024|01.03.2024|PRCO RFEX     |10022024|REL  MANC NMAT PRC  SETC TTJL           |          |          |     0.00 |  1,093.01 |3711   |17945  |
|  PMREFRI  |Replace Rusted door handle              |4000104572|ZM01|2218    |TORWIR1201|WALK_IN REFRIGERATOR                    |PM-QUC-SIC|TOR0B92-LAB029-COR0001        |CA02T0033|01.09.2023|01.09.2023|PRCO RFEX     |17022024|REL  ESTC MANC MOBI PRC  SETC           |          |          |     0.00 |    872.53 |       |       |
|  PMELECT  |Burnt out light bulb in Rm 3606         |4000106234|ZM01|3606    |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0075|16.12.2023|23.01.2024|PRCO RFEX     |10022024|REL  PCNF ESTC MANC MOBI PRC  SETC      |16.12.2023|          | 1,622.62 |  1,334.00 |       |       |
|  PMMACCON |B92 DOR1060 Fix sliding door            |4000114244|ZM01|3502    |TORDOR1060|DOOR_ HORIZONTAL SINGLE SLIDE POWER     |PM-QUA-ENC|TOR0B92-BUI002-DOO0001        |CA02T0030|14.07.2023|14.07.2023|PRCO          |10022024|REL  NMAT PRC  SETC                     |          |          |     0.00 |    425.00 |       |       |
|  PMHVAC   |B83 SAS1105 Control Valve Insulation    |4000115632|ZM01|ROOF    |TORSAS1105|AIR HANDLING UNIT_ STERILE              |PM-FIP-FIL|TOR0B83-HVA005-AHU0009        |CA02T0035|13.12.2023|13.12.2023|PRCO RFEX     |REPORT  |REL  PCNF GMPS JIPR MANC MOBI NMAT PRC *|16.11.2023|          | 5,689.31 |  6,606.76 |       |       |
|  PMCARCON |I00 Maintenance Shop Drywall            |4000117202|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|08.01.2024|08.01.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 16,031.00 |       |       |
|  PMELECT  |B90 Downstream - Water Bath Not Heating |4000118948|ZM01|        |TORWAB1201|2017 B90 Production Continuity Waterbath|B90       |TOR0B90-DSP012-TCB0002        |CA02T0039|20.12.2023|20.12.2023|PRCO RFEX     |COMMENT |REL  CNF  JBFI MANC MOBI PRC  SETC      |18.12.2023|25.01.2024| 2,348.83 |  3,739.82 |       |       |
|  PMCARCON |I00 Repair Leak in RM 1734 Kitting Area |4000119248|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|11.12.2023|18.01.2024|PRCO RFEX     |        |REL  PCNF GMPS MANC MOBI NMAT PRC  SETC |16.01.2024|          | 6,295.25 |  8,490.65 |       |       |
|  PMELECT  |B92 R2225 Add power outlet cover        |4000119803|ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|08.12.2023|08.12.2023|PRCO RFEX     |10022024|REL  PCNF MOBI PRC  SETC                |20.01.2024|          |   533.79 |    572.87 |       |       |
|  PMREFRI  |B83 OrderR131A temperature trending high|4000123832|ZM01|131A    |TORWII1105|WALK_IN INCUBATOR                       |PM-QUA-ENC|TOR0B83-LAB002-WII0001        |CA02T0030|29.01.2024|29.01.2024|PRCO RFEX     |10022024|REL  PCNF MANC MOBI PRC  SETC           |29.01.2024|          |   384.39 |  1,659.18 |       |       |
|  PMPLUMB  |B93 - Rm 207 Water leaking from sink    |4000124028|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|10.01.2024|10.01.2024|PRCO RFEX     |13012024|REL  CSER GMPS MANC MOBI PRC  SETC      |          |          |    97.38 |  1,059.29 |       |       |
|  PMELECT  |B92 R3109 UPS for TORAPP1133 Battery Low|4000124442|ZM01|3109    |TORAPP1133|KjelSampler                             |PM-QUC-CHE|TOR0B92-LAB004-ANA0001-SCP0001|CA02T0024|25.01.2024|25.01.2024|PRCO RFEX     |10022024|REL  PCNF MANC MOBI PRC  SETC           |24.01.2024|          |   555.06 | 10,062.11 |       |       |
|  PMELECT  |B90 Room 127 Lights                     |4000124512|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|12.01.2024|12.01.2024|PRCO RFEX     |10022024|REL  PRC  SETC                          |          |          |     0.00 |    988.21 |       |       |
|  PMELECT  |Brine Tank Overflow                     |4000124597|ZM01|1607    |TORTNK2054|SOFTENED WATER BRINE TANK               |PM-EMS-MNT|TORB100-SWS003-TAN0001        |CA02T0111|17.01.2024|19.01.2024|PRCO RFEX     |        |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |17.01.2024|23.01.2024| 6,285.59 | 11,375.63 |       |       |
|  PMELECT  |B83 R325A Investigate faulty THS1702    |4000124833|ZM01|325A    |TORTHS1702|HUMIDITY_TEMPERATURE SENSOR             |PM-FIP-FIL|TOR0B83-FIL014-PTH0001-TME0027|CA02T0035|26.01.2024|26.01.2024|PRCO RFEX     |17022024|REL  PCNF JIPR MANC MOBI PRC  SETC      |26.01.2024|          |   896.65 |  1,640.08 |       |       |
|  PMHVACON |TET live & non live air balancing       |4000125181|ZM01|PENTHOUS|TORSAS1120|AIR HANDLING UNIT_ STERILE              |PM-BAC-TET|TOR0B90-HVA006-AHU0003        |CA02T0039|19.01.2024|26.01.2024|PRCO RFEX     |20012024|REL  CNF  JBFI MANC MOBI PRC  SETC      |19.01.2024|29.01.2024| 4,727.75 |  5,450.08 |       |       |
|  PMCARCON |B92 R3321 sharp edges on wall protector |4000125572|ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0029|01.05.2023|01.05.2023|PRCO RFEX     |QUOTE   |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    166.75 |       |       |
|  PMREFRI  |B92 R3234 Replace Corroded Drain Pan    |4000125610|ZM01|3234    |TORWIR1226|WALK_IN REFRIGERATOR                    |PM-QUC-MIC|TOR0B92-LAB015-COR0004        |CA02T0029|04.01.2024|04.01.2024|PRCO RFEX     |02032024|REL  PRC  SETC                          |          |          |     0.00 |  1,309.48 |       |       |
|  PMREFRI  |B92 R3314 WIR1227 Replace Evaporator Mot|4000125611|ZM01|3314    |TORWIR1227|WALK_IN REFRIGERATOR                    |PM-QUC-MIC|TOR0B92-LAB015-COR0005        |CA02T0029|04.01.2024|04.01.2024|PRCO RFEX     |10022024|REL  PRC  SETC                          |          |          |     0.00 |  1,517.14 |       |       |
|  PMHVAC   |B61-SHOP DISPENSER TO BE FIXED          |4000125677|ZM01|        |          |                                        |          |TOR0B61-BUI001                |CA02T0090|23.01.2024|23.01.2024|PRCO RFEX     |20012024|REL  GMPS MANC MOBI PRC  SETC           |          |          |    71.58 |    891.62 |       |       |
|  PMELECT  |I00 LAF01 Change VFD from Auto to Manual|4000125933|ZM01|3603    |TORLFF1417|LAMINAR FLOW MOD.IN COOL DOWN RM.2211   |PM-EMS-MNT|TORB100-HVA001-AHU0017-AIF0041|CA02T0111|25.01.2024|25.01.2024|PRCO RFEX     |        |REL  PCNF JIPR MANC MOBI NMAT PRC  SETC |25.01.2024|          | 1,345.11 |  2,597.78 |       |       |
|  PMELECT  |Mold in Walk in Fridge                  |4000125972|ZM02|290P    |TORWIF1037|WALK_IN FREEZER                         |          |TOR0B83-BUI014-WIF0001        |CA02T0101|24.01.2024|          |PRCO RFEX     |        |REL  MANC MOBI NMAT PRC  SETC           |          |          |     0.00 |  1,089.52 |       |       |
|  PMPLMCON |I00 Insulate Heat Tracing on Brine Tank |4000126029|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|24.01.2024|24.01.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,360.00 |       |       |
|  PMCARCON |2024 Sitewide Orkin Pest Control Program|4000126310|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|25.01.2024|25.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |159,481.35 |       |       |
|  PMCARCON |2024 Site Wide Elevator PM Program      |4000126476|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|26.01.2024|26.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 25,991.10 |       |       |
