05.07.2024                                                                                                                  Dynamic List Display                                                                                                                                                                            1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Notifctn |Type|Room    |Equipment |Description of technical object         |Functional Location           |Cost Ctr |Created On|Bsc start |Basic fin.|User Status   |Revision|System status                          |Act. start|Actual end|MntPlan|MntItem|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMPLMCON |B92 WFN Acid Pump Replace AntiSyphon Vlv|4000110910|100078129|ZM01|2       |TORPHN1006|WASTE PH NEUTRALIZATION SYSTEM          |TOR0B92-PAS001-NES0001        |CA02T0074|19.10.2023|27.04.2024|27.04.2024|PRCO ERAP RFEX|Z270424 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC|26.09.2023|          |       |       |
|  PMMACCON |B83 DOR1035 Fix the Photo Eye           |4000114242|100077772|ZM01|MIDDLE  |TORDOR1035|DOOR_ MIDDLE GARAGE                     |TOR0B83-BUI004-DOO0001        |CA02T0067|06.11.2023|27.04.2024|27.04.2024|PRCO          |Z270424 |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMMACCON |B83 DOR1040 replace hinge/lock/brush    |4000114248|100058555|ZM01|#8      |TORDOR1040|DOOR_ OVERHEAD _DOOR _8                 |TOR0B83-BUI004-DOO0006        |CA02T0067|06.11.2023|30.03.2023|30.03.2023|PRCO          |16032024|REL  NMAT PRC  SETC                    |          |          |       |       |
|  PMPLUMB  |Leak on RO#2                            |4000121254|100086644|ZM02|1405    |100009498 |RO CONTROL PANEL 2                      |TOR0B92-PWS010-CNP0002        |CA02T0086|22.12.2023|22.12.2023|          |ERAP PRCO RFEX|        |TECO CNF  JBFI MANC MOBI NMAT PRC  SETC|11.01.2024|11.01.2024|       |       |
|  PMHVAC   |B95 Rm318 Heat Stuck On                 |4000128941|100091053|ZM01|VARIOUS |          |                                        |TOR0B95-BUI001                |CA02T0091|05.02.2024|13.07.2024|13.07.2024|PRCO ERAP RFEX|Z130724 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC|15.03.2024|          |       |       |
|  PMELECON |I00 Electrical Room Overhead Door Alarms|4000130229|100092348|ZM01|1614    |          |                                        |TORB100                       |CA02T0111|14.02.2024|29.06.2024|29.06.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMELECT  |Custom LED Fixture Assembly             |4000137680|100096147|ZM01|2201    |          |                                        |TOR0B92                       |CA02T0048|21.03.2024|29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  PCNF MANC MOBI PRC  SETC          |11.04.2024|          |       |       |
|  PMELECT  |Spare parts utilization by B200 - June  |4000138327|100097068|ZM08|        |          |                                        |TORB200                       |CA02T0162|25.03.2024|01.06.2024|01.06.2024|PRCO RFEX     |PARTS   |REL  CSER GMPS MANC PRC  SETC          |          |          |       |       |
|  PMELECT  |Spare parts utilization by B200 - July  |4000138328|100097090|ZM08|        |          |                                        |TORB200                       |CA02T0162|25.03.2024|01.07.2024|01.07.2024|PRCO RFEX     |PARTS   |REL  CSER MANC PRC  SETC               |          |          |       |       |
