15.07.2024                                                                                                                                    Dynamic List Display                                                                                                                                                                                             1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end| ActTotCost| PlanTotCos|MntPlan|MntItem|Created On|Notifctn |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMREFRI  |B95 Repair AC Unit for stairwell        |4000093866|ZM01|ROOF   |TORACU1318|Roof Top Unit                           |PM-EMS-MNT|TOR0B95-HVA007-AIO0001        |CA02P0036|06.07.2024|09.07.2024|PRCO RFEX     |Z060724 |REL  ESTC GMPS MANC MOBI PRC  SETC      |          |          |    268.83 |    579.31 |       |       |11.07.2023|100069176|
|  PMMACHI  |MR101 PMP1155 water leaking             |4000105626|ZM01|101    |TORCHA1005|CHILLED WATER SYSTEM                    |PM-EMS-MNT|TOR0B54-CWS002                |CA02T0088|03.07.2024|03.07.2024|PRCO RFEX     |Z290624 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC*|20.09.2023|          |  2,200.10 | 10,701.51 |       |       |14.09.2023|100077335|
|  PMREFRI  |USP CHI1065 Replace motor & pump        |4000123828|ZM01|VARIOUS|TORCHI1065|CHILLER_ RECIRCULATING                  |PM-BAC-COP|TOR0B89-DSP003-CHI0002        |CA02T0043|18.03.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  PCNF ESTC GMPS MANC MOBI PRC  SETC |18.03.2024|          |    672.19 |    681.51 |       |       |10.01.2024|100088636|
|  PMPLMCON |End flange required for pump not in use |4000124440|ZM01|       |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|15.01.2024|15.01.2024|PRCO RFEX     |QUOTE   |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    450.00 |       |       |15.01.2024|100088956|
|  PMCARCON |2024 Sitewide Orkin Pest Control Program|4000126310|ZM01|       |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|25.01.2024|25.01.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |150,289.62 |309,217.55 |       |       |25.01.2024|100089681|
|  PMCARCON |2024 Site Wide Elevator PM Program      |4000126476|ZM01|       |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|26.01.2024|26.01.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          | 51,982.20 | 77,973.30 |       |       |26.01.2024|100089768|
|  PMPLUMB  |Sulfuric Acid Dosing Pump not working   |4000134432|ZM01|174/175|TORPHN1009|SYSTEM_ PH NEUTRALIZATION               |PM-BAC-FAS|TOR0B90-PAS002-NES0001        |CA02T0091|10.05.2024|10.05.2024|PRCO RFEX     |Z270424 |REL  PCNF ESTC GMPS JIPR MANC MOBI PRC *|02.05.2024|          |  2,105.95 |  3,684.83 |       |       |05.03.2024|100093540|
|  PMELECT  |Custom LED Fixture Assembly             |4000137680|ZM01|2201   |          |                                        |          |TOR0B92                       |CA02T0048|29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  PCNF MANC MOBI PRC  SETC           |11.04.2024|          |      0.00 |  2,654.04 |       |       |21.03.2024|100096147|
|  PMELECT  |B83 Thermal Scan Repair Fan VFD P-005B  |4000141224|ZM01|163    |          |                                        |          |TOR0B83                       |CA02T0035|29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  MANC PRC  SETC                     |          |          |      0.00 |    932.24 |       |       |09.04.2024|100098639|
|  PMPFO    |POU Valve 18 not functioning properly   |4000141516|ZM01|2204   |TORWAS1080|PARTS WASHER 2                          |PM-MWS400 |TORB100-EQP002-WAM0004        |CA02T0111|09.04.2024|09.04.2024|PRCO RFEX     |13042024|REL  GMPS MANC MOBI PRC  SETC           |          |          |  5,204.92 | 10,304.91 |       |       |10.04.2024|100099304|
|  PMPLUMB  |B60 RmA110 Change Fittings Chiller Hose |4000142158|ZM01|       |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  MANC MOBI PRC  SETC                |          |          |      0.00 |  2,695.83 |       |       |17.04.2024|100099723|
|  PMMACHI  |B83 AHU1046 Inspect Pulleys/Belts Noise |4000144882|ZM01|247    |TORAHU1046|AIR HANDLING UNIT_ NON_STERILE          |PM-EMS-MNT|TOR0B83-HVA009-AHU0004        |CA02T0090|29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |14.05.2024|          |    226.45 |  1,518.17 |       |       |08.05.2024|100101463|
|  PMPLMCON |Washer alarming "Pump motor over current|4000147275|ZM01|238    |TORWAS1029|WASHER_ CAGE_RACK                       |PM-ANR-ANT|TOR0B94-EQP001-WAM0001        |CA02T0028|28.05.2024|28.05.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC PRC  SETC                |          |          |      0.47 |  3,440.61 |       |       |28.05.2024|100102348|
|  PMPLMCON |B90 JUne shutdown contractor support    |4000148015|ZM08|       |          |                                        |          |TOR0B90                       |CA02T0167|01.06.2024|04.06.2024|PRCO          |REPORT  |REL  ESTC GMPS MANC PRC  SETC           |          |          | 10,912.00 | 40,445.00 |       |       |29.05.2024|100102940|
|  PMCARCON |Painting/Caulking in B90 Media          |4000152614|ZM01|VARIOUS|          |                                        |          |TOR0B90                       |CA02T0167|27.05.2024|27.05.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |  6,972.45 | 11,859.95 |       |       |03.06.2024|100102363|
|  PMWFICON |B100 PWS1023 Ozone Generator Inspection |4000156702|ZM01|1607   |TORPWS1023|Pure Water Distribution System          |PM-EMS-MNT|TORB100-PWS006                |CA02T0111|03.06.2024|03.06.2024|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |  3,697.18 | 43,926.13 |       |       |05.06.2024|100106536|
|  PMMACCON |Fabricate corner guards and door handles|4000158579|ZM01|       |          |                                        |          |TOR0B90                       |CA02T0167|07.06.2024|07.06.2024|PRCO          |REPORT  |REL  MANC PRC  SETC                     |          |          |      0.00 |    570.00 |       |       |10.06.2024|100111695|
