19.07.2024                                                                                                                                   Dynamic List Display                                                                                                                                                                                            1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                          |Act. start|Actual end|ActTotCost| PlanTotCos|MntPlan|MntItem|Created On|Notifctn |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMREFRI  |Troubleshoot high temperature           |4000089366|ZM01|246    |TORWIR1206|WALK_IN REFRIGERATOR                    |PM-BRD-CBM|TOR0B93-LAB016-COR0001        |CA02P0009|03.08.2024|03.08.2024|PRCO RFEX     |Z030824 |REL  PCNF GMPS JBFI MANC MOBI PRC  SETC|10.06.2023|          | 1,366.67 |  1,447.54 |       |       |14.06.2023|100067884|
|  PMPLMCON |B92 CHA1009 Install Air Seperator       |4000117301|ZM01|       |TORCHA1009|SYSTEM_ CHILLED WATER                   |PM-EMS-MNT|TOR0B92-CWS001                |CA02T0090|10.07.2024|10.07.2024|PRCO RFEX     |Z220624 |REL  PCNF GMPS MANC MOBI PRC  SETC TTJL|10.07.2024|          |   221.49 |  2,893.72 |       |       |29.11.2023|100078239|
|  PMPLUMB  |WI-MAINT, CAS1030                       |4000132819|ZM03|1607   |TORCAS1030|CLEAN COMPRESSED AIR DISTRIBUTION SYSTEM|PM-EMS-MNT|TORB100-ACN001                |CA02T0111|01.07.2024|30.07.2024|PRCO RFEX     |06072024|REL  GMPS MANC MOBI PRC  SETC          |          |          |15,685.81 | 25,597.80 |1716   |8580   |29.02.2024|100093745|
|  PMMACCON |PM-MACON, DOR1044                       |4000134048|ZM03|WEST 10|TORDOR1044|DOOR_ WEST 10 DOCK                      |PM-MAM-MDC|TOR0B83-BUI004-DOO0010        |CA02T0067|01.07.2024|30.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  1,310.00 |2901   |12991  |04.03.2024|100094665|
|  PMELECT  |Spare parts utilization by B200 - June  |4000138327|ZM08|       |          |                                        |          |TORB200                       |CA02T0162|01.06.2024|01.06.2024|PRCO RFEX     |PARTS   |REL  CSER GMPS MANC PRC  SETC          |          |          |12,792.42 | 19,964.56 |       |       |25.03.2024|100097068|
|  PMELECT  |Repair PIP4754 (replace battery)        |4000140237|ZM01|       |          |                                        |          |TOR0B92                       |CA02T0048|20.07.2024|20.07.2024|PRCO ERAP RFEX|Z200724 |REL  PCNF JIPR MANC MOBI PRC  SETC     |10.04.2024|          |     0.00 |    266.54 |       |       |03.04.2024|100097518|
|  PMMETRO  |Pipette training for Metrology          |4000143045|ZM08|103    |TORPIP1013|PIPETTE                                 |PM-BAC-COP|TOR0B89-DSP026-TEE0002-PIE0001|CA02T0047|26.04.2024|27.04.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC TTJL     |          |          | 1,987.50 |  3,350.00 |       |       |26.04.2024|100100321|
|  PMMACHI  |B92 Rm2316 Guard Rail for Back Column   |4000144830|ZM01|2316   |          |                                        |          |TOR0B92                       |CA02T0048|20.07.2024|20.07.2024|PRCO ERAP RFEX|Z200724 |REL  PCNF JIPR MANC MOBI NMAT PRC  SETC|16.05.2024|          |     0.00 |    483.00 |       |       |08.05.2024|100097018|
|  PMCARCON |B94 Generator Base Painting             |4000145429|ZM01|       |          |                                        |PM-ANR-ANT|TOR0B94-BUI001                |CA02T0028|26.04.2024|26.04.2024|PRCO RFEX     |REPORT  |REL  MANC PRC  SETC                    |          |          |     0.00 |  1,588.50 |       |       |13.05.2024|100100316|
|  PMPLUMB  |PM-PLUMB, DWS1009                       |4000145714|ZM03|1405   |TORDWS1009|SYSTEM_ DISTILLED WATER                 |PM-BLK-WFI|TOR0B92-PWS008-PWP0011        |CA02T0086|01.08.2024|30.08.2024|PRCO          |        |REL  MANC PRC  SETC TTJL               |          |          |     0.00 | 12,218.92 |2725   |11867  |15.05.2024|100101804|
|  PMPLMCON |I00 Plumber Support for B100 Shutdown   |4000146797|ZM01|       |          |                                        |          |TORB100                       |CA02T0111|28.07.2024|28.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |102,966.00 |       |       |24.05.2024|100102282|
|  PMPLMCON |I00 CP Area TufSteel Gasket Changes     |4000146798|ZM01|       |          |                                        |          |TORB100                       |CA02T0111|01.07.2024|01.07.2024|PRCO RFEX     |        |REL  GMPS MANC PRC  SETC               |          |          | 2,693.30 | 29,561.07 |       |       |24.05.2024|100102264|
|  PMELECT  |West side - Security gate               |4000147681|ZM01|       |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|28.05.2024|04.07.2024|PRCO RFEX     |        |REL  PCNF GMPS MANC MOBI PRC  SETC TTJL|28.05.2024|          |   816.14 |    804.07 |       |       |29.05.2024|100102508|
|  PMPLUMB  |I00 Steam and Air Leak in Mech Space    |4000156973|ZM01|2207   |TORAUT1170|AUTOCLAVE, GMP STERILIZING              |          |TORB100-EQP001-AUT0001        |CA02T0111|01.06.2024|01.06.2024|PRCO RFEX     |Z010624 |REL  PCNF GMPS MANC MOBI PRC  SETC     |05.06.2024|          | 3,011.54 |  3,011.54 |       |       |05.06.2024|100110546|
|  PMMACCON |Lobe pumps for refurbishment            |4000157933|ZM01|       |          |                                        |          |TOR0B90                       |CA02T0167|06.06.2024|06.06.2024|PRCO RFEX     |REPORT  |REL  MANC PRC  SETC                    |          |          |     0.00 |      0.00 |       |       |06.06.2024|100111288|
|  PMPLUMB  |Investigate AV-053 Sample Valve TNK2196 |4000158925|ZM02|2101   |TORTNK2196|DIP/TET MEDIA PREP TANK, 750L           |PM-EMS-MNT|TORB100-MNT006-TAN0001        |CA02T0111|10.06.2024|          |ERAP PRCO RFEX|        |TECO CNF  GMPS JBFI MANC MOBI PRC  SETC|21.06.2024|21.06.2024|   254.13 |  2,206.13 |       |       |10.06.2024|100112144|
|  PMSTEAM  |B93-SUMP PIT INVESTIGATION              |4000160317|ZM01|       |          |                                        |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|09.07.2024|09.07.2024|PRCO RFEX     |Z200724 |REL  CNF  JBFI MANC MOBI PRC  SETC     |09.07.2024|09.07.2024|     0.00 |      0.00 |       |       |17.06.2024|100113378|
|  PMCARCON |B83 Rm348/348A Paint Touch Ups          |4000161036|ZM01|348    |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|17.06.2024|17.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  3,376.11 |       |       |19.06.2024|100112709|
|  PMMFO    |I00 FIMCEN Testing Support for New Seals|4000161354|ZM01|2332   |TORCEN1552|FIM Tubular Centrifuge                  |PM-CPD500 |TORB100-CES001-CEN0009        |CA02T0111|09.07.2024|09.07.2024|PRCO RFEX     |        |REL  CNF  JIPR MANC MOBI NMAT PRC  SETC|27.06.2024|09.07.2024|     0.00 |  5,655.43 |       |       |20.06.2024|100114175|
|  PMHVAC   |B60 Annex AC is too cold ~ 15 C         |4000161541|ZM01|       |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|15.06.2024|15.06.2024|PRCO RFEX     |Z150624 |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  1,288.00 |       |       |21.06.2024|100114331|
|  PMCARCON |B95 Issue with Loading dock lift        |4000164758|ZM01|VARIOUS|          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|03.06.2024|03.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |    705.00 |       |       |03.07.2024|100106489|
|  PMMACHI  |Male bearing has to be replaced         |4000164814|ZM01|       |TORTNK1937|INOX 120L Mixing Tank                   |B90       |TOR0B90-FIN009-TAN0025        |CA02T0038|03.08.2024|03.08.2024|PRCO RFEX     |Z030824 |REL  GMPS MANC MOBI PRC  SETC          |          |          |12,330.00 | 26,770.93 |       |       |03.07.2024|100101669|
|  PMPLUMB  |I00 Replace Blowdown Valves on HSG 1&3  |4000166669|ZM01|       |100000491 |Steam to Steam Generator                |PM-EMS-MNT|TORB100-BSS001-CDC0013        |CA02T0111|08.07.2024|08.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  1,430.00 |       |       |08.07.2024|100118549|
