23.07.2024                                                                                                                                  Dynamic List Display                                                                                                                                                                                            1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object       |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|TotCostAct| PlanTotCos|MntPlan|MntItem|Created On|Notifctn |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMREFRI  |B95 WIR1234 Order & Install Dehumidifier|4000029713|ZM01|336    |TORWIR1234|Walk In Fridge                        |PM-ANS-IMM|TOR0B95-LAB038-COR0001        |CA02P0015|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  MANC PRC  SETC                     |          |          |     0.00 |  1,415.37 |       |       |20.05.2022|100030345|
|  PMPLUMB  |B83 near main entrance Troublshoot leak |4000125922|ZM01|       |          |                                      |          |TOR0B83                       |CA02T0035|06.04.2024|06.04.2024|PRCO RFEX     |REPORT  |REL  PCNF ESTC GMPS MANC MOBI PRC  SETC |26.03.2024|          | 2,535.75 |  3,323.50 |       |       |24.01.2024|100089312|
|  PMELECT  |Lights burnt out in B93 Boardroom Rm 004|4000132537|ZM01|       |          |                                      |          |TOR0B93                       |CA02P0009|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  PCNF ESTC GMPS JIPR MANC MOBI PRC *|26.03.2024|          |   160.28 |  1,072.65 |       |       |28.02.2024|100091640|
|  PMELECT  |B94 - GEN1018 strobe light not working  |4000136687|ZM01|       |TORGEN1018|GENERATOR_ EMERGENCY POWER _SERVES B94|PM-ANR-ANR|TOR0B96-LAB004-GEN0001        |CA02T0028|12.04.2024|04.05.2024|PRCO RFEX     |Z040524 |REL  CNF  ESTC JBFI MANC MOBI PRC  SETC |11.04.2024|29.04.2024|     0.00 |    549.27 |       |       |15.03.2024|100081380|
|  PMPLUMB  |AIT1026/1027 Install Automatic Drain Vlv|4000138471|ZM01|3400   |TORAIT1026|AIR RECEIVER                          |PM-EMS-MNT|TOR0B92-ACN005-PEV0001        |CA02T0090|08.06.2024|08.06.2024|PRCO RFEX     |03082024|REL  GMPS MANC PRC  SETC                |          |          | 1,269.88 |  5,756.94 |       |       |26.03.2024|100090337|
|  PMPLUMB  |Check foot peddle on sink B95-2-234     |4000139627|ZM01|VARIOUS|          |                                      |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  GMPS MANC MOBI PRC  SETC           |          |          |   309.92 |  1,730.76 |       |       |02.04.2024|100097373|
|  PMELECT  |B91 Squeaking Fan at Receiving          |4000139677|ZM01|       |          |                                      |PM-MAM-MDC|TOR0B91-BUI001                |CA02T0021|27.07.2024|28.07.2024|PRCO RFEX     |Z270724 |REL  PCNF MANC MOBI PRC  SETC           |09.04.2024|          |     0.00 |    550.68 |       |       |02.04.2024|100090354|
|  PMSTEAM  |PM-STEAM, STG1019                       |4000139910|ZM03|       |TORSTG1019|GENERATOR, PURE STEAM                 |B92       |TOR0B92-CSS003-CSG0001        |CA02T0064|01.08.2024|30.08.2024|PRCO          |27072024|REL  PRT  CSER MANC MSPT PRC  SETC TTJL |          |          |     0.00 | 34,315.01 |2873   |12865  |03.04.2024|100098168|
|  PMELECT  |B95 Therm Scan Breaker panel PP-22 or 46|4000141016|ZM01|VARIOUS|          |                                      |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  PCNF MANC MOBI PRC  SETC           |26.04.2024|          |     0.00 |  2,844.66 |       |       |08.04.2024|100098963|
