19.06.2024                                                                                                                        Dynamic List Display                                                                                                                                                                                  1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Description of technical object       |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|TotCostAct| PlanTotCos|MntPlan|MntItem|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMELECT  |PM-ELECT, B61 HIGH VOLT GLOVES          |4000128527|ZM03|        |          |                                      |          |TOR0B61                       |CA02T0091|01.06.2024|30.06.2024|PRCO RFEX     |29062024|REL  PCNF MOBI PRC  SETC                |10.06.2024|          |     0.00 |    365.67 |2638   |11216  |
|  PMMACCON |B83 Pump trucks failed Inspection       |4000129908|ZM01|334     |TORPTR1038|PUMP TRUCK _9                         |PM-FIP-LAP|TOR0B83-BUI003-CAR0005        |CA02T0001|22.06.2024|22.06.2024|PRCO RFEX     |Z220624 |REL  GMPS MANC PRC  SETC                |          |          | 1,163.40 |  3,638.39 |       |       |
|  PMELECT  |B60 WFI Outlet Prox Switches Malfunction|4000138686|ZM01|102     |TORWFI0011|SYSTEM_ WATER FOR INJECTION           |PM-BLK-WFI|TOR0B60-WFS002                |CA02T0086|25.05.2024|28.05.2024|PRCO RFEX     |Z250524 |REL  PCNF GMPS MANC MOBI PRC  SETC      |01.04.2024|          | 4,127.78 |  8,129.80 |       |       |
|  PMHVAC   |B83 EXF in Office Washroom not Working  |4000141848|ZM01|107A    |          |                                      |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|22.06.2024|22.06.2024|PRCO RFEX     |Z220624 |REL  MANC MOBI PRC  SETC                |          |          |     0.00 |    194.17 |       |       |
|  PMMACCON |I00 Rebuild Condenser Supply Pump 2     |4000142053|ZM01|N/AP    |TORPMP2476|CONDENSER WATER SUPPLY PUMP 2         |PM-EMS-MNT|TORB100-CTW001-PUM0002        |CA02T0111|20.04.2024|20.04.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 13,500.00 |       |       |
|  PMREFCON |B92 CHI1027 Replace Leaking AMOT Valve  |4000142825|ZM01|N/AP    |TORCHI1027|CHILLER                               |PM-EMS-MNT|TOR0B92-CWS001-CHI0001        |CA02T0090|22.06.2024|22.06.2024|PRCO RFEX     |Z220624 |REL  MANC PRC  SETC                     |          |          |     0.00 |  2,777.87 |       |       |
|  PMELECON |B78 Check emergency lighting            |4000143006|ZM01|        |          |                                      |          |TOR0B78                       |CA02T0104|27.04.2024|27.04.2024|PRCO RFEX     |Z270424 |REL  GMPS PRC  SETC                     |          |          |   451.05 |  5,210.24 |       |       |
|  PMHVAC   |B83 SAS1104 Repair Glycol Leak          |4000143396|ZM01|ROOF    |TORSAS1104|AIR HANDLING UNIT_ STERILE            |PM-FIP-FIL|TOR0B83-HVA005-AHU0008        |CA02T0035|22.06.2024|22.06.2024|PRCO RFEX     |Z220624 |REL  MANC PRC  SETC                     |          |          |     0.00 |    228.72 |       |       |
|  PMELECT  |B53 Replace Power Switch Panel          |4000144757|ZM01|        |TORCDS1004|SYSTEM, CONDENSATE RETURN             |PM-EMS-MNT|TOR0B53-MNT001-CDC0001        |CA02T0091|13.06.2024|13.06.2024|PRCO RFEX     |Z220624 |REL  PCNF JIPR MANC MOBI PRC  SETC TTJL |16.05.2024|          |     0.00 |    414.38 |       |       |
