29.05.2024                                                                                                                         Dynamic List Display                                                                                                                                                                                  1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|ActTotCost| PlanTotCos|MntPlan|MntItem|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMREFRI  |B95 WIR1234 Order & Install Dehumidifier|4000029713|ZM01|336    |TORWIR1234|Walk In Fridge                          |PM-ANS-IMM|TOR0B95-LAB038-COR0001        |CA02P0015|01.06.2024|01.06.2024|PRCO RFEX     |Z010624 |REL  MANC PRC  SETC                     |          |          |     0.00 |  1,415.37 |       |       |
|  PMSTEAM  |SDS1033 flow sensor replacement         |4000074720|ZM01|PH     |TORSDS1033|SYSTEM, STEAM GENERATION                |PM-BAC-FER|TOR0B90-HVA007                |CA02T0039|25.05.2024|25.05.2024|PRCO RFEX     |Z250524 |REL  GMPS MANC MOBI PRC  SETC           |          |          |   383.15 |    376.38 |       |       |
|  PMMETRO  |METRO, 300015972 TOC Intr               |4000096163|ZM05|1607   |300015972 |TOC ANALYZER, AWFI RETURN LOOP TOC      |PM-EMS-MNT|TORB100-WFS012-XXX0001-TOC0001|CA02T0111|28.07.2023|26.08.2023|PRCO RFEX     |        |REL  ILAS MANC NMAT PRC  SETC           |          |          |     0.00 |  9,664.05 |66373  |84021  |
|  PMAUTO   |DSP Troubleshoot SAS1123 Cooling        |4000104360|ZM02|214    |TORSAS1123|AIR HANDLING UNIT_ STERILE              |PM-BAC-COP|TOR0B89-HVA009-AHU0002        |CA02T0045|30.03.2024|05.04.2024|PRCO RFEX     |Z300324 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC*|05.09.2023|          | 8,112.82 |  6,321.34 |       |       |
|  PMMETRO  |METRO, 300015962 TOC Intr               |4000104564|ZM05|102    |300015962 |ANALYZER_TOC                            |PM-BRD-CBM|TOR0B60-PWS004-XXX0001-TOC0001|CA02P0009|01.03.2024|30.04.2024|PRCO          |EXTENDED|REL  GMPS ILAS MANC PRC  SETC           |          |          |   880.82 | 12,182.59 |66362  |84010  |
|  PMELECT  |B83 CPR1007 change light bulb door6     |4000116604|ZM01|       |TORCPR1007|Capper Machine - Bosch VRK 4010 B       |B83       |TOR0B83-FIL004-CAC0001        |CA02T0035|25.05.2024|25.05.2024|PRCO RFEX     |Z250524 |REL  CNF  JBFI MANC MOBI PRC  SETC      |08.12.2023|29.05.2024|   832.56 |    763.96 |       |       |
|  PMPLMCON |B92 CHA1009 Release air from stream pipe|4000117301|ZM01|       |TORCHA1009|SYSTEM_ CHILLED WATER                   |PM-EMS-MNT|TOR0B92-CWS001                |CA02T0090|08.06.2024|08.06.2024|PRCO RFEX     |Z080624 |REL  GMPS MANC MOBI PRC  SETC           |          |          |   153.50 |  4,675.74 |       |       |
|  PMELECT  |PM-ELECT, WIR0128                       |4000118146|ZM03|123B   |TORWIR0128|WALK_IN REFRIGERATOR                    |PM-MAM-TRD|TOR0B83-STO001-COR0003        |CA02T0021|08.06.2024|14.06.2024|PRCO RFEX     |Z080624 |REL  PCNF MANC MOBI PRC  SETC           |27.05.2024|          |     0.00 |    158.51 |3087   |13497  |
|  PMHVAC   |PM-HVAC, AHU1141 (inc. controls)        |4000122041|ZM03|407    |TORAHU1141|UNIT_ AIR HANDLING                      |PM-EMS-MNT|TOR0B95-HVA005-AHU0006        |CA02P0030|01.05.2024|30.05.2024|PRCO ERAP     |27042024|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |01.05.2024|03.05.2024|   149.37 |    556.02 |2512   |10092  |
