09.11.2023                                                                                                                         Dynamic List Display                                                                                                                                                                                  1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|UserStatus    |Revision|System status                           |Act. start|Actual end|TotCostAct|PlanTotCos|MntPlan|MntItem|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMSTEAM  |B92 R2621 Investigate the steam leak    |4000034756|ZM02|2621    |TORAUT1149|AUTOCLAVE                               |PM-QUC-VR1|TOR0B92-LAB026-AUT0001        |CA02T0033|01.07.2023|07.07.2023|PRCO RFEX     |REPORT  |REL  PCNF ESTC MANC MOBI NMAT PRC  SETC |20.05.2023|          | 1,558.77 |10,416.52 |       |       |
|  PMMACCON |B04-Men's W/R fix the door              |4000038263|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B04-BUI001                |CA02T0101|28.03.2023|28.03.2023|PRCO ERAP RFEX|REPORT  |TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |18.08.2022|28.03.2023| 1,590.00 | 2,980.00 |       |       |
|  PMMACHI  |B90Dip-Inspect and Repair TNK1255       |4000068527|ZM01|236/222 |TORTNK1255|TANK_ FERMENTER_COLLECTION_ 350L        |PM-BAC-FER|TOR0B90-USP009-TAN0022        |CA02T0040|01.12.2023|01.12.2023|PRCO ERAP RFEX|28102023|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |31.10.2023|03.11.2023| 3,735.97 | 3,621.60 |       |       |
|  PMHVACON |PM-HVCON, SAS1121                       |4000087484|ZM03|        |TORSAS1121|Sterile Air Supply - Engineered Air Cust|B91       |TOR0B91-HVA001-AHU0001        |CA02T0026|01.10.2023|30.10.2023|PRCO ERAP RFEX|14102023|TECO CNF  PRT  JBFI MANC NMAT PRC  SETC |01.10.2023|19.10.2023|     0.00 | 1,608.00 |2791   |12449  |
|  PMHVACON |1Y OCT TOR0B94                          |4000087825|ZM03|        |          |                                        |          |TOR0B94                       |CA02T0028|01.10.2023|30.10.2023|PRCO ERAP RFEX|14102023|TECO CNF  PRT  CSER JBFI MANC NMAT PRC *|01.10.2023|06.11.2023|     0.00 |14,300.00 |6220   |23310  |
|  PMCARCON |Investigate the leak on pipe            |4000090285|ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|19.06.2023|19.06.2023|PRCO RFEX     |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 |   333.50 |       |       |
|  PMELECT  |PM-ELECT, EML1320                       |4000092885|ZM03|ALL     |TOREML1320|EMERGENCY_ LIGHTS                       |          |TOR0B60-BUI003-EML0001        |CA02T0100|01.11.2023|30.11.2023|PRCO ERAP RFEX|18112023|TECO CNF  JBFI MANC MOBI PRC  SETC      |04.11.2023|05.11.2023| 1,153.12 | 2,948.70 |2658   |11449  |
|  PMELECT  |replace light bulbs on ISO1017          |4000095528|ZM01|        |TORISO1017|ISOLATOR_ TWO HALF_SUIT WORKSTATION     |B92       |TOR0B92-LAB012-ISO0006        |CA02T0029|02.08.2023|02.08.2023|PRCO RFEX     |11112023|REL  PCNF ESTC GMPS JIPR MANC MOBI PRC *|02.08.2023|          | 1,369.86 | 1,754.07 |       |       |
|  PMELECT  |B61-PATRICK BUNKER - BASEBOARD NOISE    |4000096809|ZM02|        |          |                                        |          |TOR0B61-BUI001                |CA02T0090|01.08.2023|          |ERAP PRCO RFEX|28102023|TECO CNF  GMPS JBFI MANC MOBI PPRT PRC *|01.08.2023|03.08.2023|   111.52 |   959.56 |       |       |
|  PMMACCON |Receiving Slide Gate - Out of Order     |4000096975|ZM01|FRT ELEV|TORDOR1031|DOOR_ MOTORIZED SLIDING GATE            |PM-MAM-TRD|TOR0B91-BUI004-DOO0009        |CA02T0067|02.08.2023|03.08.2023|PRCO ERAP RFEX|REPORT  |REL  CNF  JBFI MANC NMAT PRC  SETC      |02.08.2023|02.08.2023|     0.00 |   690.50 |       |       |
|  PMMACCON |PM-MACON, CEN1496                       |4000097355|ZM03|        |TORCEN1496|Centrifuge                              |B90       |TOR0B90-DSP007-CEN0002        |CA02T0039|01.12.2023|30.12.2023|PRCO          |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,935.65 |3047   |13388  |
|  PMMACCON |PM-MACON, CEN1495                       |4000097356|ZM03|        |TORCEN1495|Centrifuge                              |B90       |TOR0B90-DSP007-CEN0001        |CA02T0039|01.12.2023|30.12.2023|PRCO          |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 3,871.30 |3047   |13389  |
