21.11.2023                                                                                                                       Dynamic List Display                                                                                                                                                                                 1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object       |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|UserStatus    |Revision|System status                           |Act. start|Actual end|TotCostAct|PlanTotCos|MntPlan|MntItem|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMMACCON |PM-MACON, STI1021                       |4000054479|ZM03|       |TORSTI1021|Equipment - WFI                       |0001      |TOR0B90-WFS003-WFP0001        |CA02T0086|27.05.2023|15.01.2024|PRCO RFEX     |CANCEL  |REL  PRT  MANC NMAT PRC  SETC TTJL      |          |          |     0.00 |72,226.14 |2953   |13180  |
|  PMHSECON |6M DEC TOR0B91 PMHSECON                 |4000055210|ZM03|       |          |                                      |          |TOR0B91                       |CA02T0067|01.06.2023|30.06.2023|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,830.63 |5657   |22295  |
|  PMPLMCON |B93 - MR 007 heating pump strainer clean|4000056232|ZM01|7      |TORFTR1634|FILTER HOUSING                        |PM-BRD-CBM|TOR0B93-LAB011-PUM0001-FIL0001|CA02P0009|13.07.2023|13.07.2023|PRCO ERAP RFEX|REPORT  |REL  CNF  CSER GMPS JBFI MANC PRC  SETC |31.01.2023|12.07.2023|   298.84 | 7,326.52 |       |       |
|  PMELECT  |Pump 6B multiple alarms and very hot    |4000056665|ZM01|188    |TORPMP1916|PUMP                                  |PM-BAC-COP|TOR0B54-CWS001-PUM0004        |CA02T0045|03.11.2023|03.11.2023|PRCO RFEX     |DECSD23 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC*|10.02.2023|          |17,754.78 |20,207.78 |       |       |
|  PMSTMCON |STI0015 first effect column leak        |4000059919|ZM01|128    |TORSTI0015|STILL_ MUELLER MULTI_EFFECT 600 GPH   |PM-BLK-WFI|TOR0B89-WFS003-WFP0001        |CA02T0086|30.12.2023|30.12.2023|PRCO RFEX     |DECSD23 |REL  GMPS MANC PRC  SETC                |          |          |49,460.40 |54,273.67 |       |       |
|  PMELECT  |B89 DSP - WIR0156 Rusted light fixture  |4000063970|ZM01|112    |TORWIR0156|WALK_IN REFRIGERATOR                  |PM-BAC-COP|TOR0B89-DSP025-COR0001        |CA02T0047|30.12.2023|30.12.2023|PRCO RFEX     |DECSD23 |REL  GMPS MANC MOBI PRC  SETC           |          |          |   317.59 | 1,438.77 |       |       |
|  PMHVAC   |PM-HVAC, HEX1004 VLV SERVICE            |4000087626|ZM03|183B   |TORHEX1004|HEAT EXCHANGER                        |PM-EMS-MNT|TOR0B90-BUI005-HEX0001        |CA02T0090|01.10.2023|30.10.2023|PRCO ERAP RFEX|07102023|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |10.10.2023|10.10.2023|   162.58 | 1,387.60 |2640   |11223  |
|  PMHVACON |1Y OCT TOR0B94                          |4000087825|ZM03|       |          |                                      |          |TOR0B94                       |CA02T0028|01.10.2023|30.10.2023|PRCO ERAP RFEX|14102023|TECO CNF  PRT  CSER JBFI MANC NMAT PRC *|01.10.2023|06.11.2023|     0.00 |25,300.00 |6220   |23310  |
|  PMSTEAM  |Replace relief valve ( PS V-44)         |4000090836|ZM01|183    |TORSDS1038|SYSTEM_ STEAM DISTRIBUTION _PURE      |PM-BLK-WFI|TOR0B90-CSS004                |CA02T0086|01.11.2023|01.11.2023|PRCO RFEX     |16122023|REL  GMPS MANC MOBI PRC  SETC           |          |          |     0.00 |15,050.57 |       |       |
|  PMELECT  |WII running low.  Running at 34C instead|4000091260|ZM02|252    |TORWII1110|WALK_IN INCUBATOR                     |PM-DEV-CAN|TOR0B93-LAB016-WII0001        |CA02P0009|26.06.2023|          |ERAP PRCO RFEX|18112023|TECO CNF  JBFI MANC MOBI PRC  SETC      |31.08.2023|07.11.2023| 2,113.81 | 1,598.29 |       |       |
|  PMMACCON |PM-MACON, WAS1029  (STERIS)             |4000092428|ZM03|238    |TORWAS1029|WASHER_ CAGE_RACK                     |PM-ANR-ANT|TOR0B94-EQP001-WAM0001        |CA02T0028|01.11.2023|30.11.2023|PRCO ERAP RFEX|        |TECO CNF  MANC NMAT PRC  SETC           |01.11.2023|09.11.2023|     0.00 | 1,292.64 |2592   |10659  |
|  PMELECT  |B94 ThermScan: Repair panel surge supp. |4000093879|ZM01|       |          |                                      |PM-ANR-ANT|TOR0B94-BUI001                |CA02T0028|26.07.2023|03.11.2023|PRCO ERAP RFEX|28102023|TECO CNF  JBFI MANC MOBI PRC  SETC      |26.07.2023|03.11.2023| 1,963.91 | 4,211.57 |       |       |
|  PMELECT  |overheating VFD panel on RO/CDI         |4000093984|ZM01|       |TORPWS1013|PW Distribution Upgrades              |B90       |TOR0B90-PWS010                |CA02T0039|19.07.2023|20.07.2023|PRCO RFEX     |02122023|REL  PCNF GMPS MANC MOBI PRC  SETC      |19.07.2023|          |18,183.98 |28,074.50 |       |       |
|  PMPLUMB  |Final RinseHigh conductivity alarm #216 |4000094586|ZM01|       |TORWAS1031|Belimed Bottle Washer                 |B89       |TOR0B89-EQP003-WAM0001        |CA02T0044|14.07.2023|14.07.2023|PRCO RFEX     |COMMENT |REL  MANC MOBI NMAT PRC  SETC           |          |          |     0.00 | 2,741.02 |       |       |
|  PMMACHI  |B90 media 256 chip and valve rusted     |4000095603|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|02.12.2023|02.12.2023|PRCO RFEX     |B90DEC23|REL  PCNF JBFI MANC MOBI NMAT PRC  SETC |02.08.2023|          |   640.63 | 1,343.76 |       |       |
|  PMMACHI  |Production lift cart maintenance        |4000096936|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|28.08.2023|28.08.2023|PRCO ERAP RFEX|26082023|TECO CNF  GMPS MANC MOBI NMAT PRC  SETC |10.08.2023|28.08.2023| 3,201.56 | 4,320.01 |       |       |
|  PMMACCON |PM-MACON, CEN0081                       |4000097109|ZM03|       |TORCEN0081|CENTRIFUGE                            |B89       |TOR0B89-DSP003-CEN0001        |CA02T0043|01.12.2023|30.12.2023|PRCO          |        |REL  PRT  MANC PRC  SETC TTJL           |          |          |     0.00 | 4,592.56 |3003   |13294  |
|  PMMACCON |PM-MACON, CEN1495                       |4000097356|ZM03|       |TORCEN1495|Centrifuge                            |B90       |TOR0B90-DSP007-CEN0001        |CA02T0039|01.12.2023|30.12.2023|PRCO RFEX     |09122023|REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,935.65 |3047   |13389  |
