08.10.2024                                                                                                                         Dynamic List Display                                                                                                                                                                                   1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Order     |Mn.wk.ctr|Description                             |Room    |Bsc start |Basic fin.|User Status   |Revision|System status                           |Plan Date |Type|Equipment |Created On|Functional Location           |Description of technical object         |Cost Ctr |Act. start|Actual end| PlanTotCos|MntPlan|MntItem|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  4000055627|PMMACCON |Put a small glass window to Door 3111   |3111    |09.11.2023|09.11.2023|PRCO ERAP RFEX|21102023|TECO CNF  GMPS MANC NMAT PRC  SETC      |          |ZM01|          |01.02.2023|TOR0B92-BUI001                |                                        |CA02T0024|29.04.2023|09.11.2023|  7,700.00 |       |       |
|  4000056172|PMPLMCON |I00 Install New Fire/Jockey Pump        |        |03.02.2023|01.10.2024|PRCO ERAP RFEX|REPORT  |REL  PCNF PRT  JIPR MANC MOBI NMAT PRC *|          |ZM01|          |03.02.2023|TORB100                       |                                        |CA02T0111|03.02.2023|          |  2,863.75 |       |       |
|  4000105626|PMMACHI  |MR101 PMP1155 water leaking             |101     |03.07.2024|03.07.2024|PRCO RFEX     |Z290624 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC*|          |ZM01|TORCHA1005|14.09.2023|TOR0B54-CWS002                |CHILLED WATER SYSTEM                    |CA02T0088|20.09.2023|          | 10,835.91 |       |       |
|  4000109192|PMMACHI  |I00 Investigate Leak on SW Pre-Filter   |1607    |01.06.2024|01.06.2024|PRCO RFEX     |11112023|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |          |ZM01|TORSFT1017|05.10.2023|TORB100-SWS001                |SOFTENED WATER SYSTEM                   |CA02T0111|05.10.2023|          |  2,075.69 |       |       |
|  4000125573|PMMACHI  |B92 CAS1018 Fix Gate valve Filter#10    |        |14.09.2024|14.09.2024|PRCO RFEX     |S/D     |REL  CNF  JBFI MANC MOBI NMAT PRC  SETC |          |ZM01|TORCAS1018|22.01.2024|TOR0B92-ACN005                |Additional Compressed Air Points of Use |CA02T0024|17.07.2024|17.07.2024|  4,870.00 |       |       |
|  4000125922|PMPLUMB  |B83 near main entrance Troublshoot leak |        |06.04.2024|06.04.2024|PRCO RFEX     |REPORT  |REL  CNF  ESTC GMPS JIPR MANC MOBI PRC *|          |ZM01|          |24.01.2024|TOR0B83                       |                                        |CA02T0035|26.03.2024|26.03.2024|  5,221.00 |       |       |
|  4000126476|PMCARCON |2024 Site Wide Elevator PM Program      |        |26.01.2024|26.01.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |26.01.2024|TOR0B00-BUI001                |                                        |CA02T0101|          |          | 80,697.30 |       |       |
|  4000129414|PMREFRI  |B92 R2401 Investig. BIF1468 temp alarm  |2401    |05.10.2024|05.10.2024|PRCO RFEX     |Z051024 |REL  ESTC CSER GMPS MANC MOBI PRC  SETC*|          |ZM01|TORBIF1468|08.02.2024|TOR0B92-LAB020-BFR0001        |BIOFREEZER                              |CA02T0031|          |          |    818.85 |       |       |
|  4000136573|PMMACHI  |I00 EXF1577 Augury Alert                |3604    |22.03.2024|22.03.2024|PRCO RFEX     |S/D     |REL  CNF  GMPS MANC MOBI NMAT PRC  SETC |          |ZM01|TOREXF1577|14.03.2024|TORB100-HVA001-AHU0026-EXF0003|EXHAUST FAN FOR ROOM 1608               |CA02T0111|20.03.2024|22.03.2024|  1,020.00 |       |       |
