16.10.2023                                                                                                                          Dynamic List Display                                                                                                                                                                                   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Object Description                      |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|UserStatus    |Revision|System status                           |Act. start|Actual end| TotCostAct| PlanTotCos|MntPlan|MntItem|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  PMREFCON |B54 CHI1033 Shaft Seal Repair           |4000022759|ZM01|101     |TORCHI1033|CHILLER                                 |PM-EMS-MNT|TOR0B54-CWS002-CHI0002        |CA02T0090|09.02.2022|09.02.2022|PRCO ERAP RFEX|REPORT  |CLSD CNF  GMPS JBFI MANC NMAT PRC  SETC |09.02.2022|26.03.2023| 29,869.29 | 29,869.29 |       |       |
|  PMSTEAM  |TOR0B94 STEAM VAULT REPAIRS             |4000037240|ZM01|        |          |                                        |          |TOR0B94                       |CA02T0028|27.09.2022|28.09.2022|PRCO ERAP RFEX|REPORT  |TECO CNF  GMPS JBFI MANC MOBI NMAT PPRT*|27.09.2022|27.09.2022| 70,289.90 | 76,527.76 |       |       |
|  PMCARCON |B95 Steam Vault Repairs                 |4000037407|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|05.08.2022|08.08.2022|PRCO ERAP RFEX|REPORT  |CLSD CNF  GMPS JBFI MANC NMAT PRC  SETC |05.08.2022|30.03.2023|576,622.09 |565,110.59 |       |       |
|  PMHVACON |B94 Repair AHU1106 motor and feed       |4000038864|ZM01|        |TORAHU1106|UNIT, AIR HANDLING                      |PM-ANR-ANR|TOR0B00-STO001                |CA02T0028|29.11.2022|17.02.2023|PRCO ERAP RFEX|11022023|TECO CNF  PRT  GMPS JBFI MANC MOBI PRC *|04.11.2022|16.02.2023| 28,396.16 | 22,551.63 |       |       |
|  PMMACCON |Passivating all Buffers CANs            |4000038880|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|30.08.2022|30.08.2022|PRCO ERAP RFEX|REPORT  |CLSD CNF  GMPS JBFI MANC NMAT PRC  SETC |30.08.2022|20.03.2023| 65,730.00 | 65,730.00 |       |       |
|  PMCARCON |B90 Tet Live Facility Repairs           |4000040908|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|16.09.2022|16.09.2022|PRCO ERAP RFEX|        |CLSD CNF  GMPS JBFI MANC NMAT PRC  SETC |16.09.2022|07.03.2023|  6,428.46 |  5,279.77 |       |       |
|  PMPLUMB  |Quote for 2" GEMU Zero Clearance Valve  |4000041078|ZM01|113     |TORTNK1003|TANK                                    |PM-BAC-COP|TOR0B89-DSP023-TAN0002        |CA02T0043|07.01.2023|07.01.2023|PRCO ERAP RFEX|REPORT  |CLSD CNF  ESTC GMPS JBFI MANC PRC  SETC |07.01.2023|09.03.2023|  8,077.10 |  7,987.38 |       |       |
|  PMHSE    |PM-HSE, B93ESS000D00 (OL) FIRE SYS      |4000042448|ZM03|        |          |                                        |          |TOR0B93-FFS003                |CA02T0100|04.02.2023|10.02.2023|PRCO RFEX     |04022023|REL  PRT  CSER GMPS NMAT PRC  SETC TTJL |          |          |  2,166.25 |  2,166.25 |2951   |13178  |
|  PMWFICON |WI-MACON, DWS1004 (OL)                  |4000044959|ZM03|102     |TORDWS1004|SYSTEM_ DISTILLED WATER                 |PM-DEV-BDL|TOR0B60-PWS001-PWP0001        |CA02T0086|04.03.2023|10.03.2023|PRCO ERAP RFEX|04032023|CLSD CNF  PRT  JBFI MANC NMAT PRC  PRTT*|04.03.2023|20.03.2023|      0.00 |      0.00 |3339   |16784  |
