12.09.2024                                                                                                                                         Dynamic List Display                                                                                                                                                                                                  1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Order     |Type|Description                             |Mn.wk.ctr|Functional Location           |Description of technical object        |Equipment |MntPlan|Sched.Fin.|RefDate   |Bsc start |Basic fin.|Act. start|ActStart|Actual end|Act.Finish|Entered By  |Created On|Changed By |Changed On|User Status   |System status                           | ActTotCost|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   4000109192|ZM01|I00 Investigate Leak on SW Pre-Filter   |PMMACHI  |TORB100-SWS001                |SOFTENED WATER SYSTEM                  |TORSFT1017|       |01.06.2024|01.06.2024|01.06.2024|01.06.2024|05.10.2023|07:20:00|          |00:00:00  |E0486430    |05.10.2023|E0486430   |22.08.2024|PRCO RFEX     |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |  1,149.40 |
|   4000126476|ZM01|2024 Site Wide Elevator PM Program      |PMCARCON |TOR0B00-BUI001                |                                       |          |       |26.01.2024|26.01.2024|26.01.2024|26.01.2024|          |00:00:00|          |00:00:00  |I0393338    |26.01.2024|U1040407   |03.09.2024|PRCO RFEX     |REL  GMPS MANC NMAT PRC  SETC           | 69,309.60 |
|   4000129414|ZM01|B92 R2401 Investig. BIF1468 temp alarm  |PMREFRI  |TOR0B92-LAB020-BFR0001        |BIOFREEZER                             |TORBIF1468|       |14.09.2024|14.09.2024|14.09.2024|14.09.2024|          |00:00:00|          |00:00:00  |I0423893    |08.02.2024|U1029207   |09.09.2024|PRCO RFEX     |REL  ESTC CSER MANC MOBI PRC  SETC TTJL |      0.00 |
|   4000141512|ZM01|B90 Tet Live Women's Washroom Repairs   |PMCARCON |TOR0B90-BUI001                |                                       |          |       |01.05.2024|01.05.2024|01.05.2024|01.05.2024|10.04.2024|08:00:00|          |09:08:55  |U1025695    |10.04.2024|U1014358   |27.08.2024|PRCO RFEX     |REL  PCNF GMPS JIPR MANC PRC  SETC TTJL | 15,026.00 |
|   4000142754|ZM01|B60 PHN1010 Missing motor for agitator  |PMMACHI  |TOR0B60-PAS001-NES0001        |WASTE PH NEUTRALIZATION SYSTEM         |TORPHN1010|       |29.06.2024|29.06.2024|29.06.2024|29.06.2024|          |00:00:00|          |00:00:00  |I0393338    |23.04.2024|I0393338   |11.09.2024|PRCO RFEX     |REL  MANC MOBI PRC  SETC                |      0.00 |
|   4000144538|ZM01|B92 3rd flr Repair damaged drywall      |PMCARCON |TOR0B92-BUI001                |                                       |          |       |20.07.2024|20.07.2024|20.07.2024|20.07.2024|          |00:00:00|          |00:00:00  |U1029207    |06.05.2024|U1029207   |09.09.2024|PRCO          |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000144589|ZM01|Hard water in the condensate return.    |PMSTEAM  |TOR0B90-BUI001                |                                       |          |       |25.05.2024|25.05.2024|25.05.2024|25.05.2024|          |00:00:00|          |00:00:00  |U1025695    |07.05.2024|U1014358   |28.08.2024|PRCO RFEX     |REL  MANC PRC  SETC                     |      0.00 |
|   4000145861|ZM01|I00 HVAC AHS Air Audit for 2024 S/D     |PMHVACON |TORB100                       |                                       |          |       |10.08.2024|10.08.2024|10.08.2024|10.08.2024|          |00:00:00|          |00:00:00  |E0486430    |15.05.2024|E0486430   |05.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000156702|ZM01|B100 PWS1023 Ozone Generator Inspection |PMWFICON |TORB100-PWS006                |Pure Water Distribution System         |TORPWS1023|       |03.06.2024|03.06.2024|03.06.2024|03.06.2024|          |00:00:00|          |00:00:00  |U1029207    |05.06.2024|E0468149   |03.09.2024|PRCO RFEX     |REL  GMPS MANC NMAT PRC  SETC           | 48,718.20 |
