24.09.2024                                                                                                                         Dynamic List Display                                                                                                                                                                                  1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Order     |Mn.wk.ctr|Description                             |Type|Room    |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|ActTotCost|PlanTotCos|MntPlan|MntItem|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  4000109192|PMMACHI  |I00 Investigate Leak on SW Pre-Filter   |ZM01|1607    |TORSFT1017|SOFTENED WATER SYSTEM                   |PM-EMS-MNT|TORB100-SWS001                |CA02T0111|01.06.2024|01.06.2024|PRCO RFEX     |11112023|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |05.10.2023|          | 1,149.40 | 2,075.69 |       |       |
|  4000126476|PMCARCON |2024 Site Wide Elevator PM Program      |ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|26.01.2024|26.01.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |77,973.30 |80,697.30 |       |       |
|  4000129414|PMREFRI  |B92 R2401 Investig. BIF1468 temp alarm  |ZM01|2401    |TORBIF1468|BIOFREEZER                              |PM-QUC-VR1|TOR0B92-LAB020-BFR0001        |CA02T0031|05.10.2024|05.10.2024|PRCO RFEX     |Z051024 |REL  ESTC CSER MANC MOBI PRC  SETC TTJL |          |          |     0.00 |   818.85 |       |       |
|  4000136573|PMMACHI  |I00 EXF1577 Augury Alert                |ZM01|3604    |TOREXF1577|EXHAUST FAN FOR ROOM 1608               |PM-EMS-MNT|TORB100-HVA001-AHU0026-EXF0003|CA02T0111|22.03.2024|22.03.2024|PRCO RFEX     |S/D     |REL  CNF  MANC MOBI NMAT PRC  SETC      |20.03.2024|22.03.2024|     0.00 | 1,020.00 |       |       |
|  4000141512|PMCARCON |B90 Tet Live Women's Washroom Repairs   |ZM01|RM 329  |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|01.05.2024|01.05.2024|PRCO RFEX     |REPORT  |REL  PCNF GMPS JIPR MANC PRC  SETC TTJL |10.04.2024|          |15,026.00 |15,704.50 |       |       |
|  4000142754|PMMACHI  |B60 PHN1010 Missing motor for agitator  |ZM01|102     |TORPHN1010|WASTE PH NEUTRALIZATION SYSTEM          |PM-BRD-UPS|TOR0B60-PAS001-NES0001        |CA02P0010|29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  MANC MOBI PRC  SETC                |          |          |     0.00 | 1,522.08 |       |       |
|  4000142828|PMMACHI  |B83 Repair Panic Bar End Caps           |ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|20.07.2024|20.07.2024|PRCO RFEX     |REPORT  |REL  CNF  JBFI MANC MOBI NMAT PRC  SETC |03.06.2024|03.06.2024|     0.00 | 1,140.60 |       |       |
|  4000144538|PMCARCON |B92 3rd flr Repair damaged drywall      |ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|20.07.2024|20.07.2024|PRCO          |Z200724 |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 7,682.00 |       |       |
|  4000144589|PMSTEAM  |Hard water in the condensate return.    |ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|25.05.2024|25.05.2024|PRCO RFEX     |Z250524 |REL  MANC PRC  SETC                     |          |          |     0.00 | 5,003.04 |       |       |
