19.04.2024                                                                                           Dynamic List Display                                                                                                                                                    1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier           |Matl Group|Un|Order     |   Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                   |    Ordered|On        |G/L Acct  |Shortage|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|E0526853 |08.04.2024|S - B89 FER0051 Rouging of head plate   |27844123  |3000020208|Inox Industries Inc                |CS5025    |AU|4000140409|     1,250 |X|        |13.04.2024|09.04.2024|Inox Industries Inc                |     1,250 |          |7411011000|      0 |
|I0552673 |08.04.2024|S - B83 Managment Area Glass Door       |27844220  |          |Thunder Electric Inc               |CS5025    |AU|4000135997|       710 | |        |08.04.2024|          |Thunder Electric Inc               |         0 |          |7411011000|      0 |
|I0548244 |08.04.2024|MR-00006153: Pressure relief vlv @75 PSI|27844221  |3000020109|RS Integrated Supply Canada Corp   |MC2002    |EA|4000132501|         1 | |        |19.04.2024|08.04.2024|RS Integrated Supply Canada Corp   |         1 |          |7411002300|      0 |
|E0381501 |08.04.2024|S - Paint Patch Rm# 348                 |27844222  |          |Paint Pro Surface Coating Inc      |CS5025    |AU|4000140475|10,590.930 |X|        |08.04.2024|          |Paint Pro Surface Coating Inc      |         0 |          |7411011000|      0 |
|I0415474 |08.04.2024|S - Rear Asphalt Grindings Parking Lot  |27844224  |3000020108|Mazza Landscaping Enterprises Inc  |CS5025    |AU|4000128147|     8,250 | |        |16.04.2024|08.04.2024|Mazza Landscaping Enterprises Inc  |     8,250 |          |7411011000|      0 |
|E0381501 |08.04.2024|S - Paint Patch Rm# 348                 |27844225  |3000020110|Paint Pro Surface Coating Inc      |CS5025    |AU|4000140475| 9,372.500 | |        |08.04.2024|08.04.2024|Paint Pro Surface Coating Inc      | 9,372.500 |          |7411011000|      0 |
|I0552673 |08.04.2024|S - B83 IT area Glass Door              |27844362  |          |Thunder Electric Inc               |CS5025    |AU|4000140995|     1,525 | |        |08.04.2024|          |Thunder Electric Inc               |         0 |          |7411011000|      0 |
|E0526853 |08.04.2024|S - B54 Minor leak in engine            |27844363  |3000020207|Toromont Industries Ltd            |CS5025    |AU|4000141100|     2,411 | |        |08.04.2024|09.04.2024|Toromont Industries Ltd            |     2,411 |          |7411011000|      0 |
|I0415474 |09.04.2024|S - 2024 Site Wide Elevator PM Apr-Jul  |27866293  |3000020326|Sodexo Canada Ltd                  |CS5025    |AU|4000126476|25,991.100 | |        |09.04.2024|16.04.2024|Sodexo Canada Ltd                  |25,991.100 |          |7411011000|      0 |
|I0538357 |09.04.2024|Pleated Air Filters 16*20*2             |27867001  |          |RS Integrated Supply Canada Corp   |MC2002    |EA|4000137359|        15 |X|        |09.04.2024|          |RS Integrated Supply Canada Corp   |         0 |          |7411002300|      0 |
|E0526853 |09.04.2024|S- B54 Install ORP sensors Tower 2 & 3  |27867449  |          |VEOLIA WATER TECHNOLOGIES & SOLUTIO|CS5025    |AU|4000056776| 1,510.750 | |        |09.04.2024|          |VEOLIA WATER TECHNOLOGIES & SOLUTIO|         0 |          |7411011000|      0 |
|I0548244 |09.04.2024|MR-00006202: Mfg.p/n: SL40L/841/4P      |27867450  |3000020204|RS Integrated Supply Canada Corp   |MC2002    |EA|4000135033|         2 | |        |19.04.2024|09.04.2024|RS Integrated Supply Canada Corp   |         2 |          |7411002300|      0 |
