25.04.2024                                                                                        Dynamic List Display                                                                                                                                                 1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier          |Matl Group|Un|Order     |   Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  |Ordered|On        |G/L Acct  |Shortage|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|I0548244 |24.04.2024|S-B92 CHI1027 Replace Leaking AMOT Valve|28006680  |          |Johnson Controls Inc              |CS5025    |AU|4000142825| 3,035.850 |X|        |04.05.2024|          |Johnson Controls Inc              |     0 |          |7411011000|      0 |
|E0381501 |24.04.2024|S - Replace Handle on Stairwell Door    |28006682  |          |H Sanderson & Son Construction Ltd|CS5025    |AU|4000140235|   299.120 | |        |04.05.2024|          |H Sanderson & Son Construction Ltd|     0 |          |7411011000|      0 |
|E0381501 |24.04.2024|Materials:B92 West Staircase Door Lock S|28006683  |          |H Sanderson & Son Construction Ltd|MC2002    |EA|4000140235|         1 | |        |03.05.2024|          |H Sanderson & Son Construction Ltd|     0 |          |7411002300|      0 |
|I0253031 |24.04.2024|S - B90 MR174 STG1031 piping insulated  |28006684  |3000020414|Catina Contracting                |CS5025    |AU|4000132206|       598 | |        |27.04.2024|24.04.2024|Catina Contracting                |   598 |          |7411011000|      0 |
|I0253031 |24.04.2024| #203093: STG1031 piping insulation     |28006685  |3000020415|Catina Contracting                |MC2002    |EA|4000132206|         1 | |        |26.04.2024|24.04.2024|Catina Contracting                |     1 |          |7411002300|      0 |
|E0526853 |24.04.2024|S - Alfa Laval Cost Additional Cost     |28006687  |          |Alfa Laval Inc                    |CS5025    |AU|4000142845|     4,722 | |        |24.04.2024|          |Alfa Laval Inc                    |     0 |          |7411011000|      0 |
|E0526853 |24.04.2024|MR-00006237: Honeywell Temp control     |28006688  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000142847|         2 | |        |24.04.2024|          |RS Integrated Supply Canada Corp  |     0 |          |7411002300|      0 |
|I0552673 |24.04.2024|S - B83 MR163 Install insulation on HEX |28006689  |3000020424|Catina Contracting                |CS5025    |AU|4000142860|       980 | |        |24.04.2024|25.04.2024|Catina Contracting                |   980 |          |7411011000|      0 |
|E0392475 |24.04.2024|"S" - Sprint - Piping parts & Insulation|28006690  |          |Sprint Mechanical Inc             |CS5025    |AU|4000124595|     2,037 | |        |24.04.2024|          |Sprint Mechanical Inc             |     0 |          |7411011000|      0 |
|E0392475 |24.04.2024|CSW12990465, Alfa Laval, Imp PM338-4"   |28006694  |          |Wajax Industrial Components       |MC2002    |EA|4000137642|         2 | |        |24.04.2024|          |Wajax Industrial Components       |     0 |          |7411002300|      0 |
|E0392475 |25.04.2024|MR-00006263-3, Grainer SDR1A326 Muffler |28010631  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000141860|         6 | |        |25.04.2024|          |RS Integrated Supply Canada Corp  |     0 |          |7411002300|      0 |
|E0392475 |25.04.2024|MR-00006263-3, Grainer SDR1A325 Muffler |28010632  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000141860|         2 | |        |25.04.2024|          |RS Integrated Supply Canada Corp  |     0 |          |7411002300|      0 |
|E0392475 |25.04.2024|MR-00006263-3, Grainer SDR1A327 Muffler |28010633  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000141860|         2 | |        |25.04.2024|          |RS Integrated Supply Canada Corp  |     0 |          |7411002300|      0 |
|I0548244 |25.04.2024|S - Evoqua Service for 2024 Q2-Q4       |28010634  |          |Evoqua Water Technologies Ltd     |CS5025    |AU|4000126581|17,408.720 | |        |25.04.2024|          |Evoqua Water Technologies Ltd     |     0 |          |7411011000|      0 |
|I0009597 |25.04.2024|S- 1Y Task, Recal Coriolis              |28010635  |          |Endress Hauser Canada Ltd         |CS5025    |AU|4000133179|     1,232 | |        |01.03.2025|          |Endress Hauser Canada Ltd         |     0 |          |7411011000|      0 |
|I0009597 |25.04.2024|S - Repair of TOC1049 Full Calibration  |28010636  |          |Pegram Technologies Inc           |CS5025    |AU|4000134439|    11,895 | |        |25.04.2024|          |Pegram Technologies Inc           |     0 |          |7411011000|      0 |
|I0009597 |25.04.2024|S - Repair of TOC1057                   |28010637  |          |Pegram Technologies Inc           |CS5025    |AU|4000104564|     9,475 | |        |25.04.2024|          |Pegram Technologies Inc           |     0 |          |7411011000|      0 |
|I0009597 |25.04.2024|S- Repair of TOC1068 Full Calibration   |28010638  |          |Pegram Technologies Inc           |CS5025    |AU|4000096163|     9,475 | |        |25.04.2024|          |Pegram Technologies Inc           |     0 |          |7411011000|      0 |
|I0552673 |25.04.2024|MR-00006266: Bathroom Fan 1.15 A        |28010639  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000141848|         1 | |        |03.05.2024|          |RS Integrated Supply Canada Corp  |     0 |          |7411002300|      0 |
|I0552673 |25.04.2024|MR-00006266: DUCT 3IN FLEXIBLE          |28010640  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000141848|         1 | |        |03.05.2024|          |RS Integrated Supply Canada Corp  |     0 |          |7411002300|      0 |
