12.08.2024                                                                                          Dynamic List Display                                                                                                                                                    1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier          |Matl Group|Un|Order     |    Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  |    Ordered|On        |G/L Acct  |Shortage|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|E0381501 |23.07.2024|S - B89 June - Envelop sealants         |28531146  |3000021466|Paint Pro Surface Coating Inc     |CS5025    |AU|4000169385|  4,289.500 | |        |23.07.2024|24.07.2024|Paint Pro Surface Coating Inc     | 4,289.500 |          |7411011000|      0 |
|E0381501 |23.07.2024|S - B90 June Corrective Actions         |28531149  |3000021466|Paint Pro Surface Coating Inc     |CS5025    |AU|4000169386|      8,395 | |        |23.07.2024|24.07.2024|Paint Pro Surface Coating Inc     |     8,395 |          |7411011000|      0 |
|I0548244 |23.07.2024|S - RightWay Crane inspections          |28531153  |3000021493|Rightway Crane &                  |CS5025    |AU|4000144230|      2,248 | |        |01.09.2024|25.07.2024|Rightway Crane &                  |     2,248 |          |7411011000|      0 |
|E0392475 |23.07.2024|4785, Thunder, Low Peak Fuses           |28531226  |3000021442|Thunder Electric Inc              |MC2002    |EA|4000169179|         20 | |        |26.07.2024|23.07.2024|Thunder Electric Inc              |        20 |          |7411002300|      0 |
|E0392475 |24.07.2024|Rouging Assessment for the Equipment    |28536501  |3000021463|Bio Clean Services Inc            |CS5025    |AU|4000169531|      2,250 | |        |24.07.2024|24.07.2024|Bio Clean Services Inc            |     2,250 |          |7411011000|      0 |
|I0548244 |24.07.2024|S- APS Shutdown Support                 |28536513  |3000021492|Analysts Of Pneumatic Systems     |CS5025    |AU|4000146315|      8,220 | |        |01.08.2024|25.07.2024|Analysts Of Pneumatic Systems     |     8,220 |          |7411011000|      0 |
|I0381218 |24.07.2024|MR-00006490- RECEPTACLE WASTE 20GAL     |28536522  |3000021491|RS Integrated Supply Canada Corp  |MC2002    |EA|4000169532|          1 | |        |06.09.2024|25.07.2024|RS Integrated Supply Canada Corp  |         1 |          |7411002300|      0 |
|I0381218 |24.07.2024|MR-00006490- DRUM DOLLY CAP 500 55GALDRU|28536524  |3000021491|RS Integrated Supply Canada Corp  |MC2002    |EA|4000169532|          1 | |        |06.09.2024|25.07.2024|RS Integrated Supply Canada Corp  |         1 |          |7411002300|      0 |
|I0381218 |24.07.2024|MR-00006490-BATTERY PACK,6.0 AH,12 V,LI-|28536526  |3000021491|RS Integrated Supply Canada Corp  |MC2002    |EA|4000169532|          1 | |        |06.09.2024|25.07.2024|RS Integrated Supply Canada Corp  |         1 |          |7411002300|      0 |
