22.08.2024                                                                                         Dynamic List Display                                                                                                                                                   1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier          |Matl Group|Un|Order     |   Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  |   Ordered|On        |G/L Acct  |Shortage|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|E0381501 |14.08.2024|B100 Envelope Sealant Repairs           |28699973  |3000021873|Paint Pro Surface Coating Inc     |CS5025    |AU|4000175238|     8,326 | |        |14.08.2024|15.08.2024|Paint Pro Surface Coating Inc     |    8,326 |          |7411011000|      0 |
|E0465459 |14.08.2024|S - TOC1066 Repair                      |28699987  |          |Pegram Technologies Inc           |CS5025    |AU|4000107843|    18,715 | |        |14.08.2024|          |Pegram Technologies Inc           |        0 |          |7411011000|      0 |
|E0465459 |14.08.2024|S - APC1194 Printer Repair              |28699989  |3000021879|Pegram Technologies Inc           |CS5025    |AU|4000142031|       500 | |        |01.04.2025|16.08.2024|Pegram Technologies Inc           |      500 |          |7411011000|      0 |
|E0465459 |14.08.2024|S - APC1205 WiFi Board Non-Functional   |28699993  |3000021879|Pegram Technologies Inc           |CS5025    |AU|4000096792|       500 | |        |14.08.2024|16.08.2024|Pegram Technologies Inc           |      500 |          |7411011000|      0 |
|I0544747 |15.08.2024|MR-00006499-Pole Switch, Self-15 Amp Dec|28706755  |3000021869|RS Integrated Supply Canada Corp  |MC2002    |EA|4000170054|        10 | |        |23.08.2024|15.08.2024|RS Integrated Supply Canada Corp  |       10 |          |7411002300|      0 |
|I0548244 |15.08.2024|MR-00006522 Window Tilt                 |28706785  |3000021881|RS Integrated Supply Canada Corp  |MC2002    |EA|4000169499|         1 | |        |15.08.2024|16.08.2024|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|I0544747 |15.08.2024|MR-00006526 Stainless Steal Link        |28706811  |3000021869|RS Integrated Supply Canada Corp  |MC2002    |EA|4000175121|         1 | |        |16.08.2024|15.08.2024|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|I0253031 |15.08.2024|Light Burnt B90 Entrance                |28706815  |          |Guild Electric                    |CS5025    |AU|4000167535|     1,400 |X|        |17.08.2024|          |Guild Electric                    |        0 |          |7411011000|      0 |
|E0526853 |15.08.2024|S024-0602 10FT OAL  Hose                |28706888  |          |Tri-Canada Industries Ltd         |MC2002    |EA|4000170828|         1 | |        |15.08.2024|          |Tri-Canada Industries Ltd         |        0 |          |7411002300|      0 |
|E0526853 |15.08.2024|S2024-0602 10.FT OAL Hose               |28706889  |          |Tri-Canada Industries Ltd         |MC2002    |EA|4000170828|         1 | |        |15.08.2024|          |Tri-Canada Industries Ltd         |        0 |          |7411002300|      0 |
|E0526853 |15.08.2024|S2024-0602 6.5FT OAL Hose               |28706890  |          |Tri-Canada Industries Ltd         |MC2002    |EA|4000170828|         1 | |        |15.08.2024|          |Tri-Canada Industries Ltd         |        0 |          |7411002300|      0 |
|E0526853 |15.08.2024|S-2024-0602 50.5 OAL Hose               |28706891  |          |Tri-Canada Industries Ltd         |MC2002    |EA|4000170828|         1 | |        |15.08.2024|          |Tri-Canada Industries Ltd         |        0 |          |7411002300|      0 |
