20.12.2023                                                                                         Dynamic List Display                                                                                                                                                   1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier          |Matl Group|Un|Order     |   Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  |   Ordered|On        |G/L Acct  |Shortage|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|E0381501 |14.12.2023|B90 downstream flooring repair          |24204410  |          |Preferred Polymer Coatings Ltd    |CS5025    |AU|4000114377| 2,261.100 | |        |14.12.2023|          |Preferred Polymer Coatings Ltd    |        0 |          |7411011000|      0 |
|E0526853 |15.12.2023|replace rusty housing HST1106           |24238405  |          |Rightway Crane &                  |CS5025    |AU|4000120571|     1,356 | |        |15.12.2023|          |Rightway Crane &                  |        0 |          |7411011000|      0 |
|I0253031 |15.12.2023|Switch DCW supply to new BFP's- AMI     |24239304  |3000015957|Aim Industrial Inc                |MC2002    |AU|4000116569|    10,950 | |        |20.12.2023|15.12.2023|Aim Industrial Inc                |   10,950 |          |7411011000|      0 |
|E0526853 |15.12.2023|Replace motor on fan EXF1359            |24239305  |          |Ainsworth Inc                     |CS5025    |AU|4000111644|     3,599 | |        |15.12.2023|          |Ainsworth Inc                     |        0 |          |7411011000|      0 |
|E0526853 |15.12.2023|B89 EXF1328 - Clean/Balance rotor       |24239308  |          |Ainsworth Inc                     |CS5025    |AU|4000096537|     2,999 | |        |30.12.2023|          |Ainsworth Inc                     |        0 |          |7411011000|      0 |
|E0526853 |15.12.2023|Rm171 door stainless steel damaged      |24239309  |          |Wilcox Door Service Inc           |CS5025    |AU|4000120715|    12,850 | |        |15.12.2023|          |Wilcox Door Service Inc           |        0 |          |7411011000|      0 |
|I0253031 |15.12.2023|fan bearings Replacement                |24239310  |3000015956|Ainsworth Inc                     |CS5025    |AU|4000117531|     6,362 | |        |15.12.2023|15.12.2023|Ainsworth Inc                     |    6,362 |          |7411011000|      0 |
|I0253031 |15.12.2023|WII1130 Nanodac controller issue        |24239311  |3000015984|Lab Works Intl Inc                |CS5025    |AU|4000120719|    23,020 | |        |15.12.2023|18.12.2023|Lab Works Intl Inc                |   23,020 |          |7411011000|      0 |
|E0526853 |15.12.2023|RWC: Load chain                         |24239312  |          |Rightway Crane &                  |MC2002    |EA|4000111643|         1 | |        |15.12.2023|          |Rightway Crane &                  |        0 |          |7411002300|      0 |
|E0468149 |18.12.2023|S2023-1215, TriCanada, SS Hose 1.5" TC  |24359603  |3000015987|Tri Canada Industries Ltd         |MC2002    |EA|4000120834|         1 | |        |26.01.2024|18.12.2023|Tri Canada Industries Ltd         |        1 |          |7411002300|      0 |
|I0253031 |18.12.2023|MR-00006037: LED T5 DIRECT FIT          |24359605  |3000015985|RS Integrated Supply Canada Corp  |MC2002    |EA|4000117201|        25 | |        |18.12.2023|18.12.2023|RS Integrated Supply Canada Corp  |       25 |          |7411002300|      0 |
|I0253031 |18.12.2023|Building 90 Penthouse MR300 Insulation  |24359606  |3000015986|Catina Contracting                |CS5025    |AU|4000120836|       640 | |        |18.12.2023|18.12.2023|Catina Contracting                |      640 |          |7411011000|      0 |
|E0526853 |18.12.2023|motor failure - SAS1108                 |24359607  |          |Ainsworth Inc                     |CS5025    |H |4000111642|     5,599 | |        |18.12.2023|          |Ainsworth Inc                     |        0 |          |7411011000|      0 |
|I0415474 |18.12.2023|B100 Steam Chamber Investigations       |24359608  |3000016071|Gorbern Mechanical Contractors    |CS5025    |AU|4000120835|    26,650 | |        |22.12.2023|19.12.2023|Gorbern Mechanical Contractors    |   26,650 |          |7411011000|      0 |
|E0468149 |18.12.2023|CSW12713305, Wika, 160PSI Gauge 52883296|24359610  |3000015983|Wajax Industrial Components       |MC2002    |EA|4000120863|         1 | |        |09.02.2024|18.12.2023|Wajax Industrial Components       |        1 |          |7411002300|      0 |
|E0381501 |18.12.2023|B90 MTech Lab Wall Repairs              |24359632  |          |Paint Pro Surface Coating Inc     |CS5025    |AU|4000120865|66,805.600 |X|        |18.12.2023|          |Paint Pro Surface Coating Inc     |        0 |          |7411011000|      0 |
|E0381501 |18.12.2023|B90 MTech Lab Wall Repairs              |24359634  |3000016156|Paint Pro Surface Coating Inc     |CS5025    |AU|4000120865|    59,120 | |        |18.12.2023|20.12.2023|Paint Pro Surface Coating Inc     |   59,120 |          |7411011000|      0 |
|E0526853 |18.12.2023|MR-00006038,LED, VIV-T8DF4/11.5W/50/F   |24359635  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000111576|        50 | |        |18.12.2023|          |RS Integrated Supply Canada Corp  |        0 |          |7411002300|      0 |
|E0526853 |18.12.2023|MR-00006038,Eiko 7W, 13248              |24359636  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000111576|        50 | |        |18.12.2023|          |RS Integrated Supply Canada Corp  |        0 |          |7411002300|      0 |
|I0548244 |19.12.2023|B92 W&S AUT1119 &1120 Repair            |24387866  |3000016082|Steris Canada Inc                 |CS5025    |AU|4000111403|     5,800 | |        |19.12.2023|19.12.2023|Steris Canada Inc                 |    5,800 |          |7411011000|      0 |
|E0465459 |19.12.2023|MR-00006036, Glove,  GT5KV              |24388551  |3000016083|RS Integrated Supply Canada Corp  |MC2002    |EA|4000097835|        13 | |        |19.12.2023|19.12.2023|RS Integrated Supply Canada Corp  |       13 |          |7411002300|      0 |
|E0465459 |19.12.2023|MR-00006036, Glove, GLVLABEL            |24388552  |3000016083|RS Integrated Supply Canada Corp  |MC2002    |EA|4000097835|        26 | |        |19.12.2023|19.12.2023|RS Integrated Supply Canada Corp  |       26 |          |7411002300|      0 |
|E0465459 |19.12.2023|MR-00006036, Electrical Glove, E011Y9   |24388553  |3000016083|RS Integrated Supply Canada Corp  |MC2002    |EA|4000097835|         4 | |        |19.12.2023|19.12.2023|RS Integrated Supply Canada Corp  |        4 |          |7411002300|      0 |
|E0381501 |19.12.2023|room 139                                |24388554  |          |Paint Pro Surface Coating Inc     |CS5025    |AU|4000107450|   539.290 |X|        |19.12.2023|          |Paint Pro Surface Coating Inc     |        0 |          |7411011000|      0 |
|E0381501 |19.12.2023|Paint Pro Support                       |24389745  |3000016088|Paint Pro Surface Coating Inc     |CS5025    |AU|4000107450|   477.250 | |        |19.12.2023|19.12.2023|Paint Pro Surface Coating Inc     |  477.250 |          |7411011000|      0 |
|E0465300 |19.12.2023|Rewind motor                            |24389765  |          |                                  |CS5025    |H |4000117109|     9,972 |X|        |19.12.2023|          |                                  |        0 |          |7411011000|      0 |
|I0253031 |19.12.2023|Rewind motor                            |24389766  |3000016081|Ainsworth Inc                     |CS5025    |AU|4000117109|     9,972 | |        |19.12.2023|19.12.2023|Ainsworth Inc                     |    9,972 |          |7411011000|      0 |
