08.01.2024                                                                                          Dynamic List Display                                                                                                                                                   1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier           |Matl Group|Un|Order     |  Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                   |   Ordered|On        |G/L Acct  |Shortage|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|I0538357 |06.03.2023|Perform the 5 year PM on the unit       |13254509  |3000006563|Mechanical Equipment Co. Inc.,     |CS5025    |AU|4000045334|   20,726 | |        |02.01.2024|07.03.2023|Mechanical Equipment Co. Inc.,     |   20,726 |          |7411011000|      0 |
|I0548244 |13.03.2023|CHA1009 - Conductivity sensor issue     |13303783  |3000006698|VEOLIA WATER TECHNOLOGIES & SOLUTIO|CS5025    |AU|4000059345|      654 | |        |13.03.2023|13.03.2023|VEOLIA WATER TECHNOLOGIES & SOLUTIO|      654 |          |7411011000|      0 |
|I0177645 |20.04.2023|Implem. Eurotherm Data Review Core - CTH|13564372  |3000007872|Cth Industrial Controls Ont Ltd    |CS5025    |AU|4000064188|   31,689 | |        |20.04.2023|03.05.2023|Cth Industrial Controls Ont Ltd    |   31,689 |          |7411011000|      0 |
|E0526853 |18.05.2023|B90 MTech MAGs Inspection               |13795427  |3000008403|Siemens Canada Ltd                 |CS5025    |AU|4000053626|7,653.850 | |        |18.05.2023|18.05.2023|Siemens Canada Ltd                 |7,653.850 |          |7411011000|      0 |
|E0526853 |30.06.2023|Door not closing between 292 and 315    |15304486  |3000009883|Wilcox Door Service Inc            |CS5025    |AU|4000090248|    3,561 | |        |04.11.2023|06.07.2023|Wilcox Door Service Inc            |    3,561 |          |7411011000|      0 |
|E0465459 |27.09.2023|B93 - CPR1008 additional parts replace  |20348636  |3000013186|Bausch And Stroebel Machine Co Inc |CS5025    |AU|4000093949|    2,694 | |        |27.09.2023|27.09.2023|Bausch And Stroebel Machine Co Inc |    2,694 |          |7411011000|      0 |
|E0421182 |13.10.2023|Site Wide Snow Clearing 2023- 2024      |21276255  |3000014150|Masi Group Inc                     |CS5025    |AU|4000110251|   50,000 | |        |30.04.2024|30.10.2023|Masi Group Inc                     |   50,000 |          |7411011000|      0 |
|E0421182 |26.10.2023|Snow Clearing 2023-2024                 |22141514  |3000014152|Provincial Industrial Roofing And  |CS5025    |AU|4000111531|   50,000 | |        |30.04.2024|30.10.2023|Provincial Industrial Roofing And  |   50,000 |          |7411011000|      0 |
|E0526853 |26.10.2023|MWS Passivation of Buffer Cans          |22141518  |3000014096|Bio Clean Services Inc             |CS5025    |AU|4000111603|    1,950 | |        |06.12.2023|27.10.2023|Bio Clean Services Inc             |    1,950 |          |7411011000|      0 |
|I0552673 |31.10.2023|Repair leaky backflow preventer - sprint|22436577  |          |Sprint Mechanical Inc              |CS5025    |AU|4000112202|    2,244 | |        |20.12.2023|          |Sprint Mechanical Inc              |        0 |          |7411011000|      0 |
|I0405971 |31.10.2023|Oxygen sensor malfunction               |22436578  |3000014517|Fisher Scientific Ltd              |CS5025    |AU|4000111047|1,209.470 | |        |31.10.2023|07.11.2023|Fisher Scientific Ltd              |1,209.470 |          |7411011000|      0 |
|I0538357 |02.11.2023|B83 R355A WIR0151 evap. insulation fix  |22559764  |3000014327|Catina Contracting                 |CS5025    |AU|4000110902|      870 | |        |02.11.2023|02.11.2023|Catina Contracting                 |      870 |          |7411011000|      0 |
|I0253031 |15.11.2023|Insulate pipe in room 187A in basement  |23249541  |3000014832|Catina Contracting                 |CS5025    |AU|4000115373|      760 |X|        |15.11.2023|15.11.2023|Catina Contracting                 |      760 |          |7411011000|      0 |
|I0253031 |16.11.2023|B90 glue & refurb all BSMT doors        |23282187  |          |Wilcox Door Service Inc            |CS5025    |AU|4000107681|    5,150 |X|        |16.11.2023|          |Wilcox Door Service Inc            |        0 |          |7411011000|      0 |
|I0548244 |16.11.2023|Replace insullation on piping to ceiling|23282188  |3000014948|Catina Contracting                 |CS5025    |AU|4000115786|      460 | |        |16.11.2023|17.11.2023|Catina Contracting                 |      460 |          |7411011000|      0 |
|E0381501 |16.11.2023|B93 Exterior Door Repairs               |23287372  |3000015119|H Sanderson & Son Construction Ltd |CS5025    |AU|4000115486|3,019.260 | |        |31.12.2023|22.11.2023|H Sanderson & Son Construction Ltd |3,019.260 |          |7411011000|      0 |
|E0381501 |20.11.2023|B89E Exterior Door Repairs              |23392300  |3000015007|H Sanderson & Son Construction Ltd |CS5025    |AU|4000116069|  767.630 | |        |01.12.2023|20.11.2023|H Sanderson & Son Construction Ltd |  767.630 |          |7411011000|      0 |
|E0381501 |21.11.2023|B60 Exterior Door Repairs & Upgrades    |23420150  |3000015119|H Sanderson & Son Construction Ltd |CS5025    |AU|4000116196|2,219.450 | |        |31.12.2023|22.11.2023|H Sanderson & Son Construction Ltd |2,219.450 |          |7411011000|      0 |
|E0421182 |22.11.2023|B90 Exterior Door Repairs               |23422580  |3000015135|H Sanderson & Son Construction Ltd |CS5025    |AU|4000116319|2,592.380 | |        |31.12.2023|23.11.2023|H Sanderson & Son Construction Ltd |2,592.380 |          |7411011000|      0 |
|E0381501 |23.11.2023|B94 & 94E Exterior Door Repair 2023     |23456894  |3000015138|H Sanderson & Son Construction Ltd |CS5025    |AU|4000116351|5,882.250 | |        |31.12.2023|23.11.2023|H Sanderson & Son Construction Ltd |5,882.250 |          |7411011000|      0 |
|E0381501 |23.11.2023|B95 Roof Exit Door Repairs              |23489006  |3000015134|H Sanderson & Son Construction Ltd |CS5025    |AU|4000116352|      920 | |        |31.12.2023|23.11.2023|H Sanderson & Son Construction Ltd |      920 |          |7411011000|      0 |
