09.01.2024                                                                                         Dynamic List Display                                                                                                                                                  1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier          |Matl Group|Un|Order     |  Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  |   Ordered|On        |G/L Acct  |Shortage|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|I0253031 |08.01.2024|Replace Ballast and Lights B90 entrance |25034237  |3000016580|Guild Electric                    |CS5025    |AU|4000122660|    1,370 | |        |08.01.2024|08.01.2024|Guild Electric                    |    1,370 |          |7411011000|      0 |
|E0465300 |08.01.2024|Facility Walkabout Adsorptions          |25034238  |          |Paint Pro Surface Coating Inc     |CS5025    |AU|4000123516|  540.500 |X|        |08.01.2024|          |Paint Pro Surface Coating Inc     |        0 |          |7411011000|      0 |
|E0381501 |08.01.2024|Facility Walkabout Adsorptions          |25034239  |3000016581|Paint Pro Surface Coating Inc     |CS5025    |AU|4000123516|  540.500 | |        |08.01.2024|08.01.2024|Paint Pro Surface Coating Inc     |  540.500 |          |7411011000|      0 |
|E0381501 |08.01.2024|B90 Downstream Additional               |25034240  |          |Paint Pro Surface Coating Inc     |CS5025    |AU|4000114377|3,958.250 |X|        |08.01.2024|          |Paint Pro Surface Coating Inc     |        0 |          |7411011000|      0 |
|E0381501 |08.01.2024|B90 Downstream Additional               |25034241  |3000016581|Paint Pro Surface Coating Inc     |CS5025    |AU|4000114377|3,858.250 | |        |08.01.2024|08.01.2024|Paint Pro Surface Coating Inc     |3,858.250 |          |7411011000|      0 |
|E0381501 |08.01.2024|B90 Pull Station Sealants               |25034242  |          |Paint Pro Surface Coating Inc     |CS5025    |AU|4000114377|      529 | |        |08.01.2024|          |Paint Pro Surface Coating Inc     |        0 |          |7411011000|      0 |
|E0381501 |08.01.2024|Air Return Grill Wall Repairs & Sealants|25034243  |3000016581|Paint Pro Surface Coating Inc     |CS5025    |AU|4000119409|  990.500 | |        |08.01.2024|08.01.2024|Paint Pro Surface Coating Inc     |  990.500 |          |7411011000|      0 |
|E0381501 |08.01.2024|Fire Alarm Pull station Wall Repairs    |25034244  |          |Paint Pro Surface Coating Inc     |CS5025    |AU|4000119409|    2,300 | |        |08.01.2024|          |Paint Pro Surface Coating Inc     |        0 |          |7411011000|      0 |
|E0381501 |08.01.2024|B71 Exterior Door Repairs 2024          |25034245  |          |H Sanderson & Son Construction Ltd|CS5025    |AU|4000123525|4,663.260 | |        |08.01.2024|          |H Sanderson & Son Construction Ltd|        0 |          |7411011000|      0 |
