19.01.2024                                                                                    Dynamic List Display                                                                                                                                             1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO|Name of Desired Supplier          |Matl Group|Un|Order     |   Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  |Ordered|On        |G/L Acct  |Shortage|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|E0381501 |18.01.2024|S- Caulk between floor and wall/cabinets|25338950  |  |Preferred Polymer Coatings Ltd    |CS5025    |AU|4000124932| 2,962.240 | |        |18.01.2024|          |Preferred Polymer Coatings Ltd    |     0 |          |7411011000|      0 |
|E0381501 |18.01.2024|"S"- Repair Leak in RM 1734 Kitting Area|25339834  |  |Preferred Polymer Coatings Ltd    |CS5025    |AU|4000119248|     2,708 |X|        |18.01.2024|          |Preferred Polymer Coatings Ltd    |     0 |          |7411011000|      0 |
|E0381501 |18.01.2024|Repair work in Room 3104 and 3103       |25339835  |  |Preferred Polymer Coatings Ltd    |CS5025    |AU|4000117338|     3,799 |X|        |18.01.2024|          |Preferred Polymer Coatings Ltd    |     0 |          |7411011000|      0 |
|I0548244 |19.01.2024|Rightwaycrane Quote                     |25370734  |  |Rightway Crane &                  |CS5025    |AU|4000097992|     1,104 | |        |19.01.2024|          |Rightway Crane &                  |     0 |          |7411011000|      0 |
|E0381501 |19.01.2024|B95 North Elevation Leak Investigation  |25370735  |  |Flynn Canada Ltd                  |CS5025    |AU|4000124971|     5,184 | |        |19.01.2024|          |Flynn Canada Ltd                  |     0 |          |7411011000|      0 |
|I0544747 |19.01.2024|MR-00006072, Battery, 26755             |25370736  |  |RS Integrated Supply Canada Corp  |MC2002    |EA|4000124621|         2 | |        |19.01.2024|          |RS Integrated Supply Canada Corp  |     0 |          |7411002300|      0 |
|E0526853 |19.01.2024|B89 Mech. Rm 168                        |25370777  |  |Catina Contracting                |CS5025    |AU|4000123718|     2,560 | |        |19.01.2024|          |Catina Contracting                |     0 |          |7411011000|      0 |
|E0526853 |19.01.2024|B89 Mech. Rm 188                        |25370778  |  |Catina Contracting                |CS5025    |AU|4000123718|     1,150 | |        |19.01.2024|          |Catina Contracting                |     0 |          |7411011000|      0 |
|E0392475 |19.01.2024|"S" - Sanderson Warehouse Area Setup    |25370779  |  |H Sanderson & Son Construction Ltd|CS5025    |AU|4000125123|10,913.500 | |        |20.01.2024|          |H Sanderson & Son Construction Ltd|     0 |          |7411011000|      0 |
|I0548244 |19.01.2024|B83 TUS0003 stained plate BCS Quote     |25370815  |  |Bio Clean Services Inc            |CS5025    |AU|4000123469|       750 | |        |19.01.2024|          |Bio Clean Services Inc            |     0 |          |7411011000|      0 |
|E0381501 |19.01.2024|"S"- Repair Leak in RM 1734 Kitting Area|25370822  |  |Preferred Polymer Coatings Ltd    |CS5025    |AU|4000119248| 2,707.610 | |        |19.01.2024|          |Preferred Polymer Coatings Ltd    |     0 |          |7411011000|      0 |
|E0526853 |19.01.2024|MR-00006071, Diaphragm size 40, 88621267|25370823  |  |RS Integrated Supply Canada Corp  |MC2002    |EA|4000098108|        20 | |        |19.01.2024|          |RS Integrated Supply Canada Corp  |     0 |          |7411002300|      0 |
|E0526853 |19.01.2024|B89 MR exterior cleaning BCS            |25370824  |  |Bio Clean Services Inc            |CS5025    |AU|4000125170|     1,850 | |        |19.01.2024|          |Bio Clean Services Inc            |     0 |          |7411011000|      0 |
|E0381501 |19.01.2024|Repair work in Room 3104 and 3103       |25370917  |  |Preferred Polymer Coatings Ltd    |CS5025    |AU|4000117338| 3,798.400 | |        |19.01.2024|          |Preferred Polymer Coatings Ltd    |     0 |          |7411011000|      0 |
|E0392475 |19.01.2024|Transmitter , Yokogawa                  |25370919  |  |RS Integrated Supply Canada Corp  |MC2002    |EA|4000124597|         1 | |        |19.01.2024|          |RS Integrated Supply Canada Corp  |     0 |          |7411002300|      0 |
|E0392475 |19.01.2024|CSW12781306, OMRON, D4F3205D Limit Switc|25371215  |  |Wajax Industrial Components       |MC2002    |EA|4000123473|         2 | |        |19.01.2024|          |Wajax Industrial Components       |     0 |          |7411002300|      0 |
|I0405971 |19.01.2024|Repair for TOC1045                      |25371217  |  |Pegram Technologies Inc           |CS5025    |AU|4000078940|    13,605 | |        |19.01.2024|          |Pegram Technologies Inc           |     0 |          |7411011000|      0 |
|I0405971 |19.01.2024|Repair for TOC1045                      |25371218  |  |Pegram Technologies Inc           |CS5025    |AU|4000082000|    15,960 | |        |19.01.2024|          |Pegram Technologies Inc           |     0 |          |7411011000|      0 |
|I0405971 |19.01.2024|Repair for TOC1048                      |25371219  |  |Pegram Technologies Inc           |CS5025    |AU|4000121070|    11,895 | |        |19.01.2024|          |Pegram Technologies Inc           |     0 |          |7411011000|      0 |
|I0405971 |19.01.2024|Repair for TOC1054                      |25371220  |  |Pegram Technologies Inc           |CS5025    |AU|4000078946|    10,985 | |        |01.02.2024|          |Pegram Technologies Inc           |     0 |          |7411011000|      0 |
|E0381501 |19.01.2024|"S" - Sanderson - Dock Column Shroud    |25371221  |  |H Sanderson & Son Construction Ltd|CS5025    |AU|4000125184|     3,634 | |        |19.01.2024|          |H Sanderson & Son Construction Ltd|     0 |          |7411011000|      0 |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
