23.01.2024                                                                                          Dynamic List Display                                                                                                                                                   1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier          |Matl Group|Un|Order     |   Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  |    Ordered|On        |G/L Acct  |Shortage|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|E0465459 |02.01.2024|Steris Suport                           |24846357  |3000016369|Steris Canada Inc                 |CS5025    |AU|4000120224| 3,513.630 |X|        |12.01.2024|02.01.2024|Steris Canada Inc                 | 3,513.630 |          |7411011000|      0 |
|E0526853 |03.01.2024|MR-00006049: Flender Gearboxes repaired |24873955  |3000016496|RS Integrated Supply Canada Corp  |MC2002    |EA|4000122772|         3 | |        |03.01.2024|04.01.2024|RS Integrated Supply Canada Corp  |         3 |          |7411002300|      0 |
|I0544747 |03.01.2024|B95 North Stairwell                     |24874947  |3000016445|Paint Pro Surface Coating Inc     |CS5025    |AU|4000122776|     2,507 | |        |03.01.2024|03.01.2024|Paint Pro Surface Coating Inc     |     2,507 |          |7411011000|      0 |
|I0544747 |03.01.2024|B95 South Stairwell                     |24874948  |3000016445|Paint Pro Surface Coating Inc     |CS5025    |AU|4000122776|     2,507 | |        |03.01.2024|03.01.2024|Paint Pro Surface Coating Inc     |     2,507 |          |7411011000|      0 |
|I0544747 |03.01.2024|B95 SouthEast Stairwell                 |24874949  |3000016445|Paint Pro Surface Coating Inc     |CS5025    |AU|4000122776| 3,323.500 | |        |03.01.2024|03.01.2024|Paint Pro Surface Coating Inc     | 3,323.500 |          |7411011000|      0 |
|I0253031 |03.01.2024|Replace Ballast and Lights B90 entrance |24875216  |          |Guild Electric                    |CS5025    |AU|4000122660|     1,370 | |        |03.01.2024|          |Guild Electric                    |         0 |          |7411011000|      0 |
|E0465459 |03.01.2024|Interfax Quote# TS02153.00              |24875385  |3000016444|Pharmamedsci Group                |CS5025    |AU|4000044993|     2,660 |X|        |03.01.2024|03.01.2024|Pharmamedsci Group                |     2,660 |          |7411011000|      0 |
|E0465459 |03.01.2024|Interfax Quote# TS02154.00              |24875386  |3000016444|Pharmamedsci Group                |CS5025    |AU|4000044993|     2,020 |X|        |03.01.2024|03.01.2024|Pharmamedsci Group                |     2,020 |          |7411011000|      0 |
|I0253031 |03.01.2024|MR-00006052; Regulator; 2962-89         |24875387  |3000016443|RS Integrated Supply Canada Corp  |MC2002    |EA|4000110975|         3 | |        |03.01.2024|03.01.2024|RS Integrated Supply Canada Corp  |         3 |          |7411002300|      0 |
|E0392475 |03.01.2024|CSW12743172, 1/4in Tube SAE Female Flare|24876191  |3000016517|Wajax Industrial Components       |MC2002    |EA|4000121130|         2 |X|        |03.01.2024|04.01.2024|Wajax Industrial Components       |         2 |          |7411002300|      0 |
|E0392475 |03.01.2024|CSW12743172, Superior 3/8 B.V.          |24876192  |3000016517|Wajax Industrial Components       |MC2002    |EA|4000121130|         3 |X|        |03.01.2024|04.01.2024|Wajax Industrial Components       |         3 |          |7411002300|      0 |
|E0392475 |03.01.2024|CSW12743172, 1/4in Tube SAE Female Flare|24876193  |3000016517|Wajax Industrial Components       |MC2002    |EA|4000121130|         4 |X|        |03.01.2024|04.01.2024|Wajax Industrial Components       |         4 |          |7411002300|      0 |
|I0548244 |04.01.2024|Water Leaking in Office Area B83 Supp   |24907008  |          |Analysts Of Pneumatic Systems     |CS5025    |AU|4000121607|       592 |X|        |04.01.2024|          |Analysts Of Pneumatic Systems     |         0 |          |7411011000|      0 |
|I0552673 |04.01.2024|Water Leaking in Office Area B83 Supp   |24907009  |3000016561|Analysts Of Pneumatic Systems     |CS5025    |AU|4000121607|       592 | |        |04.01.2024|07.01.2024|Analysts Of Pneumatic Systems     |       592 |          |7411011000|      0 |
|E0526853 |04.01.2024|B89 Mechanical Rm 188                   |24907045  |3000016538|Paint Pro Surface Coating Inc     |CS5025    |AU|4000123157| 2,932.500 | |        |17.01.2024|05.01.2024|Paint Pro Surface Coating Inc     | 2,932.500 |          |7411011000|      0 |
|E0526853 |04.01.2024|B54 Chiller Room                        |24907046  |3000016547|Paint Pro Surface Coating Inc     |CS5025    |AU|4000123157| 2,305.750 | |        |17.01.2024|05.01.2024|Paint Pro Surface Coating Inc     | 2,305.750 |          |7411011000|      0 |
|E0526853 |04.01.2024|B89 Mech. Rm 188 Entry                  |24907047  |3000016540|Paint Pro Surface Coating Inc     |CS5025    |AU|4000123157| 3,162.500 | |        |17.01.2024|05.01.2024|Paint Pro Surface Coating Inc     | 3,162.500 |          |7411011000|      0 |
|E0526853 |04.01.2024|B89 GMP Audit Prep                      |24907048  |3000016541|Paint Pro Surface Coating Inc     |CS5025    |AU|4000123157| 1,874.500 | |        |17.01.2024|05.01.2024|Paint Pro Surface Coating Inc     | 1,874.500 |          |7411011000|      0 |
|I0253031 |04.01.2024|Paint work for Downstream area          |24907049  |          |Paint Pro Surface Coating Inc     |CS5025    |AU|4000123158|   586.500 |X|        |04.01.2024|          |Paint Pro Surface Coating Inc     |         0 |          |7411011000|      0 |
