31.01.2024                                                                                          Dynamic List Display                                                                                                                                                    1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier          |Matl Group|Un|Order     |    Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  |    Ordered|On        |G/L Acct  |Shortage|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|I0253031 |23.01.2024|MR-00006088: Water bath                 |25517350  |3000017177|RS Integrated Supply Canada Corp  |MC2002    |EA|4000118948|          1 | |        |23.01.2024|23.01.2024|RS Integrated Supply Canada Corp  |         1 |          |7411002300|      0 |
|I0548244 |24.01.2024|MR-00006078, Fan Motor, 1088581         |25553263  |3000017220|RS Integrated Supply Canada Corp  |MC2002    |EA|4000125611|          4 | |        |24.01.2024|24.01.2024|RS Integrated Supply Canada Corp  |         4 |          |7411002300|      0 |
|I0548244 |24.01.2024|MR-00006079, Cable, 5507D               |25553274  |3000017220|RS Integrated Supply Canada Corp  |MC2002    |EA|4000119803|          1 | |        |24.01.2024|24.01.2024|RS Integrated Supply Canada Corp  |         1 |          |7411002300|      0 |
|I0548244 |24.01.2024|MR-00006080, Drain pan, 1070012-001-M   |25553275  |3000017220|RS Integrated Supply Canada Corp  |MC2002    |EA|4000125610|          1 | |        |24.01.2024|24.01.2024|RS Integrated Supply Canada Corp  |         1 |          |7411002300|      0 |
|I0544747 |24.01.2024|MR-00006089, Buss, FWP-80A22F           |25553276  |3000017220|RS Integrated Supply Canada Corp  |MC2002    |EA|4000075709|         10 | |        |24.01.2024|24.01.2024|RS Integrated Supply Canada Corp  |        10 |          |7411002300|      0 |
|E0526853 |24.01.2024|MR-00006092, APC, P/N SRT5KXLT          |25553281  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000124442|          1 |X|        |24.01.2024|          |RS Integrated Supply Canada Corp  |         0 |          |7411002300|      0 |
|I0548244 |24.01.2024|MR-00006092, APC, P/N SRT5KXLT          |25553282  |3000017266|RS Integrated Supply Canada Corp  |MC2002    |EA|4000124442|          1 | |        |30.01.2024|26.01.2024|RS Integrated Supply Canada Corp  |         1 |          |7411002300|      0 |
|I0544747 |24.01.2024|MR-00006085: diamond tile drill         |25553283  |3000017220|RS Integrated Supply Canada Corp  |MC2002    |EA|4000125677|          1 | |        |24.01.2024|24.01.2024|RS Integrated Supply Canada Corp  |         1 |          |7411002300|      0 |
|E0392475 |24.01.2024|"S" - Catina - Insulate Brine Tanks     |25553284  |3000017240|Catina Contracting                |CS5025    |AU|4000126029|      1,360 | |        |24.01.2024|25.01.2024|Catina Contracting                |     1,360 |          |7411011000|      0 |
|E0392475 |24.01.2024|"S"- Heat tracing to Brine tank         |25554170  |          |Guild Electric                    |CS5025    |AU|4000124597|  5,002.620 |X|        |24.01.2024|          |Guild Electric                    |         0 |          |7411011000|      0 |
|E0392475 |24.01.2024|"S"- Heat tracing to Brine tank         |25554171  |3000017236|Guild Electric                    |CS5025    |AU|4000124597|  5,001.620 | |        |24.01.2024|25.01.2024|Guild Electric                    | 5,001.620 |          |7411011000|      0 |
|I0253031 |25.01.2024|MR-00006095: Power light                |25586539  |3000017237|RS Integrated Supply Canada Corp  |MC2002    |EA|4000124512|          1 | |        |25.01.2024|25.01.2024|RS Integrated Supply Canada Corp  |         1 |          |7411002300|      0 |
|I0253031 |25.01.2024|S- TET live & non live air balancing    |25587423  |          |Designtest Balance Co Ltd         |CS5025    |AU|4000125181|      3,810 | |        |25.01.2024|          |Designtest Balance Co Ltd         |         0 |          |7411011000|      0 |
|E0392475 |26.01.2024|"S" - Sanderson - Concrete Drain Work   |25618045  |          |H Sanderson & Son Construction Ltd|CS5025    |AU|4000117202|     16,031 | |        |26.01.2024|          |H Sanderson & Son Construction Ltd|         0 |          |7411011000|      0 |
|I0552673 |26.01.2024|MR-00006096, Humidity Sensor, P/N HW2XA2|25618048  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000124833|          1 |X|        |31.01.2024|          |RS Integrated Supply Canada Corp  |         0 |          |7411002300|      0 |
|I0552673 |26.01.2024|MR-00006096, Humidity Sensor, P/N HS2N  |25618049  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000124833|          1 |X|        |31.01.2024|          |RS Integrated Supply Canada Corp  |         0 |          |7411002300|      0 |
|I0548244 |26.01.2024|S - B83 SAS1105 Control Valve Insulation|25618050  |3000017267|Catina Contracting                |CS5025    |AU|4000115632|        930 | |        |26.01.2024|26.01.2024|Catina Contracting                |       930 |          |7411011000|      0 |
|I0548244 |26.01.2024|S - Evoqua Service for 2024             |25618051  |3000017268|Evoqua Water Technologies Ltd     |CS5025    |AU|4000126581|  4,407.120 | |        |26.01.2024|26.01.2024|Evoqua Water Technologies Ltd     | 4,407.120 |          |7411011000|      0 |
|I0548244 |26.01.2024|S - Evoqua Service for 2024             |25618052  |3000017378|Evoqua Water Technologies Ltd     |CS5025    |AU|4000126567|     17,928 | |        |26.01.2024|30.01.2024|Evoqua Water Technologies Ltd     |    17,928 |          |7411011000|      0 |
|E0381501 |26.01.2024|B100 Pest Control Assessments           |25618927  |          |Remy Consulting Engineers Ltd     |CS5025    |AU|4000126542|     20,350 |X|        |26.01.2024|          |Remy Consulting Engineers Ltd     |         0 |          |7411011000|      0 |
|E0381501 |26.01.2024|"S"- Kitting Area Spray Fireproofing Rep|25618928  |3000017329|H Sanderson & Son Construction Ltd|CS5025    |AU|4000119248|      4,508 | |        |30.01.2024|29.01.2024|H Sanderson & Son Construction Ltd|     4,508 |          |7411011000|      0 |
|E0381501 |26.01.2024|"S"-B100 Pest Control Assessments       |25618929  |3000017330|Remy Consulting Engineers Ltd     |CS5025    |AU|4000126542|     20,350 | |        |26.01.2024|29.01.2024|Remy Consulting Engineers Ltd     |    20,350 |          |7411011000|      0 |
|E0421182 |29.01.2024|MR-00006093, 3/8 LFNLF9, 0792095        |25744233  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000124028|          1 |X|        |29.01.2024|          |RS Integrated Supply Canada Corp  |         0 |          |7411002300|      0 |
|I0548244 |29.01.2024|MR-00006090, Lamps, 75867               |25744234  |3000017328|RS Integrated Supply Canada Corp  |MC2002    |EA|4000106234|          6 | |        |29.01.2024|29.01.2024|RS Integrated Supply Canada Corp  |         6 |          |7411002300|      0 |
|E0381501 |29.01.2024|S - B3 Exterior Door Repair 2024        |25744235  |3000017329|H Sanderson & Son Construction Ltd|CS5025    |AU|4000126478|      1,288 | |        |29.01.2024|29.01.2024|H Sanderson & Son Construction Ltd|     1,288 |          |7411011000|      0 |
|E0381501 |29.01.2024|S - B95 Door Closer Hub Rm Exterior Door|25744236  |3000017329|H Sanderson & Son Construction Ltd|CS5025    |AU|4000126500|      2,277 | |        |29.01.2024|29.01.2024|H Sanderson & Son Construction Ltd|     2,277 |          |7411011000|      0 |
|E0381501 |29.01.2024|S - B25 Exterior Door Damaged           |25744237  |3000017329|H Sanderson & Son Construction Ltd|CS5025    |AU|4000126505|  2,328.750 | |        |29.01.2024|29.01.2024|H Sanderson & Son Construction Ltd| 2,328.750 |          |7411011000|      0 |
|I0415474 |29.01.2024|2024 Site Wide Elevator PM Program      |25744238  |3000017331|Sodexo Canada Ltd                 |CS5025    |AU|4000126476| 25,991.100 | |        |29.01.2024|29.01.2024|Sodexo Canada Ltd                 |25,991.100 |          |7411011000|      0 |
|I0415474 |29.01.2024|2024 Elev. Certification Liscence Renewa|25744239  |3000017331|Sodexo Canada Ltd                 |CS5025    |AU|4000126477|      1,000 | |        |29.01.2024|29.01.2024|Sodexo Canada Ltd                 |     1,000 |          |7411011000|      0 |
|E0421182 |29.01.2024|MR-00006093, 3/8 LFNLF9, 0792095        |25744248  |3000017328|RS Integrated Supply Canada Corp  |MC2002    |EA|4000124028|          2 | |        |29.01.2024|29.01.2024|RS Integrated Supply Canada Corp  |         2 |          |7411002300|      0 |
|I0253031 |29.01.2024|1M Tasks                                |25744258  |          |Manych Mechanical Inc             |CS5025    |AU|4000103460|  1,041.750 | |        |01.02.2024|          |Manych Mechanical Inc             |         0 |          |7411011000|      0 |
|E0392475 |29.01.2024|"S" - Thunder - LAF Power Monitoring    |25744259  |3000017327|Thunder Electric Inc              |CS5025    |AU|4000125933|      2,034 | |        |30.01.2024|29.01.2024|Thunder Electric Inc              |     2,034 |          |7411011000|      0 |
|E0526853 |30.01.2024|S - Mechanical room 168 insulation      |25752884  |          |Catina Contracting                |CS5025    |AU|4000126935|      2,560 | |        |30.01.2024|          |Catina Contracting                |         0 |          |7411011000|      0 |
|E0526853 |30.01.2024|S - B89 PMP 1916 insulation required    |25752885  |          |Catina Contracting                |CS5025    |AU|4000126936|      1,150 | |        |30.01.2024|          |Catina Contracting                |         0 |          |7411011000|      0 |
|I0548244 |30.01.2024|S - B92 DOR1060 Fix sliding door        |25752887  |3000017375|Thunder Electric Inc              |CS5025    |AU|4000114244|        425 | |        |30.01.2024|30.01.2024|Thunder Electric Inc              |       425 |          |7411011000|      0 |
|I0548244 |30.01.2024|MR-00006097: Drain pan for refrigeration|25752888  |3000017377|RS Integrated Supply Canada Corp  |MC2002    |EA|4000077732|          1 | |        |30.01.2024|30.01.2024|RS Integrated Supply Canada Corp  |         1 |          |7411002300|      0 |
|I0381218 |30.01.2024|CSW12803826, WR XLPE ARMOURED CU CABLE  |25752889  |3000017376|Wajax Industrial Components       |MC2002    |EA|4000126974|         75 | |        |31.01.2024|30.01.2024|Wajax Industrial Components       |        75 |          |7411002300|      0 |
|I0381218 |30.01.2024|CSW12803826, IB 2.5 DEEP BOX MTL WRP ARN|25752890  |3000017376|Wajax Industrial Components       |MC2002    |EA|4000126974|         10 | |        |31.01.2024|30.01.2024|Wajax Industrial Components       |        10 |          |7411002300|      0 |
|I0381218 |30.01.2024|CSW12803826, Loomex/BX Connector 3/8    |25752891  |3000017376|Wajax Industrial Components       |MC2002    |EA|4000126974|         50 | |        |31.01.2024|30.01.2024|Wajax Industrial Components       |        50 |          |7411002300|      0 |
|I0381218 |30.01.2024|CSW12803826, IB DUPLEX BX CONN Zinc 3/8I|25752892  |3000017376|Wajax Industrial Components       |MC2002    |EA|4000126974|         50 | |        |31.01.2024|30.01.2024|Wajax Industrial Components       |        50 |          |7411002300|      0 |
|I0381218 |30.01.2024|CSW12803826, IB SW BOX 21/2X2X3 W       |25752893  |3000017376|Wajax Industrial Components       |MC2002    |EA|4000126974|          5 | |        |31.01.2024|30.01.2024|Wajax Industrial Components       |         5 |          |7411002300|      0 |
|I0381218 |30.01.2024|CSW12803826, IB SW BOX SUPPORT          |25752894  |3000017376|Wajax Industrial Components       |MC2002    |EA|4000126974|         20 | |        |31.01.2024|30.01.2024|Wajax Industrial Components       |        20 |          |7411002300|      0 |
|I0381218 |30.01.2024|"S" - Kitting Area Insulation Repairs   |25752896  |          |Catina Contracting                |CS5025    |AU|4000119248|        250 | |        |30.01.2024|          |Catina Contracting                |         0 |          |7411011000|      0 |
|E0381501 |30.01.2024|S - B92 R3321 wall protector sharp edges|25752897  |          |Paint Pro Surface Coating Inc     |CS5025    |AU|4000125572|    166.750 | |        |30.01.2024|          |Paint Pro Surface Coating Inc     |         0 |          |7411011000|      0 |
|E0381501 |30.01.2024|S - Mold in Walk in Fridge              |25752898  |          |Paint Pro Surface Coating Inc     |CS5025    |AU|4000125972|        782 | |        |30.01.2024|          |Paint Pro Surface Coating Inc     |         0 |          |7411011000|      0 |
|E0381501 |30.01.2024|S - Replace ceiling additional tiles    |25752899  |          |Paint Pro Surface Coating Inc     |CS5025    |AU|4000102490|        184 | |        |30.01.2024|          |Paint Pro Surface Coating Inc     |         0 |          |7411011000|      0 |
|E0526853 |30.01.2024|1Y Tasks                                |25752900  |          |Inox Industries Inc               |CS5025    |AU|4000103334|      1,550 | |        |31.01.2024|          |Inox Industries Inc               |         0 |          |7411011000|      0 |
|I0552673 |30.01.2024|MR-00006098, Evap. Fan Motor, P/N 108858|25752901  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000123832|          2 | |        |30.01.2024|          |RS Integrated Supply Canada Corp  |         0 |          |7411002300|      0 |
|U1025695 |30.01.2024|Replace Rusted door handle              |25752988  |          |                                  |MC2002    |H |4000104572|          2 |X|        |30.01.2024|          |                                  |         0 |          |7411002300|      0 |
|I0548244 |30.01.2024|MR 00006100- Door pull handle           |25752989  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000104572|          2 | |        |30.01.2024|          |RS Integrated Supply Canada Corp  |         0 |          |7411002300|      0 |
|I0415474 |31.01.2024|S - 2024 SitewideOrkinPestControlProgram|25783465  |          |Orkin Canada Corp                 |CS5025    |H |4000126310|134,749.150 |X|        |31.01.2024|          |Orkin Canada Corp                 |         0 |          |7411011000|      0 |
|E0421182 |31.01.2024|S - B93 STEAM HUMIDIFIER INSULATION     |25783466  |          |Catina Contracting                |CS5025    |AU|4000126972|      1,560 | |        |31.01.2024|          |Catina Contracting                |         0 |          |7411011000|      0 |
|I0415474 |31.01.2024|S - 2024 SitewideOrkinPestControlProgram|25783467  |          |Orkin Canada Corp                 |CS5025    |AU|4000126310|159,481.350 | |        |31.01.2024|          |Orkin Canada Corp                 |         0 |          |7411011000|      0 |
|E0421182 |31.01.2024|MR-00006099: A19 LED Bulbs, PLYC1432    |25783468  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000126933|        100 | |        |31.01.2024|          |RS Integrated Supply Canada Corp  |         0 |          |7411002300|      0 |
|U1029207 |31.01.2024|MR-00006096, Humidity Sensor, PN HW2XA2A|25783469  |          |                                  |MC2002    |EA|4000124833|          1 |X|        |31.01.2024|          |                                  |         0 |          |7411002300|      0 |
|U1029207 |31.01.2024|MR-00006096, Humidity Sensor, P/N HS2N  |25783470  |          |                                  |MC2002    |EA|4000124833|          1 |X|        |31.01.2024|          |                                  |         0 |          |7411002300|      0 |
