05.07.2024                                                                                          Dynamic List Display                                                                                                                                                   1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier           |Matl Group|Un|Order     |  Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                   |   Ordered|On        |G/L Acct  |Shortage|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|I0548244 |20.06.2024|S - Replace Diaphragm Valve on RO Skid  |28303886  |3000020940|Sprint Mechanical Inc              |CS5025    |AU|4000121254|    1,366 |X|        |20.06.2024|20.06.2024|Sprint Mechanical Inc              |    1,366 |          |7411011000|      0 |
|I0544747 |20.06.2024|S - B95-COT1030-GEARBOX                 |28303888  |3000020941|Ainsworth Inc                      |CS5025    |AU|4000145546|    3,996 | |        |22.06.2024|20.06.2024|Ainsworth Inc                      |    3,996 |          |7411011000|      0 |
|I0381218 |20.06.2024|"S" - Sprint - Materials & blowdown Vlv |28304042  |3000020940|Sprint Mechanical Inc              |CS5025    |AU|4000148626|    4,997 | |        |20.06.2024|20.06.2024|Sprint Mechanical Inc              |    4,997 |          |7411011000|      0 |
|I0538357 |20.06.2024|S - B83-BASEMENT 134 CHW LEAK           |28304050  |3000020943|Catina Contracting                 |CS5025    |AU|4000161032|      484 | |        |20.06.2024|20.06.2024|Catina Contracting                 |      484 |          |7411011000|      0 |
|I0538357 |20.06.2024|S-B83 RM348 Cover the Exposed Drain Pipe|28304055  |3000020943|Catina Contracting                 |CS5025    |AU|4000161299|      803 | |        |22.06.2024|20.06.2024|Catina Contracting                 |      803 |          |7411011000|      0 |
|I0548244 |20.06.2024|MR-00006380, Cordset Female, U2445-1    |28304061  |          |RS Integrated Supply Canada Corp   |MC2002    |EA|4000137680|        4 | |        |28.06.2024|          |RS Integrated Supply Canada Corp   |        0 |          |7411002300|      0 |
|I0548244 |20.06.2024|MR-00006380, Encloser w/ Panel, EJ866SS |28304062  |          |RS Integrated Supply Canada Corp   |MC2002    |EA|4000137680|        4 | |        |28.06.2024|          |RS Integrated Supply Canada Corp   |        0 |          |7411002300|      0 |
|I0548244 |20.06.2024|MR-00006380, Connector Female, A18C300  |28304063  |          |RS Integrated Supply Canada Corp   |MC2002    |EA|4000137680|        4 | |        |28.06.2024|          |RS Integrated Supply Canada Corp   |        0 |          |7411002300|      0 |
|I0548244 |20.06.2024|MR-00006380, LED Ballast, 913700507331  |28304064  |          |RS Integrated Supply Canada Corp   |MC2002    |EA|4000137680|        4 | |        |28.06.2024|          |RS Integrated Supply Canada Corp   |        0 |          |7411002300|      0 |
|I0548244 |20.06.2024|MR-00006386, Pump/Motor Assembly, CEP93 |28304070  |3000020959|RS Integrated Supply Canada Corp   |MC2002    |EA|4000161035|        1 | |        |28.06.2024|21.06.2024|RS Integrated Supply Canada Corp   |        1 |          |7411002300|      0 |
|I0381218 |20.06.2024|"S" - Emergency Various SS Fittings     |28304098  |3000020940|Sprint Mechanical Inc              |CS5025    |AU|4000159136|      496 | |        |20.06.2024|20.06.2024|Sprint Mechanical Inc              |      496 |          |7411011000|      0 |
|E0392475 |20.06.2024|S2024-0619, Tricanada, 3/4" Valve       |28304110  |          |Tri Canada Industries Ltd          |MC2002    |EA|4000158925|        1 |X|        |20.06.2024|          |Tri Canada Industries Ltd          |        0 |          |7411002300|      0 |
|I0381218 |21.06.2024|"S" - Guild - Rental Load Bank          |28308669  |          |Guild Electric                     |CS5025    |AU|4000161512|   15,200 |X|        |06.08.2024|          |Guild Electric                     |        0 |          |7411011000|      0 |
|I0219988 |21.06.2024|MR-00006390: Round belt, 10mm dia       |28308682  |          |RS Integrated Supply Canada Corp   |MC2002    |FT|4000138327|      258 | |        |21.06.2024|          |RS Integrated Supply Canada Corp   |        0 |          |7411002300|      0 |
|I0219988 |21.06.2024|MR-00006390: Round belt, 3/8 in dia     |28308683  |          |RS Integrated Supply Canada Corp   |MC2002    |FT|4000138327|       63 | |        |21.06.2024|          |RS Integrated Supply Canada Corp   |        0 |          |7411002300|      0 |
|I0552673 |21.06.2024|MR-00006337, Transformer, PN 9070EO1D1  |28308703  |          |RS Integrated Supply Canada Corp   |MC2002    |EA|4000144882|        1 |X|        |21.06.2024|          |RS Integrated Supply Canada Corp   |        0 |          |7411002300|      0 |
|I0538357 |21.06.2024|MR-00006337, Transformer, PN 9070EO1D1  |28308881  |3000020959|RS Integrated Supply Canada Corp   |MC2002    |EA|4000144882|        1 | |        |28.06.2024|21.06.2024|RS Integrated Supply Canada Corp   |        1 |          |7411002300|      0 |
|I0253031 |21.06.2024|S - B90 PWS1013 Leaking Valve DIS-V-325 |28308894  |3000020968|Analysts Of Pneumatic Systems      |CS5025    |AU|4000160731|    1,608 | |        |21.06.2024|24.06.2024|Analysts Of Pneumatic Systems      |    1,608 |          |7411011000|      0 |
|E0526853 |21.06.2024|MR-00006389: Electrical Tape            |28308896  |3000020995|RS Integrated Supply Canada Corp   |MC2002    |EA|4000159977|        3 | |        |21.06.2024|25.06.2024|RS Integrated Supply Canada Corp   |        3 |          |7411002300|      0 |
