15.07.2024                                                                                          Dynamic List Display                                                                                                                                                   1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier          |Matl Group|Un|Order     |    Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  |   Ordered|On        |G/L Acct  |Shortage|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|E0381501 |08.07.2024|S - Floor chip in room 175              |28428808  |3000021121|Preferred Polymer Coatings Ltd    |CS5025    |AU|4000162102|  3,727.500 | |        |08.07.2024|08.07.2024|Preferred Polymer Coatings Ltd    |3,727.500 |          |7411011000|      0 |
|I0381218 |08.07.2024|"S" - Guild - Rental Load Bank          |28428931  |          |Guild Electric                    |CS5025    |AU|4000161512|     15,200 | |        |06.08.2024|          |Guild Electric                    |        0 |          |7411011000|      0 |
|E0392475 |08.07.2024|"S" - "S/D" - STS Screens Passivation   |28428941  |          |Superior Testing Services Inc     |CS5025    |AU|4000162501|     32,000 | |        |03.08.2024|          |Superior Testing Services Inc     |        0 |          |7411011000|      0 |
|E0381501 |08.07.2024|S- B90 Light Fixtures                   |28428977  |          |Paint Pro Surface Coating Inc     |CS5025    |AU|4000152614|    701.730 |X|        |08.07.2024|          |Paint Pro Surface Coating Inc     |        0 |          |7411011000|      0 |
|I0538357 |08.07.2024|MR-00006458, Transformer, PN 9070T50D37 |28428988  |3000021118|RS Integrated Supply Canada Corp  |MC2002    |EA|4000144882|          1 | |        |08.07.2024|08.07.2024|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|E0381501 |08.07.2024|S - B90 Media Leak. Qte- 2012           |28428989  |          |Paint Pro Surface Coating Inc     |CS5025    |AU|4000160042|  5,912.730 |X|        |08.07.2024|          |Paint Pro Surface Coating Inc     |        0 |          |7411011000|      0 |
|E0381501 |08.07.2024|S- B90 Light Fixtures                   |28429006  |3000021175|Paint Pro Surface Coating Inc     |CS5025    |AU|4000152614|        621 | |        |08.07.2024|09.07.2024|Paint Pro Surface Coating Inc     |      621 |          |7411011000|      0 |
|E0381501 |08.07.2024|S - B90 Media Leak. Qte- 2012           |28429013  |3000021175|Paint Pro Surface Coating Inc     |CS5025    |AU|4000160042|  5,232.500 | |        |08.07.2024|09.07.2024|Paint Pro Surface Coating Inc     |5,232.500 |          |7411011000|      0 |
|I0253031 |08.07.2024|S - B90Dip-AUT1161 Broken Wheel on Dolly|28429065  |3000021120|Inox Industries Inc               |CS5025    |AU|4000163237|      1,165 | |        |08.07.2024|08.07.2024|Inox Industries Inc               |    1,165 |          |7411011000|      0 |
|E0526853 |08.07.2024|S -Replace wheel on EM cart and weld DSP|28429073  |3000021173|Atlantic Stainless Fabricators Ltd|CS5025    |AU|4000166019|        679 |X|        |13.07.2024|09.07.2024|Atlantic Stainless Fabricators Ltd|      679 |          |7411011000|      0 |
|I0253031 |08.07.2024|MR-00006426: Circuit breaker 30A        |28429079  |3000021257|RS Integrated Supply Canada Corp  |MC2002    |EA|4000161537|          1 | |        |08.07.2024|11.07.2024|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|I0253031 |08.07.2024|MR-00006426: HBL2720 TWISTLOCK          |28429080  |3000021257|RS Integrated Supply Canada Corp  |MC2002    |EA|4000161537|          1 | |        |08.07.2024|11.07.2024|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|I0548244 |09.07.2024|S - B53 Fire Alarm/Trouble Investigation|28434439  |3000021171|Guild Electric                    |CS5025    |AU|4000166549|        770 | |        |09.07.2024|09.07.2024|Guild Electric                    |      770 |          |7411011000|      0 |
|I0544747 |09.07.2024|B00 GENERATOR BATTERY REPLACEMENT       |28434471  |          |Toromont Industries Ltd           |CS5025    |AU|4000166803| 15,285.600 | |        |09.07.2024|          |Toromont Industries Ltd           |        0 |          |7411011000|      0 |
|I0415474 |09.07.2024|S - 2024 SitewideOrkinPestControlProgram|28434480  |          |Orkin Canada Corp                 |CS5025    |AU|4000126310|149,736.200 | |        |09.07.2024|          |Orkin Canada Corp                 |        0 |          |7411011000|      0 |
|I0381218 |09.07.2024|"S" - Guild - Arc Flash Assessment      |28434525  |3000021171|Guild Electric                    |CS5025    |AU|4000166828|      6,130 | |        |09.07.2024|09.07.2024|Guild Electric                    |    6,130 |          |7411011000|      0 |
|E0421182 |09.07.2024|"S" - Sanderson - East Gate Booth Repair|28434576  |3000021224|H Sanderson & Son Construction Ltd|CS5025    |AU|4000166848|  1,822.750 | |        |09.07.2024|10.07.2024|H Sanderson & Son Construction Ltd|1,822.750 |          |7411011000|      0 |
|I0381218 |09.07.2024|MR-00006461, 106619, 1-1/4" Brz Gate    |28434585  |3000021172|RS Integrated Supply Canada Corp  |MC2002    |EA|4000163744|          2 | |        |02.08.2024|09.07.2024|RS Integrated Supply Canada Corp  |        2 |          |7411002300|      0 |
|I0381218 |09.07.2024|MR-00006461, 106620, 2" Brz gate        |28434587  |3000021172|RS Integrated Supply Canada Corp  |MC2002    |EA|4000163744|          2 | |        |02.08.2024|09.07.2024|RS Integrated Supply Canada Corp  |        2 |          |7411002300|      0 |
|I0381218 |09.07.2024|MR-00006461, 106621, 2" Blk MI Union    |28434590  |3000021172|RS Integrated Supply Canada Corp  |MC2002    |EA|4000163744|          2 | |        |02.08.2024|09.07.2024|RS Integrated Supply Canada Corp  |        2 |          |7411002300|      0 |
|E0526853 |09.07.2024|MR-00006451: Regulator Air              |28434682  |3000021172|RS Integrated Supply Canada Corp  |MC2002    |EA|4000162958|          1 | |        |19.07.2024|09.07.2024|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|E0421182 |09.07.2024|B4 Security Bldg- west gate operator    |28434685  |3000021222|Thunder Electric Inc              |CS5025    |AU|4000161996|    502.850 | |        |09.07.2024|10.07.2024|Thunder Electric Inc              |  502.850 |          |7411011000|      0 |
|         |09.07.2024|1300354540, 9615469901, Rod Handle Kit  |28434710  |          |Wajax Industrial Components       |MC2002    |EA|4000163329|          1 |X|        |10.07.2024|          |Wajax Industrial Components       |        0 |          |7411002300|      0 |
|E0421182 |09.07.2024|1300354540, 9615470101, Rod Kit 700mm   |28434715  |          |Wajax Industrial Components       |MC2002    |EA|4000163329|          2 |X|        |10.07.2024|          |Wajax Industrial Components       |        0 |          |7411002300|      0 |
