23.07.2024                                                                                         Dynamic List Display                                                                                                                                                  1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier          |Matl Group|Un|Order     |  Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  |   Ordered|On        |G/L Acct  |Shortage|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|I0544747 |19.07.2024|MR-00006487- 3/4 ELBOW 90D COPPER       |28500281  |3000021418|RS Integrated Supply Canada Corp  |MC2002    |EA|4000167123|        6 | |        |26.07.2024|22.07.2024|RS Integrated Supply Canada Corp  |        6 |          |7411002300|      0 |
|I0544747 |19.07.2024|MR-00006487-3/4 TEE COPPER PRESSURE CRN |28500282  |3000021418|RS Integrated Supply Canada Corp  |MC2002    |EA|4000167123|        3 | |        |26.07.2024|22.07.2024|RS Integrated Supply Canada Corp  |        3 |          |7411002300|      0 |
|I0544747 |19.07.2024|MR-00006487-3/4 COP PRESS COUP CXC      |28500283  |3000021418|RS Integrated Supply Canada Corp  |MC2002    |EA|4000167123|        2 | |        |26.07.2024|22.07.2024|RS Integrated Supply Canada Corp  |        2 |          |7411002300|      0 |
|I0544747 |19.07.2024|MR-00006487-3/4CX3/4 FPT ADAPTER WROT   |28500284  |3000021418|RS Integrated Supply Canada Corp  |MC2002    |EA|4000167123|        2 | |        |26.07.2024|22.07.2024|RS Integrated Supply Canada Corp  |        2 |          |7411002300|      0 |
|I0544747 |19.07.2024|MR-00006487-3/4 BALL VALVE;CRN          |28500286  |3000021418|RS Integrated Supply Canada Corp  |MC2002    |EA|4000167123|        3 | |        |26.07.2024|22.07.2024|RS Integrated Supply Canada Corp  |        3 |          |7411002300|      0 |
|I0544747 |19.07.2024|MR-00006487- 3/4 MIP X MALE HOSE ADAP 19|28500288  |3000021418|RS Integrated Supply Canada Corp  |MC2002    |EA|4000167123|        2 | |        |26.07.2024|22.07.2024|RS Integrated Supply Canada Corp  |        2 |          |7411002300|      0 |
|I0544747 |19.07.2024|MR-00006487- 3/4 VAN BELL HANGER 606    |28500290  |3000021418|RS Integrated Supply Canada Corp  |MC2002    |EA|4000167123|       25 | |        |26.07.2024|22.07.2024|RS Integrated Supply Canada Corp  |       25 |          |7411002300|      0 |
|I0381218 |19.07.2024|"C" - B100 "S/D" Steel Gasket Changes CP|28500298  |          |Sprint Mechanical Inc             |CS5025    |AU|4000146798|        1 |X|        |18.10.2024|          |Sprint Mechanical Inc             |        0 |          |7411011000|      0 |
|I0381218 |19.07.2024|"C" - B100 Plumber Support for Shutdown |28500303  |          |Sprint Mechanical Inc             |CS5025    |AU|4000146797|        1 |X|        |18.10.2024|          |Sprint Mechanical Inc             |        0 |          |7411011000|      0 |
|E0421182 |19.07.2024|"S"- B16 Dormer Windows East Elevation, |28500313  |          |Provincial Industrial Roofing And |CS5025    |AU|4000168269|    6,629 | |        |19.07.2024|          |Provincial Industrial Roofing And |        0 |          |7411011000|      0 |
|E0526853 |22.07.2024|S - STI1022 Pipe Insulation             |28524809  |          |Catina Contracting                |CS5025    |AU|4000165910|      638 | |        |22.07.2024|          |Catina Contracting                |        0 |          |7411011000|      0 |
|E0526853 |22.07.2024|S - Cans to be assessed, Inox           |28524815  |          |Inox Industries Inc               |CS5025    |AU|4000169190|5,212.500 | |        |22.07.2024|          |Inox Industries Inc               |        0 |          |7411011000|      0 |
|E0526853 |22.07.2024|S - Hoist rod bent on HST1036           |28524821  |          |Rightway Crane &                  |CS5025    |AU|4000167099|2,607.500 | |        |22.07.2024|          |Rightway Crane &                  |        0 |          |7411011000|      0 |
