05.06.2024                                                                                         Dynamic List Display                                                                                                                                                  1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier          |Matl Group|Un|Order     |  Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  |   Ordered|On        |G/L Acct  |Shortage|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|E0381501 |03.06.2024|S - Painting/Caulking in B90 Media      |28197127  |3000020753|Preferred Polymer Coatings Ltd    |CS5025    |AU|4000152614|4,108.550 | |        |03.06.2024|03.06.2024|Preferred Polymer Coatings Ltd    |4,108.550 |          |7411011000|      0 |
|E0381501 |03.06.2024|S - B90 DTPPD R217 Cracks: Wall Deform  |28197130  |3000020764|H Sanderson & Son Construction Ltd|CS5025    |AU|4000134737|2,564.500 | |        |03.06.2024|04.06.2024|H Sanderson & Son Construction Ltd|2,564.500 |          |7411011000|      0 |
|I0253031 |03.06.2024|S - PHN1009 Replacing pump and acid line|28197131  |3000020762|Sprint Mechanical Inc             |CS5025    |AU|4000121339|   11,075 | |        |03.06.2024|04.06.2024|Sprint Mechanical Inc             |   11,075 |          |7411011000|      0 |
|I0548244 |03.06.2024|MR-00006339, End Caps, P/N 1295         |28197134  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000142829|        8 | |        |14.06.2024|          |RS Integrated Supply Canada Corp  |        0 |          |7411002300|      0 |
|I0552673 |03.06.2024|MR-00006341, Motor 1/4HP, PN 48S17D2055 |28197138  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000059952|        1 | |        |14.06.2024|          |RS Integrated Supply Canada Corp  |        0 |          |7411002300|      0 |
|I0381218 |03.06.2024|I00- Chemical treatment for 1608 totes  |28197140  |          |Bio Clean Services Inc            |CS5025    |AU|4000152799|    1,950 | |        |03.06.2024|          |Bio Clean Services Inc            |        0 |          |7411011000|      0 |
|I0381218 |03.06.2024|6" Check-All Flanged Insert Check Valve |28197142  |3000020761|Wajax Industrial Components       |MC2002    |EA|4000146641|        2 | |        |03.06.2024|04.06.2024|Wajax Industrial Components       |        2 |          |7411002300|      0 |
|I0548244 |04.06.2024|MR-00006343, Pressure Switch, SB20D     |28202246  |3000020769|RS Integrated Supply Canada Corp  |MC2002    |EA|4000141672|        1 | |        |21.06.2024|05.06.2024|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|I0548244 |04.06.2024|MR-00006343, Pressure Transducer,TE20A11|28202247  |3000020769|RS Integrated Supply Canada Corp  |MC2002    |EA|4000141672|        1 | |        |21.06.2024|05.06.2024|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|E0381501 |04.06.2024|S - Rm 181 storage option 2 ceiling     |28202257  |3000020766|H Sanderson & Son Construction Ltd|CS5025    |AU|4000144773|5,801.750 | |        |04.06.2024|05.06.2024|H Sanderson & Son Construction Ltd|5,801.750 |          |7411011000|      0 |
|I0253031 |04.06.2024|S - B90 Chilled Water Line Insulation   |28202259  |          |Catina Contracting                |CS5025    |AU|4000155821|      820 | |        |04.06.2024|          |Catina Contracting                |        0 |          |7411011000|      0 |
|I0548244 |04.06.2024|MR-00006333, E-Stop Push Button,PL-P2M-G|28202264  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000143441|        1 | |        |04.06.2024|          |RS Integrated Supply Canada Corp  |        0 |          |7411002300|      0 |
|E0381501 |05.06.2024|S - B90 Wall Cracked from Hoist Leg     |28207488  |          |Preferred Polymer Coatings Ltd    |CS5025    |AU|4000156637|    1,219 | |        |05.06.2024|          |Preferred Polymer Coatings Ltd    |        0 |          |7411011000|      0 |
|E0381501 |05.06.2024|S - B90 DIP Rm248 - Ceiling Repair      |28207489  |          |Preferred Polymer Coatings Ltd    |CS5025    |AU|4000156638|    1,472 | |        |05.06.2024|          |Preferred Polymer Coatings Ltd    |        0 |          |7411011000|      0 |
|E0526853 |05.06.2024|S - PWS1023 Ozone Generator Inspection  |28207491  |3000020768|Bwt Pharma & Biotech Inc          |CS5025    |AU|4000156702|    2,707 | |        |05.06.2024|05.06.2024|Bwt Pharma & Biotech Inc          |    2,707 |          |7411011000|      0 |
|I0548244 |05.06.2024|CW-2024-0 31-bypass, PLC, ACI99M00037   |28207498  |3000020777|Ainsworth Inc                     |MC2002    |EA|4000143064|        2 | |        |14.06.2024|05.06.2024|Ainsworth Inc                     |        2 |          |7411002300|      0 |
|I0544747 |05.06.2024|MR-00006348 - Damper Actuator, 4 Stroke |28207499  |3000020776|RS Integrated Supply Canada Corp  |MC2002    |EA|4000142600|        1 | |        |07.06.2024|05.06.2024|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
