19.06.2024                                                                                        Dynamic List Display                                                                                                                                                 1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier          |Matl Group|Un|Order     |  Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  | Ordered|On        |G/L Acct  |Shortage|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|I0538357 |12.06.2024|MR-00006289: REPACK KIT, V5011N,        |28254592  |3000020865|RS Integrated Supply Canada Corp  |MC2002    |EA|4000143396|        2 | |        |21.06.2024|13.06.2024|RS Integrated Supply Canada Corp  |      2 |          |7411002300|      0 |
|I0548244 |13.06.2024|S - B92 MR 2500 Damaged Lock            |28259269  |3000020864|Thunder Electric Inc              |CS5025    |AU|4000159530|      680 | |        |22.06.2024|13.06.2024|Thunder Electric Inc              |    680 |          |7411011000|      0 |
|I0548244 |13.06.2024|S - B83 - Dock 9 - Cable Came Off       |28259275  |3000020864|Thunder Electric Inc              |CS5025    |AU|4000158250|      795 | |        |22.06.2024|13.06.2024|Thunder Electric Inc              |    795 |          |7411011000|      0 |
|I0548244 |13.06.2024|S - B83 - Dock 10 - Door not Running    |28259276  |3000020864|Thunder Electric Inc              |CS5025    |AU|4000158250|    1,752 | |        |22.06.2024|13.06.2024|Thunder Electric Inc              |  1,752 |          |7411011000|      0 |
|I0381218 |13.06.2024|"C" - "S/D" Steel Gasket Changes CP     |28259784  |          |Sprint Mechanical Inc             |CS5025    |AU|4000146798|   26,869 | |        |01.07.2024|          |Sprint Mechanical Inc             |      0 |          |7411011000|      0 |
|I0381218 |13.06.2024|"C" - Plumber Support for B100 Shutdown |28259786  |          |Sprint Mechanical Inc             |CS5025    |AU|4000146797|  102,966 | |        |28.07.2024|          |Sprint Mechanical Inc             |      0 |          |7411011000|      0 |
|E0392475 |13.06.2024|"S" - Carmichael - Centrifuge PMs       |28259828  |3000020878|Carmichael Engineering Ltd        |CS5025    |AU|4000159723|    2,865 | |        |15.06.2024|14.06.2024|Carmichael Engineering Ltd        |  2,865 |          |7411011000|      0 |
|I0548244 |14.06.2024|1-1OW9SFS1, AMOT Valve, Materials       |28265589  |3000020875|Johnson Controls Inc              |MC2002    |EA|4000142825|        1 | |        |21.06.2024|14.06.2024|Johnson Controls Inc              |      1 |          |7411002300|      0 |
|I0548244 |14.06.2024|S - CHI1027 Replace Leaking AMOT Valve  |28265591  |3000020875|Johnson Controls Inc              |CS5025    |AU|4000142825|  994.060 | |        |22.06.2024|14.06.2024|Johnson Controls Inc              |994.060 |          |7411011000|      0 |
|I0168549 |14.06.2024|S - Rusted Diffuser Screens             |28265592  |          |Superior Testing Services Inc     |CS5025    |AU|4000158257|    2,400 | |        |14.06.2024|          |Superior Testing Services Inc     |      0 |          |7411011000|      0 |
|I0538357 |14.06.2024|7246PS-R1(R): Capacity decals & batterys|28265599  |3000020877|Rightway Crane &                  |MC2002    |EA|4000129908|        1 | |        |21.06.2024|14.06.2024|Rightway Crane &                  |      1 |          |7411002300|      0 |
|I0538357 |14.06.2024|S - B83 MR 169 Repair Insulations       |28265602  |3000020879|Catina Contracting                |CS5025    |AU|4000159818|    4,873 | |        |22.06.2024|14.06.2024|Catina Contracting                |  4,873 |          |7411011000|      0 |
|I0381218 |14.06.2024|I00 Rebuild Condenser Supply Pump 2     |28265608  |          |Ainsworth Inc                     |CS5025    |AU|4000142053|   13,500 |X|        |14.06.2024|          |Ainsworth Inc                     |      0 |          |7411011000|      0 |
|I0538357 |14.06.2024|MR-00006293,Samplex Inverter,PST-1000-24|28265609  |3000020876|RS Integrated Supply Canada Corp  |MC2002    |EA|4000143006|        1 | |        |14.06.2024|14.06.2024|RS Integrated Supply Canada Corp  |      1 |          |7411002300|      0 |
