09.11.2023                                                                                         Dynamic List Display                                                                                                                                                  1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier          |Matl Group|Un|Order     |  Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  |   Ordered|On        |G/L Acct  |Shortage|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|I0253031 |01.11.2023|ASR                                     |22508248  |          |Walterfedy                        |CS5025    |AU|4000101137|      950 |X|        |01.11.2023|          |Walterfedy                        |        0 |          |7411011000|      0 |
|I0253031 |01.11.2023|ASR                                     |22508249  |3000014252|Walterfedy                        |CS5025    |AU|4000101137|      950 | |        |01.11.2023|01.11.2023|Walterfedy                        |      950 |          |7411011000|      0 |
|E0526853 |01.11.2023|INOX tank repair                        |22553624  |3000014255|Inox Industries Inc               |CS5025    |AU|4000108324|    3,225 |X|        |01.11.2023|01.11.2023|Inox Industries Inc               |    3,225 |          |7411011000|      0 |
|E0381501 |02.11.2023|Mezzanine Floor Paint                   |22554583  |3000014519|H Sanderson & Son Construction Ltd|CS5025    |AU|4000111577|  181.930 | |        |02.11.2023|07.11.2023|H Sanderson & Son Construction Ltd|  181.930 |          |7411011000|      0 |
|I0538357 |02.11.2023|B83 R355A WIR0151 evap. insulation fix  |22559764  |3000014327|Catina Contracting                |CS5025    |AU|4000110902|      870 | |        |02.11.2023|02.11.2023|Catina Contracting                |      870 |          |7411011000|      0 |
|I0253031 |02.11.2023|1Y Tasks                                |22614687  |3000014326|Beckman Coulter Canada Lp         |CS5025    |AU|4000097356|3,871.300 | |        |01.12.2023|02.11.2023|Beckman Coulter Canada Lp         |        0 |          |7411011000|      0 |
|I0253031 |02.11.2023|Inox collection cup order               |22614688  |3000014328|Inox Industries Inc               |CS5025    |H |4000068527|    1,500 |X|        |01.12.2023|02.11.2023|Inox Industries Inc               |    1,500 |          |7411011000|      0 |
|I0538357 |02.11.2023|MR-00005942: BI-PIN T5HO 36 INCH 841K 39|22614706  |3000014325|RS Integrated Supply Canada Corp  |MC2002    |EA|4000095528|       10 | |        |02.11.2023|02.11.2023|RS Integrated Supply Canada Corp  |       10 |          |7411002300|      0 |
|E0526853 |02.11.2023|Rectangular Ring on sightglass          |22614708  |3000014508|Alfa Laval Inc                    |CS5025    |AU|4000110346|    2,001 | |        |03.11.2023|07.11.2023|Alfa Laval Inc                    |    2,001 |          |7411011000|      0 |
|I0538357 |03.11.2023|MR-00005946: C-163-S Drier Filter       |22635308  |3000014391|RS Integrated Supply Canada Corp  |MC2002    |EA|4000110902|        1 | |        |03.11.2023|03.11.2023|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|I0538357 |03.11.2023|MR-00005944: STRUT POST BASE,SQUARE,6 L |22635309  |3000014391|RS Integrated Supply Canada Corp  |MC2002    |EA|4000107758|        2 | |        |03.11.2023|03.11.2023|RS Integrated Supply Canada Corp  |        2 |          |7411002300|      0 |
|I0253031 |03.11.2023|MR-00005945: Flowmeter                  |22675966  |3000014459|RS Integrated Supply Canada Corp  |MC2002    |EA|4000111947|        1 | |        |03.11.2023|06.11.2023|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|I0253031 |03.11.2023| MR-00005949:CUST. PART#: 386668        |22675967  |3000014391|RS Integrated Supply Canada Corp  |CS5025    |EA|4000113403|        1 | |        |03.11.2023|03.11.2023|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|E0526853 |05.11.2023|2Y Tasks                                |22719258  |3000014460|Bio Clean Services Inc            |CS5025    |AU|4000097868|    7,700 | |        |01.12.2023|06.11.2023|Bio Clean Services Inc            |    7,700 |          |7411011000|      0 |
|E0526853 |06.11.2023|MR-00005941; Vibration Switch; 311492   |22776457  |3000014556|RS Integrated Supply Canada Corp  |MC2002    |EA|4000112158|        1 | |        |06.11.2023|08.11.2023|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|E0381501 |06.11.2023|Painting and Touch ups in MWS           |22776458  |3000014461|Paint Pro Surface Coating Inc     |CS5025    |AU|4000111948|    1,173 | |        |06.11.2023|06.11.2023|Paint Pro Surface Coating Inc     |    1,173 |          |7411011000|      0 |
|I0405971 |06.11.2023|REPAIR MET ONE MODEL 3425 APC 1366      |22776517  |3000014520|Viro Mart Ltd                     |CS5025    |AU|4000114164|      620 | |        |06.11.2023|07.11.2023|Viro Mart Ltd                     |      620 |          |7411011000|      0 |
|E0381501 |06.11.2023|Repair damaged wall: woman's Washroom   |22839909  |3000014461|Paint Pro Surface Coating Inc     |CS5025    |AU|4000112153|      195 | |        |06.11.2023|06.11.2023|Paint Pro Surface Coating Inc     |      195 |          |7411011000|      0 |
|E0526853 |06.11.2023|Passivation of TNK1365                  |22839910  |3000014557|Bio Clean Services Inc            |CS5025    |AU|4000114101|   11,150 | |        |06.11.2023|08.11.2023|Bio Clean Services Inc            |   11,150 |          |7411011000|      0 |
|E0526853 |06.11.2023|MR-00005936; Gearbox Repair             |22839911  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000107861|        2 |X|        |09.11.2023|          |RS Integrated Supply Canada Corp  |        0 |          |7411002300|      0 |
|E0381501 |07.11.2023|MWS Painting and Touch ups              |22842407  |3000014521|Paint Pro Surface Coating Inc     |CS5025    |AU|4000111949|1,483.500 | |        |07.11.2023|07.11.2023|Paint Pro Surface Coating Inc     |1,483.500 |          |7411011000|      0 |
|I0253031 |07.11.2023|1Y Tasks                                |22842408  |3000014518|Rightway Crane &                  |CS5025    |AU|4000097958|    1,104 | |        |01.12.2023|07.11.2023|Rightway Crane &                  |    1,104 |          |7411011000|      0 |
|E0468149 |07.11.2023|CSW12467015, Bray, SERVO NXT KIT, 120VAC|22842409  |3000014515|Wajax Industrial Components       |MC2002    |EA|4000111580|        1 | |        |07.11.2023|07.11.2023|Wajax Industrial Components       |        1 |          |7411002300|      0 |
|E0381501 |07.11.2023|Investigate the leak on pipe            |22842486  |3000014521|Paint Pro Surface Coating Inc     |CS5025    |AU|4000090285|  333.500 | |        |07.11.2023|07.11.2023|Paint Pro Surface Coating Inc     |  333.500 |          |7411011000|      0 |
|E0381501 |07.11.2023|Caulking needed along the walls         |22842487  |3000014521|Paint Pro Surface Coating Inc     |CS5025    |AU|4000114327|      552 | |        |07.11.2023|07.11.2023|Paint Pro Surface Coating Inc     |      552 |          |7411011000|      0 |
|E0465459 |07.11.2023|B93 L2 Rm 241 Caulking repair on ceiling|22842505  |3000014521|Paint Pro Surface Coating Inc     |CS5025    |AU|4000105608|  333.500 | |        |07.11.2023|07.11.2023|Paint Pro Surface Coating Inc     |  333.500 |          |7411011000|      0 |
|E0465459 |07.11.2023|Parking Area - Behind Security Building |22842506  |3000014514|Mazza Landscaping Enterprises Inc |CS5025    |AU|4000112298|    4,680 | |        |07.11.2023|07.11.2023|Mazza Landscaping Enterprises Inc |    4,680 |          |7411011000|      0 |
|E0465459 |07.11.2023|1Y Tasks                                |22842507  |3000014560|Sp Industries Inc                 |CS5025    |AU|4000103349|   20,722 | |        |07.01.2024|08.11.2023|Sp Industries Inc                 |   20,722 |          |7411011000|      0 |
