22.11.2023                                                                                         Dynamic List Display                                                                                                                                                   1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier          |Matl Group|Un|Order     |   Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  |   Ordered|On        |G/L Acct  |Shortage|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|I0253031 |09.11.2023|MR-00005973: LED T8                     |23021933  |3000014594|RS Integrated Supply Canada Corp  |MC2002    |EA|4000106843|       750 | |        |09.11.2023|09.11.2023|RS Integrated Supply Canada Corp  |      750 |          |7411002300|      0 |
|E0381501 |09.11.2023|TR100 Electrical Locates                |23021936  |3000014636|Mazza Landscaping Enterprises Inc |CS5025    |AU|4000114791|     1,200 | |        |09.11.2023|10.11.2023|Mazza Landscaping Enterprises Inc |    1,200 |          |7411011000|      0 |
|E0465459 |09.11.2023|MR-00005965,CR/CF Aluminum Series, CF200|23021937  |3000014600|RS Integrated Supply Canada Corp  |MC2002    |EA|4000114300|         1 | |        |09.11.2023|09.11.2023|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|E0465459 |09.11.2023|MR-00005966, Heat Detector, CR135       |23021938  |3000014600|RS Integrated Supply Canada Corp  |MC2002    |EA|4000114301|         7 | |        |09.11.2023|09.11.2023|RS Integrated Supply Canada Corp  |        7 |          |7411002300|      0 |
|E0465459 |09.11.2023|MR-00005964,Ceiling Speakers, GCHFWN-S7 |23022187  |3000014600|RS Integrated Supply Canada Corp  |MC2002    |EA|4000114302|         1 | |        |09.11.2023|09.11.2023|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|E0465459 |09.11.2023|MR-00005967,Heat Detector, CR135        |23022188  |3000014600|RS Integrated Supply Canada Corp  |MC2002    |EA|4000114303|        14 | |        |09.11.2023|09.11.2023|RS Integrated Supply Canada Corp  |       14 |          |7411002300|      0 |
|E0465459 |09.11.2023|MR-00005970, DRY, TPS3L1115D2           |23022189  |3000014600|RS Integrated Supply Canada Corp  |MC2002    |EA|4000100981|         1 | |        |09.11.2023|09.11.2023|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|E0465459 |09.11.2023|MR-00005974,Overload Relay,6261001244   |23022190  |3000014600|RS Integrated Supply Canada Corp  |MC2002    |EA|4000109631|         2 | |        |09.11.2023|09.11.2023|RS Integrated Supply Canada Corp  |        2 |          |7411002300|      0 |
|E0465459 |09.11.2023|MR-00005974,CAPACITOR,6261200296        |23022191  |3000014600|RS Integrated Supply Canada Corp  |MC2002    |EA|4000109631|         2 | |        |09.11.2023|09.11.2023|RS Integrated Supply Canada Corp  |        2 |          |7411002300|      0 |
|E0465459 |09.11.2023|MR-00005974,RELAY,6241889299            |23022192  |3000014600|RS Integrated Supply Canada Corp  |MC2002    |EA|4000109631|         1 | |        |09.11.2023|09.11.2023|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|E0465459 |09.11.2023|Steris Support                          |23022193  |3000014598|Steris Canada Inc                 |CS5025    |AU|4000092428| 1,292.640 |X|        |09.11.2023|09.11.2023|Steris Canada Inc                 |1,292.640 |          |7411011000|      0 |
|E0381501 |10.11.2023|TR16 Regrade Parking Lot                |23022194  |3000014668|Mazza Landscaping Enterprises Inc |CS5025    |AU|4000114857|     4,790 | |        |17.11.2023|13.11.2023|Mazza Landscaping Enterprises Inc |    4,790 |          |7411011000|      0 |
|E0465459 |10.11.2023|MR-00005962,MOTOR,LC1D25G7              |23022195  |3000014639|RS Integrated Supply Canada Corp  |MC2002    |EA|4000091260|         1 |X|        |10.11.2023|10.11.2023|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|E0465459 |10.11.2023|MR-00005969,Siemens DRY,TPS3L1115D2     |23022196  |3000014639|RS Integrated Supply Canada Corp  |MC2002    |EA|4000093879|         1 |X|        |10.11.2023|10.11.2023|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
|I0548244 |10.11.2023|MR-00005963: Enersys Genesis NP9- 12T Ba|23023104  |3000014639|RS Integrated Supply Canada Corp  |MC2002    |EA|4000110875|         4 | |        |10.11.2023|10.11.2023|RS Integrated Supply Canada Corp  |        4 |          |7411002300|      0 |
|I0548244 |10.11.2023|MR-00005976:APC by Schneider Electric Sm|23023105  |3000014639|RS Integrated Supply Canada Corp  |MC2002    |EA|4000112143|         1 | |        |10.11.2023|10.11.2023|RS Integrated Supply Canada Corp  |        1 |          |7411002300|      0 |
