08.10.2024                                                                                           Dynamic List Display                                                                                                                                                    1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier           |Matl Group|Un|Order     |   Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                   |    Ordered|On        |G/L Acct  |Shortage|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|I0253031 |22.08.2024|Chilled water line insulation           |28758548  |3000021961|Catina Contracting                 |CS5025    |AU|4000176909|     2,095 |X|        |24.08.2024|22.08.2024|Catina Contracting                 |     2,095 |          |7411011000|      0 |
|I0381218 |22.08.2024|MR-00006550, 700194-000049 SEAL KIT     |28758605  |3000021957|RS Integrated Supply Canada Corp   |MC2002    |EA|4000109192|         1 | |        |22.08.2024|22.08.2024|RS Integrated Supply Canada Corp   |         1 |          |7411002300|      0 |
|I0253031 |22.08.2024|S -AUTs guide wheels and bracket replace|28758669  |3000021981|Atlantic Stainless Fabricators Ltd |CS5025    |AU|4000177301|     5,500 | |        |22.08.2024|23.08.2024|Atlantic Stainless Fabricators Ltd |     5,500 |          |7411011000|      0 |
|I0544747 |22.08.2024|MR-00006553 Omron Automation Sensor     |28758689  |3000021980|RS Integrated Supply Canada Corp   |MC2002    |EA|4000166811|         2 | |        |22.08.2024|23.08.2024|RS Integrated Supply Canada Corp   |         2 |          |7411002300|      0 |
|E0535972 |23.08.2024|S - 1Y Tasks                            |28764263  |3000021973|Manych Mechanical Inc              |CS5025    |AU|4000170395|     8,800 | |        |27.08.2024|23.08.2024|Manych Mechanical Inc              |     8,800 |          |7411011000|      0 |
|I0253031 |23.08.2024|S -B90TET  Repair Insulation 304 fer0008|28764281  |3000021982|Catina Contracting                 |CS5025    |AU|4000176822|       680 | |        |23.08.2024|23.08.2024|Catina Contracting                 |       680 |          |7411011000|      0 |
|E0421182 |23.08.2024|S - B83 APA Paint Pro 3rd Floor Repairs |28764285  |3000021983|Paint Pro Surface Coating Inc      |CS5025    |AU|4000177501| 2,495.500 | |        |23.08.2024|23.08.2024|Paint Pro Surface Coating Inc      | 2,495.500 |          |7411011000|      0 |
|I0253031 |23.08.2024|Light Burnt B90 Entrance                |28764332  |          |Guild Electric                     |CS5025    |AU|4000167535|     1,400 |X|        |23.08.2024|          |Guild Electric                     |         0 |          |7411011000|      0 |
|E0392475 |23.08.2024|MR-00006554, IMPELLER KIT LEVIMAG WP50  |28764369  |3000021980|RS Integrated Supply Canada Corp   |MC2002    |EA|4000163329|         1 |X|        |23.08.2024|23.08.2024|RS Integrated Supply Canada Corp   |         1 |          |7411002300|      0 |
