18.10.2023                                                                                         Dynamic List Display                                                                                                                                                   1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Requisnr.|Req. Date |Short Text                              |Purch.Req.|PO        |Name of Desired Supplier          |Matl Group|Un|Order     |   Quantity|D|Material|Release Dt|PO Date   |Name of Supplier                  |   Ordered|On        |G/L Acct  |Shortage|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|E0381501 |03.01.2023|B90 Technical Paint                     |12832488  |          |Sodexo Canada Ltd                 |CS5025    |AU|4000049684|   150,000 |X|        |10.03.2023|          |Sodexo Canada Ltd                 |        0 |          |7411011000|      0 |
|E0381501 |04.01.2023|Quote 2022-483 B90 Tetanus Live wall rep|12841971  |          |Sodexo Canada Ltd                 |CS5025    |AU|4000049156|63,589.860 |X|        |04.01.2023|          |Sodexo Canada Ltd                 |        0 |          |7411011000|      0 |
|E0381501 |04.01.2023|Quote 2022-483 B90 Tetanus Live wall rep|12841972  |3000005235|Sodexo Canada Ltd                 |CS5025    |AU|4000040908|63,589.860 |X|        |04.01.2023|04.01.2023|Sodexo Canada Ltd                 |        0 |          |7411011000|      0 |
|I0168549 |05.01.2023|Quote 202913 B90 December Shutdown insul|12842973  |          |Catina Contracting                |CS5025    |AU|4000052527|     3,600 |X|        |12.01.2023|          |Catina Contracting                |        0 |          |7411011000|      0 |
|I0253031 |06.01.2023|MR-00005380: 00514396 10H HYTREL SLEEVE |12848967  |          |RS Integrated Supply Canada Corp  |MC2002    |EA|4000050132|         1 |X|        |06.01.2023|          |RS Integrated Supply Canada Corp  |        0 |          |7411002300|      0 |
|E0465459 |10.01.2023|Steris AUT1134 door rail system damaged |12876723  |          |Steris Canada Inc                 |CS5025    |AU|4000049458|       810 |X|        |10.01.2023|          |Steris Canada Inc                 |        0 |          |7411011000|      0 |
|I0253031 |12.01.2023|Quote 202913 B90 December Shutdown insul|12883994  |          |Catina Contracting                |CS5025    |AU|4000052527|     3,600 |X|        |12.01.2023|          |Catina Contracting                |        0 |          |7411011000|      0 |
|I0253031 |12.01.2023|Quote 5737 EP & Passivate               |12883995  |          |Inox Industries Inc               |CS5025    |AU|4000049652|     7,890 |X|        |12.01.2023|          |Inox Industries Inc               |        0 |          |7411011000|      0 |
|I0253031 |12.01.2023|Quote 5739 EP & Passivate               |12883996  |          |Inox Industries Inc               |CS5025    |AU|4000049651|     8,175 |X|        |12.01.2023|          |Inox Industries Inc               |        0 |          |7411011000|      0 |
